rule_id,provider,service,category,severity,title,description,check_type,source_file
k8s.admission.control.hostipc_restriction,k8s,admission,control,MEDIUM,,,config,k8s_rule_check/admission/admission.checks.yaml
k8s.admission.control.hostpath_volumes_restricted,k8s,admission,control,LOW,,,config,k8s_rule_check/admission/admission.checks.yaml
k8s.admission.controller.anomaly_detection_enabled,k8s,admission,controller,MEDIUM,,,config,k8s_rule_check/admission/admission.checks.yaml
k8s.admission.controller.antimalware_policies_enforced,k8s,admission,controller,LOW,,,config,k8s_rule_check/admission/admission.checks.yaml
k8s.admission.controller.antivirus_enabled,k8s,admission,controller,LOW,,,config,k8s_rule_check/admission/admission.checks.yaml
k8s.admission.controller.change_control_enabled,k8s,admission,controller,LOW,,,config,k8s_rule_check/admission/admission.checks.yaml
k8s.admission.controller.change_management_enabled,k8s,admission,controller,LOW,,,config,k8s_rule_check/admission/admission.checks.yaml
k8s.admission.controller.changes_monitored,k8s,admission,controller,MEDIUM,,,config,k8s_rule_check/admission/admission.checks.yaml
k8s.admission.controller.configuration_change_prevention,k8s,admission,controller,LOW,,,config,k8s_rule_check/admission/admission.checks.yaml
k8s.admission.controller.configuration_validated,k8s,admission,controller,LOW,,,config,k8s_rule_check/admission/admission.checks.yaml
k8s.admission.controller.image_scan_on_admission,k8s,admission,controller,MEDIUM,,,config,k8s_rule_check/admission/admission.checks.yaml
k8s.admission.controller.incident_reporting_enabled,k8s,admission,controller,LOW,,,config,k8s_rule_check/admission/admission.checks.yaml
k8s.admission.controller.memory_protection_policies_enforced,k8s,admission,controller,LOW,,,config,k8s_rule_check/admission/admission.checks.yaml
k8s.admission.controller.monitoring_enabled,k8s,admission,controller,MEDIUM,,,config,k8s_rule_check/admission/admission.checks.yaml
k8s.admission.controller.networkpolicy_changes_logged,k8s,admission,controller,MEDIUM,,,config,k8s_rule_check/admission/admission.checks.yaml
