rule_id,provider,service,category,severity,title,description,check_type,threat_category,mitre_tactics,mitre_techniques,risk_score,domain,action_category,posture_category,source_file
azure.authorization.activity_log.blueprint_assignment_write,azure,authorization,authorization,medium,Authorization: Blueprint Assignment Write,Azure Blueprint assignment created — environment governance policy applied or changed.,log,defense_evasion,defense_evasion,T1484.001,55,logging_monitoring_and_alerting,create,security_posture,azure_rule_ciem/authorization/azure.authorization.activity_log.blueprint_assignment_write.yaml
azure.authorization.activity_log.deny_assignment_write,azure,authorization,authorization,medium,Authorization: Deny Assignment Write,Deny assignment created — explicit deny rule overrides allow permissions for principals.,log,defense_evasion,defense_evasion,T1484.001,50,logging_monitoring_and_alerting,create,security_posture,azure_rule_ciem/authorization/azure.authorization.activity_log.deny_assignment_write.yaml
azure.authorization.activity_log.elevate_access_action,azure,authorization,authorization,critical,Authorization: Elevate Access Action,User Access Administrator elevation invoked — caller elevated to tenant-wide User Access Admin role.,log,privilege_escalation,privilege_escalation,T1548,92,identity_and_access_management,privilege_escalation,iam_posture,azure_rule_ciem/authorization/azure.authorization.activity_log.elevate_access_action.yaml
azure.authorization.activity_log.policy_assignment_delete,azure,authorization,authorization,high,Authorization: Policy Assignment Delete,Azure Policy assignment deleted — security policy enforcement removed from scope.,log,defense_evasion,defense_evasion,T1484.001,72,logging_monitoring_and_alerting,delete,security_posture,azure_rule_ciem/authorization/azure.authorization.activity_log.policy_assignment_delete.yaml
azure.authorization.activity_log.policy_assignment_write,azure,authorization,authorization,high,Authorization: Policy Assignment Write,Azure Policy assignment created or modified — security control enforcement changed.,log,defense_evasion,defense_evasion,T1484.001,70,logging_monitoring_and_alerting,create,security_posture,azure_rule_ciem/authorization/azure.authorization.activity_log.policy_assignment_write.yaml
azure.authorization.activity_log.policy_definition_write,azure,authorization,authorization,medium,Authorization: Policy Definition Write,Custom Azure Policy definition created or modified — security evaluation logic changed.,log,defense_evasion,defense_evasion,T1484.001,60,logging_monitoring_and_alerting,create,security_posture,azure_rule_ciem/authorization/azure.authorization.activity_log.policy_definition_write.yaml
azure.authorization.activity_log.resource_lock_delete,azure,authorization,authorization,high,Authorization: Resource Lock Delete,"Resource lock deleted — deletion protection removed, resource now vulnerable to destruction.",log,impact,impact,T1485,72,impact,delete,workload_posture,azure_rule_ciem/authorization/azure.authorization.activity_log.resource_lock_delete.yaml
azure.authorization.activity_log.resource_lock_write,azure,authorization,authorization,medium,Authorization: Resource Lock Write,Resource lock created — resource protected from deletion or modification.,log,impact,impact,T1485,45,impact,create,workload_posture,azure_rule_ciem/authorization/azure.authorization.activity_log.resource_lock_write.yaml
azure.authorization.activity_log.role_assignment_delete,azure,authorization,authorization,medium,Authorization: Role Assignment Delete,"RBAC role assignment deleted — permissions revoked, may indicate account cleanup or removal of legitimate access.",log,defense_evasion,defense_evasion,T1531,50,logging_monitoring_and_alerting,delete,security_posture,azure_rule_ciem/authorization/azure.authorization.activity_log.role_assignment_delete.yaml
azure.authorization.activity_log.role_assignment_write,azure,authorization,authorization,high,Authorization: Role Assignment Write,"RBAC role assignment created — principal granted permissions at subscription, resource group, or resource scope.",log,privilege_escalation,privilege_escalation,T1098.003,78,identity_and_access_management,create,iam_posture,azure_rule_ciem/authorization/azure.authorization.activity_log.role_assignment_write.yaml
azure.authorization.activity_log.role_definition_delete,azure,authorization,authorization,medium,Authorization: Role Definition Delete,Custom RBAC role deleted — access control definition removed.,log,defense_evasion,defense_evasion,T1484.001,45,logging_monitoring_and_alerting,delete,security_posture,azure_rule_ciem/authorization/azure.authorization.activity_log.role_definition_delete.yaml
azure.authorization.activity_log.role_definition_write,azure,authorization,authorization,high,Authorization: Role Definition Write,Custom RBAC role created or modified — broad permissions may bypass least-privilege controls.,log,privilege_escalation,privilege_escalation,T1484.001,80,identity_and_access_management,create,iam_posture,azure_rule_ciem/authorization/azure.authorization.activity_log.role_definition_write.yaml
azure.ciem.correlation.credential_exfil_chain,azure,ciem,ciem,critical,Correlation: Credential Exfiltration Chain,Credential mass-harvest: Key Vault secrets read + Storage keys listed + SQL admin added by same principal.,log_correlation,data_exfiltration,collection;exfiltration,T1552.001;T1567,95,data_protection_and_privacy,exfiltration,data_security_posture,azure_rule_ciem/ciem/azure.ciem.correlation.credential_exfil_chain.yaml
azure.ciem.correlation.data_destruction_chain,azure,ciem,ciem,critical,Correlation: Data Destruction Chain,Ransomware-like destruction: Storage account deleted + SQL database deleted + Key Vault purged by same principal within 30 minutes.,log_correlation,data_destruction,impact,T1485,98,data_protection_and_privacy,delete,data_security_posture,azure_rule_ciem/ciem/azure.ciem.correlation.data_destruction_chain.yaml
azure.ciem.correlation.defense_evasion_chain,azure,ciem,ciem,critical,Correlation: Defense Evasion Chain,Logging and detection disabled: Diagnostic settings deleted + activity log alerts deleted + Defender plan disabled.,log_correlation,defense_evasion,defense_evasion,T1562.008;T1562.001,95,logging_monitoring_and_alerting,modify,security_posture,azure_rule_ciem/ciem/azure.ciem.correlation.defense_evasion_chain.yaml
azure.ciem.correlation.identity_takeover_chain,azure,ciem,ciem,critical,Correlation: Identity Takeover Chain,Tenant identity compromise: Application credentials added + admin consent granted + domain federation updated.,log_correlation,initial_access,initial_access;persistence,T1556.007;T1550.001,97,threat_detection,create,threat_posture,azure_rule_ciem/ciem/azure.ciem.correlation.identity_takeover_chain.yaml
