id,unique_id,source,title,description,rationale,audit,remediation,profile_applicability,impact,references,section,assessment,default_value,additional_information,final_approach,final_confidence,program_name,justification,automation_summary,manual_summary,three_ai_consensus,decision_timestamp
1.1.1,cis-k8s-k8s123-v101-1-1-1,CIS_Kubernetes_V1.23_Benchmark_V1.0.1_PDF_,Ensure that the API server pod specification file permissions are set to 600 or more restrictive,Ensure that the API server pod specification file has permissions of 600 or more restrictive.,The API server pod specification file controls various parameters that set the behavior of the API server. You should restrict its file permissions to maintain the integrity of the file. The file should be writable by only the administrators on the system.,"Run the below command (based on the file location on your system) on the Control Plane node. For example, stat -c %a /etc/kubernetes/manifests/kube-apiserver.yaml Verify that the permissions are 600 or more restrictive.","Run the below command (based on the file location on your system) on the Control Plane node. For example, chmod 600 /etc/kubernetes/manifests/kube-apiserver.yaml",• Level 1 - Master Node,None,1. https://kubernetes.io/docs/admin/kube-apiserver/,1 Section,Automated,"By default, the kube-apiserver.yaml file has permissions of 640 .",,Manual,HIGH,,"The compliance control requires verifying file permissions on the host file system where the API server pod specification file is located. This check involves accessing the host's file system directly, which is not feasible through Kubernetes APIs or `kubectl` commands alone. The use of `kubectl exec` to access the host's file system is not a reliable or standard method for this check, as it assumes the pod has access to the host's file system, which may not always be the case. Therefore, a manual approach is necessary to ensure accurate verification of file permissions.",,"1. Log into the Control Plane node where the API server is running. 2. Locate the API server pod specification file, typically found at `/etc/kubernetes/manifests/kube-apiserver.yaml`. 3. Run the command `stat -c %a /etc/kubernetes/manifests/kube-apiserver.yaml` to check the file permissions. 4. Verify that the permissions are set to `600` or more restrictive (e.g., `400`). 5. If the permissions are not compliant, adjust them using `chmod 600 /etc/kubernetes/manifests/kube-apiserver.yaml`.",Yes,2025-11-02T17:56:36.272003
1.1.2,cis-k8s-k8s123-v101-1-1-2,CIS_Kubernetes_V1.23_Benchmark_V1.0.1_PDF_,Ensure that the API server pod specification file ownership is set to root:root,Ensure that the API server pod specification file ownership is set to root:root .,The API server pod specification file controls various parameters that set the behavior of the API server. You should set its file ownership to maintain the integrity of the file. The file should be owned by root:root .,"Run the below command (based on the file location on your system) on the Control Plane node. For example, stat -c %U:%G /etc/kubernetes/manifests/kube-apiserver.yaml Verify that the ownership is set to root:root .","Run the below command (based on the file location on your system) on the Control Plane node. For example, chown root:root /etc/kubernetes/manifests/kube-apiserver.yaml",• Level 1 - Master Node,None,1. https://kubernetes.io/docs/admin/kube-apiserver/,1 Section,Automated,"By default, the kube-apiserver.yaml file ownership is set to root:root .",,Manual,HIGH,,"The task requires checking the file ownership of the API server pod specification file, which is a file system attribute not directly accessible via Kubernetes APIs or kubectl. Both AI opinions acknowledge the need for node-level access to execute the `stat` command, which cannot be performed through Kubernetes APIs alone. Therefore, this compliance control must be verified manually on the control plane node.",,"1. Access the control plane node where the API server is running. 2. Execute the command: `stat -c %U:%G /etc/kubernetes/manifests/kube-apiserver.yaml`. 3. Verify that the output shows `root:root` as the file ownership. 4. If the ownership is incorrect, correct it by running: `chown root:root /etc/kubernetes/manifests/kube-apiserver.yaml`. 5. Confirm compliance by re-running the `stat` command to ensure the ownership is set correctly.",Yes,2025-11-02T18:26:29.984888
1.1.3,cis-k8s-k8s123-v101-1-1-3,CIS_Kubernetes_V1.23_Benchmark_V1.0.1_PDF_,Ensure that the controller manager pod specification file permissions are set to 600 or more restrictive,Ensure that the controller manager pod specification file has permissions of 600 or more restrictive.,The controller manager pod specification file controls various parameters that set the behavior of the Controller Manager on the master node. You should restrict its file permissions to maintain the integrity of the file. The file should be writable by only the administrators on the system.,"Run the below command (based on the file location on your system) on the Control Plane node. For example, stat -c %a /etc/kubernetes/manifests/kube-controller-manager.yaml Verify that the permissions are 600 or more restrictive.","Run the below command (based on the file location on your system) on the Control Plane node. For example, chmod 600 /etc/kubernetes/manifests/kube-controller-manager.yaml",• Level 1 - Master Node,None,1. https://kubernetes.io/docs/admin/kube-apiserver/,1 Section,Automated,"By default, the kube-controller-manager.yaml file has permissions of 640 .",,Manual,HIGH,,"The task involves verifying and setting file permissions on the host filesystem, which is outside the scope of Kubernetes APIs and kubectl capabilities. Both AI opinions acknowledge the necessity of manual inspection or external automation tools, but since Kubernetes itself cannot directly manage host file permissions, a manual approach is required for compliance verification.",,"1. SSH into the Control Plane node where the Kubernetes controller manager pod specification file is located. 2. Execute the command: `stat -c %a /etc/kubernetes/manifests/kube-controller-manager.yaml` to check the current file permissions. 3. Verify that the output indicates permissions of 600 or more restrictive (e.g., 400, 500). 4. If the permissions are not compliant, execute: `chmod 600 /etc/kubernetes/manifests/kube-controller-manager.yaml` to set the correct permissions. 5. Re-run the `stat` command to confirm that the permissions have been correctly set.",Yes,2025-11-02T19:06:36.938036
1.1.4,cis-k8s-k8s123-v101-1-1-4,CIS_Kubernetes_V1.23_Benchmark_V1.0.1_PDF_,Ensure that the controller manager pod specification file ownership is set to root:root,Ensure that the controller manager pod specification file ownership is set to root:root .,The controller manager pod specification file controls various parameters that set the behavior of various components of the master node. You should set its file ownership to maintain the integrity of the file. The file should be owned by root:root .,"Run the below command (based on the file location on your system) on the Control Plane node. For example, stat -c %U:%G /etc/kubernetes/manifests/kube-controller-manager.yaml Verify that the ownership is set to root:root .","Run the below command (based on the file location on your system) on the Control Plane node. For example, chown root:root /etc/kubernetes/manifests/kube-controller-manager.yaml",• Level 1 - Master Node,None,1. https://kubernetes.io/docs/admin/kube-controller-manager,1 Section,Automated,"By default, kube-controller-manager.yaml file ownership is set to root:root .",,Manual,HIGH,,"The verification of file ownership for the controller manager pod specification file requires access to the node's filesystem, which cannot be achieved through Kubernetes APIs or `kubectl`. Both AI opinions acknowledge that the critical step involves executing the `stat` command on the control plane node, which necessitates manual intervention or an external script outside the Kubernetes environment.",,"1. SSH into the control plane node where the Kubernetes master components are running. 2. Execute the command: `stat -c %U:%G /etc/kubernetes/manifests/kube-controller-manager.yaml`. 3. Verify that the output of the command is `root:root`, indicating correct file ownership. 4. If the ownership is not set to `root:root`, run the command: `chown root:root /etc/kubernetes/manifests/kube-controller-manager.yaml` to remediate. 5. Confirm compliance by re-running the `stat` command to ensure the ownership is now correctly set.",Yes,2025-11-02T18:52:29.784266
1.1.5,cis-k8s-k8s123-v101-1-1-5,CIS_Kubernetes_V1.23_Benchmark_V1.0.1_PDF_,Ensure that the scheduler pod specification file permissions are set to 600 or more restrictive,Ensure that the scheduler pod specification file has permissions of 600 or more restrictive.,The scheduler pod specification file controls various parameters that set the behavior of the Scheduler service in the master node. You should restrict its file permissions to maintain the integrity of the file. The file should be writable by only the administrators on the system.,"Run the below command (based on the file location on your system) on the Control Plane node. For example, stat -c %a /etc/kubernetes/manifests/kube-scheduler.yaml Verify that the permissions are 600 or more restrictive.","Run the below command (based on the file location on your system) on the Control Plane node. For example, chmod 600 /etc/kubernetes/manifests/kube-scheduler.yaml",• Level 1 - Master Node,None,1. https://kubernetes.io/docs/admin/kube-scheduler/,1 Section,Automated,"By default, kube-scheduler.yaml file has permissions of 640 .",,Manual,HIGH,,"The compliance control requires checking file permissions on the host node's file system, which is outside the scope of Kubernetes APIs and cannot be automated using `kubectl` or other Kubernetes CLI tools. The file permission check must be performed directly on the host node where the scheduler pod specification file resides, making it a manual process.",,"1. SSH into the Control Plane node where the Kubernetes scheduler is running. 2. Execute the command `stat -c %a /etc/kubernetes/manifests/kube-scheduler.yaml` to check the file permissions of the scheduler pod specification file. 3. Verify that the output shows permissions set to `600` or more restrictive. 4. If the permissions are not compliant, run `chmod 600 /etc/kubernetes/manifests/kube-scheduler.yaml` to correct them. 5. Confirm compliance by re-running the `stat` command and ensuring the permissions are now set correctly.",Yes,2025-11-02T17:55:39.976827
1.1.6,cis-k8s-k8s123-v101-1-1-6,CIS_Kubernetes_V1.23_Benchmark_V1.0.1_PDF_,Ensure that the scheduler pod specification file ownership is set to root:root,Ensure that the scheduler pod specification file ownership is set to root:root .,The scheduler pod specification file controls various parameters that set the behavior of the kube-scheduler service in the master node. You should set its file ownership to maintain the integrity of the file. The file should be owned by root:root .,"Run the below command (based on the file location on your system) on the Control Plane node. For example, stat -c %U:%G /etc/kubernetes/manifests/kube-scheduler.yaml Verify that the ownership is set to root:root .","Run the below command (based on the file location on your system) on the Control Plane node. For example, chown root:root /etc/kubernetes/manifests/kube-scheduler.yaml",• Level 1 - Master Node,None,1. https://kubernetes.io/docs/admin/kube-scheduler/,1 Section,Automated,"By default, kube-scheduler.yaml file ownership is set to root:root .",,Manual,HIGH,,"The task requires verifying file ownership on the control plane node's filesystem, which cannot be achieved through Kubernetes APIs or `kubectl` alone. Direct access to the node's filesystem is necessary to execute the `stat` command and check file ownership, which is beyond the capabilities of Kubernetes CLI tools. Therefore, a manual approach is required to ensure compliance.",,"1. Log into the control plane node where the kube-scheduler is running. 2. Execute the command: `stat -c %U:%G /etc/kubernetes/manifests/kube-scheduler.yaml`. 3. Verify that the output of the command is `root:root`. 4. If the ownership is not `root:root`, run the command: `chown root:root /etc/kubernetes/manifests/kube-scheduler.yaml` to correct it. 5. Confirm compliance by re-running the `stat` command to ensure the ownership is now set to `root:root`.",Yes,2025-11-02T18:54:05.326669
1.1.7,cis-k8s-k8s123-v101-1-1-7,CIS_Kubernetes_V1.23_Benchmark_V1.0.1_PDF_,Ensure that the etcd pod specification file permissions are set to 600 or more restrictive,Ensure that the /etc/kubernetes/manifests/etcd.yaml file has permissions of 600 or more restrictive.,The etcd pod specification file /etc/kubernetes/manifests/etcd.yaml controls various parameters that set the behavior of the etcd service in the master node. etcd is a highly- available key-value store which Kubernetes uses for persistent storage of all of its REST API object. You should restrict its file permissions to maintain the integrity of the file. The file should be writable by only the administrators on the system.,"Run the below command (based on the file location on your system) on the Control Plane node. For example, stat -c %a /etc/kubernetes/manifests/etcd.yaml Verify that the permissions are 600 or more restrictive.","Run the below command (based on the file location on your system) on the Control Plane node. For example, chmod 600 /etc/kubernetes/manifests/etcd.yaml",• Level 1 - Master Node,None,1. https://coreos.com/etcd 2. https://kubernetes.io/docs/admin/etcd/,1 Section,Automated,"By default, /etc/kubernetes/manifests/etcd.yaml file has permissions of 640 .",,Manual,HIGH,,"The task involves checking file permissions on the host filesystem, which cannot be directly accessed or managed through Kubernetes APIs or kubectl commands. Both AI opinions acknowledge the necessity of a manual approach due to the limitations of Kubernetes in managing host-level configurations. The manual steps provided are accurate and necessary for ensuring compliance with the specified file permissions.",,"1. SSH into the Control Plane node where Kubernetes is installed. 2. Run the command: `stat -c %a /etc/kubernetes/manifests/etcd.yaml`. 3. Verify that the output shows the file permissions. 4. Ensure that the permissions are set to 600 or more restrictive (e.g., 400). 5. If the permissions are not compliant, run the command: `chmod 600 /etc/kubernetes/manifests/etcd.yaml` to remediate.",Yes,2025-11-02T18:52:24.051793
1.1.8,cis-k8s-k8s123-v101-1-1-8,CIS_Kubernetes_V1.23_Benchmark_V1.0.1_PDF_,Ensure that the etcd pod specification file ownership is set to root:root,Ensure that the /etc/kubernetes/manifests/etcd.yaml file ownership is set to root:root .,The etcd pod specification file /etc/kubernetes/manifests/etcd.yaml controls various parameters that set the behavior of the etcd service in the master node. etcd is a highly- available key-value store which Kubernetes uses for persistent storage of all of its REST API object. You should set its file ownership to maintain the integrity of the file. The file should be owned by root:root .,"Run the below command (based on the file location on your system) on the Control Plane node. For example, stat -c %U:%G /etc/kubernetes/manifests/etcd.yaml Verify that the ownership is set to root:root .","Run the below command (based on the file location on your system) on the Control Plane node. For example, chown root:root /etc/kubernetes/manifests/etcd.yaml",• Level 1 - Master Node,None,1. https://coreos.com/etcd 2. https://kubernetes.io/docs/admin/etcd/,1 Section,Automated,"By default, /etc/kubernetes/manifests/etcd.yaml file ownership is set to root:root .",,Manual,HIGH,,"Both AI opinions agree that the task of verifying and setting the file ownership of `/etc/kubernetes/manifests/etcd.yaml` to `root:root` cannot be automated using Kubernetes-native tools. This is because file ownership is a property of the host filesystem and requires direct access to the underlying operating system, which is outside the scope of Kubernetes APIs or kubectl commands.",,"1. SSH into the control plane node where the Kubernetes master components are running. 2. Execute the command: `stat -c %U:%G /etc/kubernetes/manifests/etcd.yaml`. 3. Verify that the output is `root:root`. This confirms the file is securely owned by the root user and group. 4. If the ownership is incorrect, correct it by running: `chown root:root /etc/kubernetes/manifests/etcd.yaml`.",Yes,2025-11-02T17:50:51.374509
1.1.9,cis-k8s-k8s123-v101-1-1-9,CIS_Kubernetes_V1.23_Benchmark_V1.0.1_PDF_,Ensure that the Container Network Interface file permissions are set to 600 or more restrictive,Ensure that the Container Network Interface files have permissions of 600 or more restrictive.,Container Network Interface provides various networking options for overlay networking. You should consult their documentation and restrict their respective file permissions to maintain the integrity of those files. Those files should be writable by only the administrators on the system.,"Run the below command (based on the file location on your system) on the Control Plane node. For example, stat -c %a <path/to/cni/files> Verify that the permissions are 600 or more restrictive.","Run the below command (based on the file location on your system) on the Control Plane node. For example, chmod 600 <path/to/cni/files>",• Level 1 - Master Node,None,1. https://kubernetes.io/docs/concepts/cluster-administration/networking/,1 Section,Manual,NA,,Manual,HIGH,,"The task involves checking and setting file permissions on the host filesystem where the Container Network Interface (CNI) files are located. Kubernetes APIs and kubectl do not provide direct methods to interact with the host filesystem for such operations. Therefore, this control requires manual intervention or the use of external scripts or configuration management tools, which are outside the scope of Kubernetes native capabilities.",,"1. SSH into the Control Plane node where the Container Network Interface (CNI) files are located. 2. Navigate to the directory where the CNI files are stored, typically found in `/etc/cni/net.d/` or a similar path depending on your Kubernetes setup. 3. Run the command: `stat -c %a <path/to/cni/files>` for each CNI file to check the file permissions. 4. Verify that the permissions returned are `600` or more restrictive (e.g., `400`, `500`). 5. If any file permissions are less restrictive than `600`, remediate by running: `chmod 600 <path/to/cni/files>` for each affected file. 6. Confirm compliance by re-running the `stat` command to ensure the permissions have been updated correctly.",Yes,2025-11-02T19:05:57.110912
1.1.10,cis-k8s-k8s123-v101-1-1-10,CIS_Kubernetes_V1.23_Benchmark_V1.0.1_PDF_,Ensure that the Container Network Interface file ownership is set to root:root,Ensure that the Container Network Interface files have ownership set to root:root .,Container Network Interface provides various networking options for overlay networking. You should consult their documentation and restrict their respective file permissions to maintain the integrity of those files. Those files should be owned by root:root .,"Run the below command (based on the file location on your system) on the Control Plane node. For example, stat -c %U:%G <path/to/cni/files> Verify that the ownership is set to root:root .","Run the below command (based on the file location on your system) on the Control Plane node. For example, chown root:root <path/to/cni/files>",• Level 1 - Master Node,None,1. https://kubernetes.io/docs/concepts/cluster-administration/networking/,1 Section,Manual,NA,,Manual,HIGH,,"This compliance control requires checking file ownership at the node level, which is outside the scope of Kubernetes APIs or `kubectl` commands. The task involves verifying and setting file permissions on the host operating system, which necessitates direct access to the file system via SSH. Both AI opinions acknowledge the need for manual intervention, though the second opinion suggests potential automation through external tools like Ansible, which is not within Kubernetes' native capabilities.",,"1. SSH into the Control Plane node where the Container Network Interface (CNI) files are located. 2. Navigate to the directory where the CNI files are stored, typically `/etc/cni/net.d/`. 3. Execute the command: `stat -c %U:%G <path/to/cni/files>` for each CNI file to check the ownership. 4. Verify that the ownership is set to `root:root`. 5. If any CNI file is not owned by `root:root`, run the command: `chown root:root <path/to/cni/files>` to correct the ownership. 6. Confirm compliance by re-running the `stat` command to ensure the ownership is now correctly set to `root:root`.",Yes,2025-11-02T17:47:35.540771
