control_id,family,family_name,cspm_scope,title,aws_checks,aws_match_confidence,azure_checks,azure_match_confidence,gcp_checks,gcp_match_confidence,oracle_checks,oracle_match_confidence,ibm_checks,ibm_match_confidence,alicloud_checks,alicloud_match_confidence,k8s_checks,k8s_match_confidence,aws_ciem_checks,azure_ciem_checks,gcp_ciem_checks,oracle_ciem_checks,ibm_ciem_checks,alicloud_ciem_checks,k8s_ciem_checks
3.1.8,3.1,Access Control,yes,Limit unsuccessful logon attempts.,NEW: aws.iam.account_password_policy.maximum_password_attempts,0.00,NEW: azure.aad.password_reset_policies.lockout_threshold,0.00,NEW: gcp.iam.password_policy.lockout_threshold,0.00,PARTIAL: oci.identity.auth_policy.password_policy | verifies config exists but not testing execution,0.00,PARTIAL: ibm.iam.account_settings.login_policy | verifies config exists but not testing execution,0.00,PARTIAL: alicloud.ram.password_policy.login_attempt_limit | verifies config exists but not testing execution,0.00,"SKIP: Kubernetes has no native, standard resource for global user login attempt locking; authentication is delegated to external systems.",0.00,NEW: aws.iam.activity_log.failed_auth_attempts;aws.cloudtrail.audit.console_signin_failure,NEW: azure.aad.activity_log.signin_failure_series;azure.monitor.audit.brute_force_pattern,NEW: gcp.iam.activity_log.failed_login;gcp.cloudaudit.audit.authentication_anomaly,NEW: oci.identity.audit.auth_failure_burst,NEW: ibm.iam.activity_log.excessive_failed_logins,NEW: alicloud.ram.activity_log.login_attempt_limit,NEW: k8s.apiserver.audit.authentication_failure_chain
3.1.9,3.1,Access Control,yes,Provide privacy and security notices consistent with applicable CUI rules.,"SKIP: Control involves legal notices and human processes, not a specific cloud resource configuration.",0.00,"SKIP: Control involves legal notices and human processes, not a specific cloud resource configuration.",0.00,"SKIP: Control involves legal notices and human processes, not a specific cloud resource configuration.",0.00,"SKIP: Control involves legal notices and human processes, not a specific cloud resource configuration.",0.00,"SKIP: Control involves legal notices and human processes, not a specific cloud resource configuration.",0.00,"SKIP: Control involves legal notices and human processes, not a specific cloud resource configuration.",0.00,"SKIP: Control involves legal notices and human processes, not a specific cloud resource configuration.",0.00,,,,,,,
3.1.10,3.1,Access Control,yes,Use session lock with pattern-hiding displays to prevent access and viewing of data after a period of inactivity.,aws.iam.role.least_privilege;aws.iam.policy.editors_rbac_least_privilege;aws.iam.role.scopes_or_s_least_privilege,0.75,azure.ad.role.least_privilege;azure.backup.policy.access_backup_vault_rbac_least_privilege;azure.rbac.role.resource.lock.check,0.67,gcp.trace.trace.trace_access_rbac_least_privilege;gcp.iam.policy.rbac_policy_conditions_used_where_applicable;gcp.iam.role.rbac_role_session_duration_reasonable_where_applicable,0.60,oci.identity.policy.rbac_role_session_duration_reasonable_where_applicable_restricted;oci.identity.policy.policy_editors_rbac_least_privilege_required;oci.identity.policy.policy_admin_rbac_least_privilege_required,0.44,SKIP: <Session lock with pattern-hiding is an OS-level control for compute instances and endpoints; IBM Cloud IAM/console session timeouts are configurable but the specific inactivity lock and display masking are not verifiable via CSPM resource configuration.>,0.00,alicloud.dataworks.lineage.access_rbac_least_privilege;alicloud.dataworks.lineage_data.lineage_access_rbac_least_privilege;alicloud.cas.cas_private_ca.private_ca_ca_access_rbac_least_privilege,0.50,"SKIP: <Control is for user session/display inactivity on endpoints; Kubernetes RBAC governs API access, not user console session locking or display behavior.>",0.60,NEW: aws.iam.activity_log.deactivate_mfa;aws.cloudtrail.audit.session_lock_bypass,NEW: azure.aad.activity_log.disable_mfa;azure.compute.audit.rdp_session_anomaly,NEW: gcp.iam.activity_log.disable_2sv;gcp.compute.audit.ssh_session_chain,NEW: oci.identity.audit.auth_policy_change;oci.compute.chain.session_persistence,NEW: ibm.iam.activity_log.mfa_policy_change;ibm.vpc.audit.instance_console_activity,NEW: alicloud.ram.activity_log.unbind_mfa;alicloud.ecs.chain.ssh_tunnel_activity,NEW: k8s.apiserver.audit.exec_session_anomaly;
3.1.11,3.1,Access Control,yes,Terminate (automatically) a user session after a defined condition.,NEW: aws.iam.role.max_session_duration,0.00,NEW: azure.iam.role_definition.max_session_hours,0.00,NEW: gcp.iam.role.max_session_duration,0.00,oci.identity.user.user_in_group;oci.identity.user.user_has_mfa;oci.identity.user.storage_is_on,refined,PARTIAL: ibm.iam.user_settings.session_timeout | verifies console session timeout config but not for all session types or programmatic access,0.00,PARTIAL: alicloud.ram.user.login_profile.max_session_hours | verifies console login session duration but not for RAM role or API key sessions,0.00,NEW: k8s.rbac.token.review_expiration,0.00,,,,,,,
3.1.15,3.1,Access Control,yes,Authorize remote execution of privileged commands and remote access to security-relevant information.,aws.iam.role.least_privilege;aws.iam.policy.execution_roles_least_privilege;aws.iam.policy.editors_rbac_least_privilege,0.75,azure.ad.role.least_privilege;azure.backup.policy.access_backup_vault_rbac_least_privilege;azure.monitor.trace.access_rbac_least_privilege,0.67,gcp.trace.trace.trace_access_rbac_least_privilege;gcp.iam.policy.rbac_policy_conditions_used_where_applicable;gcp.trace.trace.monitoring_access_rbac_least_privilege,0.60,oci.identity.policy.policy_editors_rbac_least_privilege_required;oci.identity.policy.policy_admin_rbac_least_privilege_required;oci.functions.application.secrets_security_parameter_access_rbac_least_privilege_required,0.43,ibm.iam.policy.rbac_least_privilege;ibm.iam.role.trusted_entities_restricted;ibm.iam.serviceid.api_key_rotation_enforced,refined,alicloud.dataworks.workflow.execution_role_least_privilege;alicloud.dataworks.lineage.access_rbac_least_privilege;alicloud.dataworks.resource.object_execution_role_least_privilege,0.50,k8s.rbac.role.least_privilege_enforced;k8s.role.permission.secrets_access_restricted;k8s.rbac.serviceaccount.least_privilege,0.60,NEW: aws.iam.activity_log.assume_role;aws.cloudtrail.audit.console_login,NEW: azure.compute.activity_log.runcommand;azure.aad.audit.signin_risk,NEW: gcp.compute.activity_log.ssh_invocation;gcp.iam.audit.service_account_key_creation,NEW: oci.compute.activity_log.instance_console;oci.identity.audit.api_key_creation,NEW: ibm.iam.activity_log.api_key_created;ibm.is.vpc.audit.instance_ssh,NEW: alicloud.ecs.activity_log.sendcommand;alicloud.ram.audit.login_profile_modify,NEW: k8s.rbac.audit.privileged_exec;k8s.api.chain.proxy_to_pod
3.1.16,3.1,Access Control,yes,Authorize wireless access prior to allowing such connections.,aws.iam.role.least_privilege;aws.iam.policy.editors_rbac_least_privilege;aws.iam.role.scopes_or_s_least_privilege,0.75,azure.ad.role.least_privilege;azure.backup.policy.access_backup_vault_rbac_least_privilege;azure.monitor.trace.access_rbac_least_privilege,0.67,gcp.trace.trace.trace_access_rbac_least_privilege;gcp.iam.policy.rbac_policy_conditions_used_where_applicable;gcp.trace.trace.monitoring_access_rbac_least_privilege,0.60,oci.identity.policy.policy_editors_rbac_least_privilege_required;oci.identity.policy.policy_admin_rbac_least_privilege_required;oci.database.database.database_policy_least_privilege_required,0.43,ibm.iam.policy.rbac_least_privilege;ibm.iam.role.least_privilege_enforced,refined,alicloud.dlf.connections.connection_role_least_privilege;alicloud.dataworks.lineage.access_rbac_least_privilege;alicloud.dataworks.connections.connection_role_least_privilege,0.50,k8s.rbac.role.least_privilege_enforced;k8s.role.permission.secrets_access_restricted;k8s.rbac.serviceaccount.least_privilege,0.60,,,,,,,
3.1.17,3.1,Access Control,yes,Protect wireless access using authentication and encryption.,aws.iam.role.least_privilege;aws.iam.policy.editors_rbac_least_privilege;aws.kms.key.policy_least_privilege,0.75,azure.ad.role.least_privilege;azure.backup.policy.access_backup_vault_rbac_least_privilege;azure.monitor.trace.access_rbac_least_privilege,0.67,gcp.trace.trace.trace_access_rbac_least_privilege;gcp.iam.policy.rbac_policy_conditions_used_where_applicable;gcp.trace.trace.monitoring_access_rbac_least_privilege,0.60,oci.identity.policy.policy_editors_rbac_least_privilege_required;oci.identity.policy.policy_admin_rbac_least_privilege_required;oci.database.database.database_policy_least_privilege_required,0.43,ibm.key_protect.key.dual_authorization_delete_policy,0.38,alicloud.dataworks.lineage.access_rbac_least_privilege;alicloud.hbr.vault.encryption_key_policy_least_privilege;alicloud.dataworks.lineage_data.lineage_access_rbac_least_privilege,0.50,k8s.rbac.role.least_privilege_enforced;k8s.role.permission.secrets_access_restricted;k8s.rbac.serviceaccount.least_privilege,0.60,,,,,,,
3.1.18,3.1,Access Control,yes,Control connection of mobile devices.,"SKIP: Control pertains to mobile device connection, not a direct cloud resource configuration.",0.00,"SKIP: Control pertains to mobile device connection, not a direct cloud resource configuration.",0.00,"SKIP: Control pertains to mobile device connection, not a direct cloud resource configuration.",0.00,"SKIP: Control pertains to mobile device connection, not a direct cloud resource configuration.",0.00,"SKIP: Control pertains to mobile device connection, not a direct cloud resource configuration.",0.00,"SKIP: Control pertains to mobile device connection, not a direct cloud resource configuration.",0.00,"SKIP: Control pertains to mobile device connection, not a direct cloud resource configuration.",0.00,,,,,,,
3.1.19,3.1,Access Control,yes,Encrypt CUI on mobile devices and mobile computing platforms.,aws.sagemaker.endpoint.kms_encryption_enabled;aws.dynamodb.tables.kms_cmk_encryption_enabled;aws.sagemaker.endpoint.sagemaker_data_capture_s3_encrypted,0.50,azure.cosmos.table.kms_cmk_encryption_enabled;azure.storage.account.encryption.cmk.check;azure.storage.account.encryption.at.rest.with.cmk,0.43,gcp.aiplatform.endpoint.endpoint_kms_encryption_enabled;gcp.kms.crypto_key.encryption_in_transit_tls_min_1_2,0.50,oci.nosql.table.tables_kms_cmk_encryption_enabled;oci.data_science.project.endpoint_kms_encryption_enabled,0.38,"SKIP: <Control targets encryption on physical mobile devices and mobile OS platforms, which is not a configurable property of IBM Cloud resources. No IBM Cloud service directly represents a mobile device or its storage encryption state.>",0.00,alicloud.dlf.endpoint.encrypted;alicloud.actiontrail.kms.encryption_enabled;alicloud.ack.cluster.kms_cmk_encryption_in_secrets_enabled,0.50,SKIP: <Control targets encryption on mobile devices and mobile computing platforms. Kubernetes is a container orchestration platform and does not manage or represent physical mobile devices or their encryption state.>,0.40,,,,,,,
3.1.21,3.1,Access Control,yes,Limit use of portable storage devices on external systems.,aws.ebs.volume.snapshots_not_public_configured;aws.threat.correlation.cloudtrail.s3_make_public;aws.guardduty.finding.policy_s3_public,0.50,azure.storage.bucket.object.versioning;azure.storage.blob.data_protection_object_not_publicly_readable;azure.compute.disk.in_use,0.60,gcp.storage.object.object_not_publicly_readable;gcp.storage.snapshot.snapshot_not_public;gcp.storage.policy.bucket_policy_no_public_principals,0.60,oci.object_storage.bucket.storage_bucket_public_access;oci.object_storage.bucket.bucket_public_access;oci.object_storage.bucket.storage_bucket_public_write_prohibited,0.57,ibm.object_storage.bucket.no_public_access;ibm.object_storage.bucket.versioning_enabled;ibm.object_storage.bucket.ssl_enforced,0.57,alicloud.ecs.volume.in_use;alicloud.ecs.ebs.volume_encryption;alicloud.ecs.ebs.public_snapshot,0.50,k8s.storage.volume.snapshot_enabled;k8s.storage.volume.backup_policy_defined;k8s.storage.volume.backup_enabled,0.40,,,,,,,
