framework,framework_version,control_id,title,description,source_file
CIS_ALICLOUD,,1.1.10,Ensure that the Container Network Interface file ownership is set to root:root,Ensure	that	the	Container	Network	Interface	files	have	ownership	set	to	root:root.,cis_compliance_agent/alicloud_agent/alicloud_controls_FINAL_20251031_171157.csv
CIS_ALICLOUD,,1.1.11,Ensure that the etcd data directory permissions are set to 700 or more restrictive,Ensure	that	the	etcd	data	directory	has	permissions	of	700	or	more	restrictive.,cis_compliance_agent/alicloud_agent/alicloud_controls_FINAL_20251031_171157.csv
CIS_ALICLOUD,,1.1.12,Ensure that the etcd data directory ownership is set to etcd:etcd,Ensure	that	the	etcd	data	directory	ownership	is	set	to	etcd:etcd.,cis_compliance_agent/alicloud_agent/alicloud_controls_FINAL_20251031_171157.csv
CIS_ALICLOUD,,1.1.13,Ensure that the admin.conf file permissions are set to 644 or more restrictive,Ensure	that	the	admin.conf	file	has	permissions	of	644	or	more	restrictive.,cis_compliance_agent/alicloud_agent/alicloud_controls_FINAL_20251031_171157.csv
CIS_ALICLOUD,,1.1.14,Ensure that the admin.conf file ownership is set to root:root,Ensure	that	the	admin.conf	file	ownership	is	set	to	root:root.,cis_compliance_agent/alicloud_agent/alicloud_controls_FINAL_20251031_171157.csv
CIS_ALICLOUD,,1.1.15,Ensure that the scheduler.conf file permissions are set to 644 or more restrictive,Ensure	that	the	scheduler.conf	file	has	permissions	of	644	or	more	restrictive.,cis_compliance_agent/alicloud_agent/alicloud_controls_FINAL_20251031_171157.csv
CIS_ALICLOUD,,1.1.16,Ensure that the scheduler.conf file ownership is set to root:root,Ensure	that	the	scheduler.conf	file	ownership	is	set	to	root:root.,cis_compliance_agent/alicloud_agent/alicloud_controls_FINAL_20251031_171157.csv
CIS_ALICLOUD,,1.1.17,Ensure that the controller-manager.conf file permissions are set to 644 or more restrictive,Ensure	that	the	controller-manager.conf	file	has	permissions	of	644	or	more	restrictive.,cis_compliance_agent/alicloud_agent/alicloud_controls_FINAL_20251031_171157.csv
CIS_ALICLOUD,,1.1.18,Ensure that the controller-manager.conf file ownership is set to root:root,Ensure	that	the	controller-manager.conf	file	ownership	is	set	to	root:root.,cis_compliance_agent/alicloud_agent/alicloud_controls_FINAL_20251031_171157.csv
CIS_ALICLOUD,,1.1.19,Ensure that the Kubernetes PKI directory and file ownership is set to root:root,Ensure	that	the	Kubernetes	PKI	directory	and	file	ownership	is	set	to	root:root.,cis_compliance_agent/alicloud_agent/alicloud_controls_FINAL_20251031_171157.csv
CIS_ALICLOUD,,1.1.2,Ensure that the API server pod specification file ownership is set to root:root,Ensure	that	the	API	server	pod	specification	file	ownership	is	set	to	root:root.,cis_compliance_agent/alicloud_agent/alicloud_controls_FINAL_20251031_171157.csv
CIS_ALICLOUD,,1.1.20,Ensure that the Kubernetes PKI certificate file permissions are set to 644 or more restrictive,Ensure	that	Kubernetes	PKI	certificate	files	have	permissions	of	644	or	more	restrictive.,cis_compliance_agent/alicloud_agent/alicloud_controls_FINAL_20251031_171157.csv
