framework,control_id,title,automation_type_recommended,mapped_csp_count,new_csp_count,skip_csp_count,aws_cspm,aws_ciem,azure_cspm,azure_ciem,gcp_cspm,gcp_ciem,oracle_cspm,oracle_ciem,ibm_cspm,ibm_ciem,alicloud_cspm,alicloud_ciem,k8s_cspm,k8s_ciem
SOC2,A1.3,The entity tests recovery plan procedures supporting system recovery to meet its objectives.,automated,4,0,0,aws.backup.backupplan.backup_plan_configured,,azure.backup.recovery.point_encrypted;azure.site.recovery_recovery_plan.dr_restore_roles_least_privilege;azure.site.recovery_recovery_plan.dr_restore_from_encrypted_backups_only,,gcp.sql.backup.snapshot_encrypted,,PARTIAL: oci.object_storage.backup.bucket_configured | verifies backup storage target exists but not testing execution,,PARTIAL: ibm.cos.backup.bucket_configured | verifies backup storage target exists but not testing execution,,PARTIAL: alicloud.oss.backup.bucket_configured | verifies backup storage target exists but not testing execution,,k8s.secret.backup.and_recovery_enabled;k8s.etcd.backup.and_restore_tested;k8s.cluster.backup.and_restore_tested,
SOC2,PI1.1,"The entity obtains, uses, and communicates relevant, quality information regarding objectives related to processing, including definitions of data processed and product and service specifications.",manual,0,0,7,"SKIP: Control relates to information quality and definitions, not directly to a cloud resource configuration.",,"SKIP: Control is about data and specification definitions, not a specific Azure resource configuration setting.",,"SKIP: Control concerns information communication and quality, not a GCP resource configuration attribute.",,"SKIP: Control pertains to data definitions and specifications, not a configurable OCI resource property.",,"SKIP: Control involves process and information quality, not a specific IBM Cloud resource configuration.",,"SKIP: Control is about data processing objectives, not an Alibaba Cloud resource configuration check.",,"SKIP: Control relates to information definitions and quality, not a Kubernetes resource configuration.",
SOC2,PI1.2,"The entity implements policies and procedures over system inputs, including controls over completeness and accuracy, to result in products, services, and reporting to meet the entity objectives.",manual,0,0,7,"SKIP: Control over system inputs/completeness/accuracy is a data processing integrity check, not a cloud resource configuration.",,"SKIP: Control over system inputs/completeness/accuracy is a data processing integrity check, not a cloud resource configuration.",,"SKIP: Control over system inputs/completeness/accuracy is a data processing integrity check, not a cloud resource configuration.",,"SKIP: Control over system inputs/completeness/accuracy is a data processing integrity check, not a cloud resource configuration.",,"SKIP: Control over system inputs/completeness/accuracy is a data processing integrity check, not a cloud resource configuration.",,"SKIP: Control over system inputs/completeness/accuracy is a data processing integrity check, not a cloud resource configuration.",,"SKIP: Control over system inputs/completeness/accuracy is a data processing integrity check, not a cloud resource configuration.",
SOC2,PI1.3,"The entity implements policies and procedures over system processing to result in products, services, and reporting to meet the entity objectives.",manual,0,0,7,"SKIP: Control is about system processing policies/procedures for business objectives, not a specific cloud resource config.",,"SKIP: Control is about system processing policies/procedures for business objectives, not a specific cloud resource config.",,"SKIP: Control is about system processing policies/procedures for business objectives, not a specific cloud resource config.",,"SKIP: Control is about system processing policies/procedures for business objectives, not a specific cloud resource config.",,"SKIP: Control is about system processing policies/procedures for business objectives, not a specific cloud resource config.",,"SKIP: Control is about system processing policies/procedures for business objectives, not a specific cloud resource config.",,"SKIP: Control is about system processing policies/procedures for business objectives, not a specific cloud resource config.",
SOC2,PI1.4,"The entity implements policies and procedures to make available or deliver output completely, accurately, and timely in accordance with specifications.",manual,0,0,7,"SKIP: Control relates to output delivery integrity, which is an application/data processing concern, not a direct cloud resource configuration.",,"SKIP: Control relates to output delivery integrity, which is an application/data processing concern, not a direct cloud resource configuration.",,"SKIP: Control relates to output delivery integrity, which is an application/data processing concern, not a direct cloud resource configuration.",,"SKIP: Control relates to output delivery integrity, which is an application/data processing concern, not a direct cloud resource configuration.",,"SKIP: Control relates to output delivery integrity, which is an application/data processing concern, not a direct cloud resource configuration.",,"SKIP: Control relates to output delivery integrity, which is an application/data processing concern, not a direct cloud resource configuration.",,"SKIP: Control relates to output delivery integrity, which is an application/data processing concern, not a direct cloud resource configuration.",
SOC2,PI1.5,"The entity implements policies and procedures to store inputs, items in processing, and outputs completely, accurately, and timely.",automated,0,6,0,NEW: aws.s3.bucket.versioning.enabled,,NEW: azure.storage.account.blob.versioning.enabled,,NEW: gcp.storage.bucket.versioning.enabled,,NEW: oci.object_storage.bucket.versioning.enabled,,NEW: ibm.cos.bucket.versioning.enabled,,NEW: alicloud.oss.bucket.versioning.enabled,,PARTIAL: k8s.storage.persistentvolume.reclaim_policy | verifies persistent storage policy for data retention but not completeness/accuracy/timeliness of data processing,
SOC2,P6.6,"The entity provides notification of breaches and incidents to affected data subjects, regulators, and others to meet its objectives related to privacy.",manual,0,0,7,"SKIP: Control involves breach notification processes, not a specific cloud resource configuration.",NEW: aws.cloudtrail.activity_log.delete_trail;aws.cloudtrail.audit.stop_logging,"SKIP: Control involves breach notification processes, not a specific cloud resource configuration.",NEW: azure.monitor.activity_log.delete_diagnostic_setting;azure.security.audit.disable_asc,"SKIP: Control involves breach notification processes, not a specific cloud resource configuration.",NEW: gcp.logging.audit.sink_delete;gcp.iam.chain.service_account_key_abuse,"SKIP: Control involves breach notification processes, not a specific cloud resource configuration.",NEW: oci.audit.chain.config_change_then_disable,"SKIP: Control involves breach notification processes, not a specific cloud resource configuration.",NEW: ibm.activity_tracker.audit.delete_route;ibm.iam.chain.privilege_escalation,"SKIP: Control involves breach notification processes, not a specific cloud resource configuration.",NEW: alicloud.actiontrail.audit.delete_trail;alicloud.ram.chain.assume_role_anomaly,"SKIP: Control involves breach notification processes, not a specific cloud resource configuration.",NEW: k8s.audit.chain.rolebind_priv_esc_then_delete_events
SOC2,P6.7,The entity provides data subjects with an accounting of the personal information held and disclosure of the data subjects' personal information.,manual,0,0,7,"SKIP: Control pertains to data subject rights processes, not directly to cloud resource configuration.",,"SKIP: Control pertains to data subject rights processes, not directly to cloud resource configuration.",,"SKIP: Control pertains to data subject rights processes, not directly to cloud resource configuration.",,"SKIP: Control pertains to data subject rights processes, not directly to cloud resource configuration.",,"SKIP: Control pertains to data subject rights processes, not directly to cloud resource configuration.",,"SKIP: Control pertains to data subject rights processes, not directly to cloud resource configuration.",,"SKIP: Control pertains to data subject rights processes, not directly to cloud resource configuration.",
PCI_DSS,1.2.2,All changes to network connections and to configurations of NSCs are approved and managed in accordance with the change control process defined at Requirement 6.5.1.,automated,5,0,0,aws.vpc.network.security_monitored,,azure.network.vnet.subnet.nsg.association.check;azure.network.firewall.no_permit_any_any;azure.network.firewall.logging_enabled,,PARTIAL: gcp.compute.firewall.no_permit_all | verifies default-deny posture but not the approval process for changes,,oci.network_firewall.network_firewall.multi_az;oci.network_firewall.network_firewall.in_all_vcn;oci.network_firewall.network_firewall.firewall_no_permit_any,,ibm.vpc.subnet.not_using_default_network_acl;ibm.vpc.activity.vpc_change;ibm.vpc.activity.network_acl_change,,alicloud.cms.alerts.delete_nsg;alicloud.cfw.network.firewall_no_permit_any_any;alicloud.actiontrail.vpc.change_monitoring,,PARTIAL: k8s.network.changes.monitored | verifies logging of network changes but not the approval process,
PCI_DSS,1.2.4,An accurate data-flow diagram(s) is maintained that meets the following: • Shows all account data flows across systems and networks. • Updated as needed upon changes to the environment.,manual,0,0,7,"SKIP: Requires documentation of data flows, not a specific cloud resource configuration.",,"SKIP: Requires documentation of data flows, not a specific cloud resource configuration.",,"SKIP: Requires documentation of data flows, not a specific cloud resource configuration.",,"SKIP: Requires documentation of data flows, not a specific cloud resource configuration.",,"SKIP: Requires documentation of data flows, not a specific cloud resource configuration.",,"SKIP: Requires documentation of data flows, not a specific cloud resource configuration.",,"SKIP: Requires documentation of data flows, not a specific cloud resource configuration.",
PCI_DSS,3.2.1,"A formal data retention policy identifies what data needs to be retained, for how long, and where that data resides so it can be securely destroyed or deleted as soon as it is no longer needed. The only account data that",automated,7,0,0,aws.iam.role.least_privilege;aws.iam.policy.editors_rbac_least_privilege;aws.iam.role.scopes_or_s_least_privilege,,azure.ad.role.least_privilege;azure.backup.policy.access_backup_vault_rbac_least_privilege;azure.monitor.trace.access_rbac_least_privilege,,gcp.trace.trace.trace_access_rbac_least_privilege;gcp.iam.policy.rbac_policy_conditions_used_where_applicable;gcp.trace.trace.monitoring_access_rbac_least_privilege,,oci.identity.policy.policy_editors_rbac_least_privilege_required;oci.identity.policy.policy_admin_rbac_least_privilege_required;oci.database.database.database_policy_least_privilege_required,,ibm.iam.policy.rbac_least_privilege;ibm.cos.bucket.lifecycle_policy_configured;ibm.activity-tracker.trail.log_retention_configured,,alicloud.dataworks.lineage.access_rbac_least_privilege;alicloud.dataworks.lineage_data.lineage_access_rbac_least_privilege;alicloud.cas.cas_private_ca.private_ca_ca_access_rbac_least_privilege,,k8s.rbac.role.least_privilege_enforced;k8s.role.permission.secrets_access_restricted;k8s.rbac.serviceaccount.least_privilege,
