rule_id,csp,reality,type,dedup,winner_rule,note
alicloud.actiontrail.activity_log.critical_gap,alicloud,REAL,ciem,UNIQUE,,Detects critical event gaps and anomalous privileged actions.
alicloud.actiontrail.activity_log.ram_change,alicloud,REAL,ciem,UNIQUE,,Tracks RAM policy and resource directory changes.
alicloud.actiontrail.activity_log.review_anomaly,alicloud,REAL,ciem,UNIQUE,,Identifies anomalies in log review and unauthorized role assumption.
alicloud.actiontrail.activity_log.trail_operation,alicloud,REAL,ciem,DUP,alicloud.actiontrail.chain.audit_circumvent,Semantically identical to rule 11 (detect trail deletions/stops/updates).
alicloud.actiontrail.audit.console_signin_privileged,alicloud,REAL,ciem,UNIQUE,,Detects direct policy attachments and privileged console sign-ins.
alicloud.actiontrail.audit.trail_config_change,alicloud,REAL,ciem,DUP,alicloud.actiontrail.chain.log_suppression,Semantically identical to rule 13 (detect config changes reducing log backups).
alicloud.actiontrail.audit.trail_disable,alicloud,NONSENSE,ciem,UNIQUE,,Mixes unrelated concepts (ECS time services with trail disable/pause).
alicloud.actiontrail.audit.trail_stop_delete,alicloud,REAL,ciem,DUP,alicloud.actiontrail.activity_log.trail_operation,Semantically identical to rule 4 (detect trail stopping/deletion events).
alicloud.actiontrail.audit.update_trail,alicloud,NONSENSE,ciem,UNIQUE,,Mixes unrelated concepts (ECS instance attributes with trail updates).
alicloud.actiontrail.chain.assume_role_modify,alicloud,REAL,ciem,UNIQUE,,Detects high-privilege policy attachments and role assumption chains.
alicloud.actiontrail.chain.audit_circumvent,alicloud,REAL,ciem,UNIQUE,,Detects trail deletions/stops/updates and disruption patterns.
alicloud.actiontrail.chain.delete_malware_logs,alicloud,REAL,ciem,UNIQUE,,Detects stopping security agents and chained log deletion.
alicloud.actiontrail.chain.log_suppression,alicloud,REAL,ciem,UNIQUE,,Detects config changes reducing log backups and suppression chains.
alicloud.actiontrail.chain.permission_grant,alicloud,REAL,ciem,DUP,alicloud.actiontrail.audit.console_signin_privileged,Semantically identical to rule 5 (detect direct policy attachments).
alicloud.actiontrail.chain.privilege_abuse,alicloud,REAL,ciem,UNIQUE,,Detects RAM policy attachments and chained high-risk actions.
alicloud.actiontrail.chain.ram_policy_evasion,alicloud,REAL,ciem,UNIQUE,,Detects chained RAM policy evasion via login profile reactivation.
alicloud.actiontrail.chain.ram_privilege_escalation,alicloud,REAL,ciem,UNIQUE,,Detects privilege escalation via direct policy attachments.
alicloud.actiontrail.chain.replay_anomaly,alicloud,REAL,ciem,UNIQUE,,Detects replay attacks and anomalous authentication chains.
alicloud.actiontrail.chain.tamper_pattern,alicloud,REAL,ciem,UNIQUE,,Monitors multi-step policy tampering patterns.
alicloud.actiontrail.chain.trail_deletion,alicloud,REAL,ciem,UNIQUE,,Detects disabling of audit features or trail deletion.
alicloud.actiontrail.chain.trail_tampering_evasion,alicloud,REAL,ciem,UNIQUE,,Detects trail setting modifications for evasion.
alicloud.actiontrail.chain.uninstall_and_stop,alicloud,REAL,ciem,UNIQUE,,Detects agent uninstall chained with instance stop.
alicloud.actiontrail.trail.is_organization_trail,alicloud,REAL,config,UNIQUE,,Checks if ActionTrail is an organization trail.
alicloud.actiontrail.trail.kubernetes,alicloud,NONSENSE,config,UNIQUE,,"Rule name/description is incomplete/vague (""refined"")."
alicloud.actiontrail.trail.oss_bucket_name,alicloud,NONSENSE,config,UNIQUE,,"Rule name/description is incomplete/vague (""refined"")."
alicloud.actiontrail.trail.status,alicloud,REAL,config,UNIQUE,,Checks if ActionTrail trail is enabled and logging.
alicloud.actiontrail.trail.trail_exists,alicloud,NONSENSE,config,UNIQUE,,"Rule name/description is incomplete/vague (""refined"")."
alicloud.chain.ram_bypass,alicloud,REAL,ciem,DUP,alicloud.chain.trail_stop_privilege,Both detect ActionTrail trail stops/deletions with RAM policy changes; rule 2 is better named.
alicloud.chain.trail_stop_privilege,alicloud,REAL,ciem,UNIQUE,,Detects ActionTrail trail stops/deletions/failures correlated with subsequent privilege escalation.
alicloud.cs.audit.privileged_pod_create,alicloud,REAL,ciem,UNIQUE,,Monitors privileged pod creation events.
alicloud.cs.cluster.authorization_modeverifiesconfigexistsbutnottestingexecution,alicloud,NONSENSE,config,UNIQUE,,Rule name is garbled; intent unclear.
alicloud.cs.cluster.namespace_default,alicloud,NONSENSE,config,UNIQUE,,Rule name is vague; intent unclear.
alicloud.cs.cluster.node_pool,alicloud,REAL,config,UNIQUE,,Verifies node pool configuration exists.
alicloud.cs.cluster.rbac_enabled,alicloud,REAL,config,UNIQUE,,Verifies RBAC is enabled at cluster level.
alicloud.cs.kubernetes.cluster.pod_security_policy,alicloud,REAL,config,UNIQUE,,Checks PSP restricts host PID namespace sharing.
