rule_id,csp,service,type,action,frameworks,framework_count,control_count,mapped_controls,suggested_intent
aws.iam.activity_log.assume_role,aws,iam,activity_log,assume_role,CANADA_PBMM;CIS;NIST_800_171,3,21,CANADA_PBMM/AC-6(1);CANADA_PBMM/AC-6(5);CANADA_PBMM/AU-6(1);CANADA_PBMM/AU-6(3);CANADA_PBMM/CA-7(1);CANADA_PBMM/IA-2(1);CANADA_PBMM/IR-4(1);CANADA_PBMM/IR-4(3);CANADA_PBMM/IR-6(1);CANADA_PBMM/IR-7(1);CANADA_PBMM/SI-4(1);CANADA_PBMM/SI-4(11);CANADA_PBMM/SI-4(14);CANADA_PBMM/SI-4(16);CANADA_PBMM/SI-4(2);CANADA_PBMM/SI-4(20);CANADA_PBMM/SI-4(4);CANADA_PBMM/SI-4(7);CIS/5.2.10;NIST_800_171/3.1.15;NIST_800_171/3.12.3,Detect privileged IAM role assumption and attempts to disable CloudTrail logging for defense evasion; Detect privileged IAM role assumption and console logins by privileged accounts for unauthorized elevation attempts.; Detect cross-account role assumption followed by CloudTrail logging deactivation as a potential defense evasion chain.
gcp.logging.audit.sink_delete,gcp,logging,audit,sink_delete,CANADA_PBMM;CIS;NIST_800_171;SOC2,4,19,CANADA_PBMM/AU-3(1);CANADA_PBMM/AU-6(1);CANADA_PBMM/AU-6(3);CANADA_PBMM/CA-7(1);CANADA_PBMM/IR-3(2);CANADA_PBMM/IR-4(1);CANADA_PBMM/IR-4(3);CANADA_PBMM/IR-7(1);CANADA_PBMM/IR-7(2);CANADA_PBMM/SI-4(1);CANADA_PBMM/SI-4(11);CANADA_PBMM/SI-4(16);CANADA_PBMM/SI-4(2);CANADA_PBMM/SI-4(4);CANADA_PBMM/SI-4(7);CIS/4.15;NIST_800_171/3.12.2;NIST_800_171/3.6.3;SOC2/P6.6,"Detect log sink removal and anomalous service account key creation to hide breach evidence; Detect service account key creation and deletion of log export sinks.; Detect disabling of audit logs or deletion of log sinks, impeding post-incident analysis"
aws.cloudtrail.audit.stop_logging,aws,cloudtrail,audit,stop_logging,CANADA_PBMM;CIS;NIST_800_171;PCI_DSS;SOC2,5,17,CANADA_PBMM/AU-6(1);CANADA_PBMM/IR-3(2);CANADA_PBMM/IR-7(2);CANADA_PBMM/RA-5(2);CANADA_PBMM/RA-5(3);CANADA_PBMM/RA-5(5);CANADA_PBMM/RA-5(6);CANADA_PBMM/RA-5(8);CANADA_PBMM/SI-4(16);CANADA_PBMM/SI-4(2);CANADA_PBMM/SI-4(7);CIS/4.15;NIST_800_171/3.12.2;NIST_800_171/3.12.3;NIST_800_171/3.6.3;PCI_DSS/10.6.1;SOC2/P6.6,Detect attempts to disable or delete CloudTrail logging to evade incident response visibility.; Detect privileged role assumption followed by CloudTrail logging disable to evade monitoring; Detect attempts to weaken IAM policy by deleting a policy version and attempts to disable CloudTrail logging to evade monitoring of corrective actions.
alicloud.actiontrail.audit.trail_stop,alicloud,actiontrail,audit,trail_stop,CANADA_PBMM;CIS;PCI_DSS,3,12,CANADA_PBMM/AU-2(3);CANADA_PBMM/AU-6(3);CANADA_PBMM/AU-9(4);CANADA_PBMM/CA-7(1);CANADA_PBMM/IR-3(2);CANADA_PBMM/RA-5(1);CANADA_PBMM/SI-4(2);CANADA_PBMM/SI-4(20);CANADA_PBMM/SI-4(23);CANADA_PBMM/SI-4(4);CIS/4.15;PCI_DSS/6.3.1,Detect stopping of ActionTrail trails or chained RAM role modifications to remove audit capabilities.; Detect stopping of ActionTrail logs or deletion of alert configurations in Security Center to suppress notifications.; Detect stopping of the ActionTrail audit log and attachment of an administrative policy to a user.
ibm.iam.activity_log.api_key_create,ibm,iam,activity_log,api_key_create,CANADA_PBMM;NIST_800_171,2,11,CANADA_PBMM/AU-6(3);CANADA_PBMM/CA-7(1);CANADA_PBMM/IR-4(3);CANADA_PBMM/SI-4(1);CANADA_PBMM/SI-4(11);CANADA_PBMM/SI-4(14);CANADA_PBMM/SI-4(16);CANADA_PBMM/SI-4(2);CANADA_PBMM/SI-4(4);CANADA_PBMM/SI-4(7);NIST_800_171/3.12.3,"Detect creation of an IAM API key followed by deletion of an Activity Tracker event routing rule, indicating credential creation and log tampering.; Detect creation of privileged IAM API keys followed by deletion of Activity Tracker routes to bypass logging; Detect privileged API key creation combined with Activity Tracker event route removal"
alicloud.actiontrail.audit.delete_trail,alicloud,actiontrail,audit,delete_trail,CANADA_PBMM;CIS;NIST_800_171;SOC2,4,8,CANADA_PBMM/IR-4(1);CANADA_PBMM/IR-6(1);CANADA_PBMM/SI-4(16);CIS/2.2.1;CIS/2.3.1;NIST_800_171/3.12.2;NIST_800_171/3.12.3;SOC2/P6.6,Detect RAM access key creation for admin and ActionTrail deletion to evade detection; Detect deletion of RAM policy versions that enforce controls and deletion of ActionTrail trails to evade detection of corrective action failures.; Detect RAM access key creation and ActionTrail deletion to evade incident logging
alicloud.actiontrail.audit.trail_update,alicloud,actiontrail,audit,trail_update,CANADA_PBMM;CIS,2,7,CANADA_PBMM/AU-6(1);CANADA_PBMM/SI-4(1);CANADA_PBMM/SI-4(11);CANADA_PBMM/SI-4(14);CANADA_PBMM/SI-4(7);CIS/1.2.21;CIS/3.1.13,"Detect ActionTrail trail configuration changes that reduce log retention, and trails being stopped or deleted.; Detect ActionTrail configuration changes and suspicious RAM role assumption chains that may indicate defense evasion; Detect ActionTrail trail modifications combined with RAM policy attachments to bypass logging."
oci.audit.activity_log.config_change,oracle,audit,activity_log,config_change,CANADA_PBMM;CIS,2,7,CANADA_PBMM/AU-2(3);CANADA_PBMM/AU-3(1);CIS/1.2.20;CIS/1.2.21;CIS/2.1.2;CIS/3.1.13;CIS/3.2.2,"Detect audit log configuration changes and event rule chains that may tamper with audit trails.; Detect changes to Audit configuration (e.g., disabling collection) and multi-step attempts to disrupt or bypass audit trails.; Detect changes to Audit configuration or retention, and chain of user privilege elevation followed by audit policy modification."
aws.cloudtrail.audit.delete_trail,aws,cloudtrail,audit,delete_trail,CANADA_PBMM;CIS,2,6,CANADA_PBMM/AU-6(3);CANADA_PBMM/IR-4(1);CANADA_PBMM/IR-4(3);CANADA_PBMM/IR-6(1);CANADA_PBMM/IR-7(1);CIS/2.3.1,Detect suspicious IAM role assumption followed by CloudTrail log deletion to evade incident investigation; Detect suspicious IAM role assumption followed by CloudTrail log deletion to cover incident handling evasion.; Detect attempts to disable or delete CloudTrail logs for EKS audit data
gcp.compute.activity_log.update_firewall,gcp,compute,activity_log,update_firewall,CANADA_PBMM;CIS,2,6,CANADA_PBMM/RA-5(2);CANADA_PBMM/RA-5(3);CANADA_PBMM/RA-5(5);CANADA_PBMM/RA-5(6);CANADA_PBMM/RA-5(8);CIS/10.3,Detect firewall rule changes to exclude scanner IPs or disabling of service accounts used by vulnerability scanning tools.; Detect firewall rule changes that exclude scanner IP ranges and service account disabling that could halt vulnerability scanning services.; Detect firewall rule changes to deny scanner IP ranges or disabling service accounts used for vulnerability scanning.
gcp.iam.activity_log.service_account_key,gcp,iam,activity_log,service_account_key,CANADA_PBMM;CIS,2,6,CANADA_PBMM/AC-6(1);CANADA_PBMM/AC-6(5);CANADA_PBMM/IR-4(1);CANADA_PBMM/IR-6(1);CANADA_PBMM/IR-7(1);CIS/5.2.10,Detect service account key creation and IAM policy changes by privileged identities indicating potential privilege abuse.; Detect service account key creation and IAM policy changes that grant broad permissions.; Detect service account key creation and log sink deletion to obscure incident evidence
gcp.logging.audit.sink_deletion,gcp,logging,audit,sink_deletion,CANADA_PBMM;CIS,2,6,CANADA_PBMM/AU-2(3);CANADA_PBMM/AU-9(4);CANADA_PBMM/IR-6(1);CANADA_PBMM/RA-5(1);CIS/2.2.1;CIS/2.3.1,"Detect deletion of log sinks or IAM changes that disrupt export of GKE audit logs; Detect service account key creation and log sink deletion to obscure incident evidence; Detect deletion of log sinks or export configurations, and chained actions to disrupt log flows."
k8s.audit.chain.privilege_escalation,k8s,audit,chain,privilege_escalation,CANADA_PBMM,1,6,CANADA_PBMM/AU-6(3);CANADA_PBMM/SI-4(1);CANADA_PBMM/SI-4(11);CANADA_PBMM/SI-4(14);CANADA_PBMM/SI-4(20);CANADA_PBMM/SI-4(7),Detect suspicious ClusterRoleBinding creation or modification leading to pod exec/port-forward for lateral movement.; Detect multi-step pod or role binding patterns leading to cluster-admin privilege escalation.; Detect multi-step pod/role privilege escalation and anomalous secret access patterns.
k8s.rbac.audit.clusterrole_binding,k8s,rbac,audit,clusterrole_binding,CANADA_PBMM;CIS,2,6,CANADA_PBMM/AC-6(1);CANADA_PBMM/AC-6(9);CANADA_PBMM/AU-6(1);CANADA_PBMM/SI-4(14);CANADA_PBMM/SI-4(7);CIS/5.2.10,Monitor ClusterRoleBinding creations and multi-step patterns for privilege escalation in Kubernetes.; Detect high-privilege ClusterRoleBinding events and multi-step patterns of privileged pod creation leading to node escape attempts; Detect suspicious ClusterRoleBinding creation or modification leading to pod exec/port-forward for lateral movement.
aws.ec2.activity_log.modify_security_group,aws,ec2,activity_log,modify_security_group,CANADA_PBMM,1,5,CANADA_PBMM/RA-5(2);CANADA_PBMM/RA-5(3);CANADA_PBMM/RA-5(5);CANADA_PBMM/RA-5(6);CANADA_PBMM/RA-5(8),Detect attempts to disable vulnerability scanning by modifying security groups to block scanner IPs or stopping CloudTrail logging to evade detection.
azure.network.activity_log.modify_nsg,azure,network,activity_log,modify_nsg,CANADA_PBMM,1,5,CANADA_PBMM/RA-5(2);CANADA_PBMM/RA-5(3);CANADA_PBMM/RA-5(5);CANADA_PBMM/RA-5(6);CANADA_PBMM/RA-5(8),Detect disabling of vulnerability assessments in Security Center or modification of Network Security Groups to block scanner IP ranges.; Detect disabling of vulnerability assessments in Security Center or modification of Network Security Groups to block scanner subnets.; Identify actions that disable Azure Security Center vulnerability assessments or modify Network Security Groups to block scannin
