rule_id,csp,drop_reason
kubernetes.ingress.chain.tls_secret_delete_and_update,k8s,prefix_mismatch
alicloud.athena.workgroup.logging_enabled,alicloud,aws-term:athena
alicloud.cloudfront.distributions.logging_enabled,alicloud,aws-term:cloudfront
alicloud.defender.assessments.vm_endpoint_protection_installed,alicloud,azure-term:defender
alicloud.defender.auto.provisioning_vulnerabilty_assessments_machines_on,alicloud,azure-term:defender
alicloud.defender.ensure.defender_for_alicloud_sql_databases_is_on,alicloud,azure-term:defender
alicloud.defender.ensure.defender_for_app_services_is_on,alicloud,azure-term:defender
alicloud.defender.ensure.defender_for_arm_is_on,alicloud,azure-term:defender
alicloud.defender.ensure.defender_for_cosmosdb_is_on,alicloud,azure-term:cosmosdb
alicloud.defender.ensure.defender_for_databases_is_on,alicloud,azure-term:defender
alicloud.defender.ensure.defender_for_keyvault_is_on,alicloud,azure-term:defender
alicloud.defender.ensure.defender_for_os_relational_databases_is_on,alicloud,azure-term:defender
alicloud.defender.ensure.defender_for_server_is_on,alicloud,azure-term:defender
alicloud.defender.ensure.defender_for_sql_servers_is_on,alicloud,azure-term:defender
alicloud.defender.ensure.defender_for_storage_is_on,alicloud,azure-term:defender
alicloud.defender.ensure.iot_hub_defender_is_on,alicloud,azure-term:defender
alicloud.defender.ensure.notify_emails_to_owners,alicloud,azure-term:defender
alicloud.defender.ensure.wdatp_is_enabled,alicloud,azure-term:defender
alicloud.dynamodb.accelerator.cluster_encryption_enabled,alicloud,aws-term:dynamodb
alicloud.dynamodb.accelerator.cluster_in_transit_encryption_enabled,alicloud,aws-term:dynamodb
alicloud.dynamodb.accelerator.cluster_multi_az,alicloud,aws-term:dynamodb
alicloud.dynamodb.autoscaling.enabled,alicloud,aws-term:dynamodb
alicloud.dynamodb.pitr.enabled,alicloud,aws-term:dynamodb
alicloud.dynamodb.tables.kms_cmk_encryption_enabled,alicloud,aws-term:dynamodb
alicloud.entra.conditional.access_policy_require_mfa_for_management_api,alicloud,azure-term:entra
alicloud.entra.conditional.access_policy_require_mfa_for_management_app,alicloud,azure-term:entra
alicloud.entra.global.admin_in_less_than_five_users,alicloud,azure-term:entra
alicloud.entra.non.privileged_user_has_mfa,alicloud,azure-term:entra
alicloud.entra.policy.default_users_cannot_create_security_groups,alicloud,azure-term:entra
alicloud.entra.policy.ensure_default_user_cannot_create_apps,alicloud,azure-term:entra
alicloud.entra.policy.ensure_default_user_cannot_create_tenants,alicloud,azure-term:entra
alicloud.entra.policy.guest_invite_only_for_admin_roles,alicloud,azure-term:entra
alicloud.entra.policy.guest_users_access_restrictions,alicloud,azure-term:entra
alicloud.entra.policy.restricts_user_consent_for_apps,alicloud,azure-term:entra
alicloud.entra.policy.user_consent_for_verified_apps,alicloud,azure-term:entra
alicloud.entra.privileged.user_has_mfa,alicloud,azure-term:entra
alicloud.entra.security.defaults_enabled,alicloud,azure-term:entra
alicloud.entra.trusted.named_locations_exists,alicloud,azure-term:entra
alicloud.entra.user.with_vm_access_has_mfa,alicloud,azure-term:entra
alicloud.entra.users.cannot_create_microsoft_365_groups,alicloud,azure-term:entra
alicloud.ram.policy.no_full_access_to_cloudtrail,alicloud,aws-term:cloudtrail
alicloud.rds.aurora.backup_enabled,alicloud,aws-term:rds
alicloud.rds.auto.minor_version_upgrade,alicloud,aws-term:rds
alicloud.rds.connection.credentials_in_kms_configured,alicloud,aws-term:rds
alicloud.rds.dynamodb.table_encryption_enabled,alicloud,aws-term:rds
alicloud.rds.instance.backup_policy,alicloud,aws-term:rds
alicloud.rds.instance.configuration_change_monitoring,alicloud,aws-term:rds
alicloud.rds.instance.default_admin,alicloud,aws-term:rds
alicloud.rds.instance.deletion_protection,alicloud,aws-term:rds
alicloud.rds.instance.enhanced_monitoring_enabled,alicloud,aws-term:rds
alicloud.rds.instance.inside_vpc,alicloud,aws-term:rds
alicloud.rds.instance.integration_cloudmonitor_logs,alicloud,aws-term:rds
alicloud.rds.instance.integration_cloudwatch_logs,alicloud,aws-term:rds
alicloud.rds.instance.multi_az,alicloud,aws-term:rds
alicloud.rds.instance.performance_insights_enabled,alicloud,aws-term:rds
alicloud.rds.instance.protected_by_backup_plan,alicloud,aws-term:rds
alicloud.rds.instance.sql_audit_retention_period_check,alicloud,aws-term:rds
