control_id,top_req,cspm_scope,title,source
1.2.2,1,yes,All changes to network connections and to configurations of NSCs are approved and managed in accordance with the change control process defined at Requirement 6.5.1.,"azure,local_json,pdf"
1.2.4,1,yes,An accurate data-flow diagram(s) is maintained that meets the following: • Shows all account data flows across systems and networks. • Updated as needed upon changes to the environment.,"azure,local_json,pdf"
3.2.1,3,yes,"A formal data retention policy identifies what data needs to be retained, for how long, and where that data resides so it can be securely destroyed or deleted as soon as it is no longer needed. The only account data that","azure,local_json,pdf"
3.5.1.1,3,yes,"Hashes used to render PAN unreadable (per the first bullet of Requirement 3.5.1) are keyed cryptographic hashes of the entire PAN, with associated key management processes and procedures in accordance with Requirements 3","azure,local_json,pdf"
3.7.9,3,yes,"3.7.9 Additional requirement for service providers only: Where a service provider shares cryptographic keys with its customers for transmission or storage of account data, guidance on secure transmission, storage and upd","azure,local_json,pdf"
5.2.1,5,yes,"An anti-malware solution(s) is deployed on all system components, except for those system components identified in periodic evaluations per Requirement 5.2.3 that concludes the system components are not at risk from malw","azure,local_json"
5.3.2.1,5,yes,"If periodic malware scans are performed to meet Requirement 5.3.2, the frequency of scans is defined in the entity’s targeted risk analysis, which is performed according to all elements specified in Requirement 12.3.1.","azure,local_json,pdf"
5.3.4,5,yes,Audit logs for the anti-malware solution(s) are enabled and retained in accordance with Requirement 10.5.1.,"azure,local_json,pdf"
6.3.1,6,yes,"Security vulnerabilities are identified and managed as follows: • New security vulnerabilities are identified using industry-recognized sources for security vulnerability information, including alerts from international ","azure,local_json,pdf"
6.3.3,6,yes,All system components are protected from known vulnerabilities by installing applicable security patches/updates as follows: • Patches/updates for critical vulnerabilities (identified according to the risk ranking proces,"azure,local_json,pdf"
6.5.2,6,yes,"6.5.2 Upon completion of a significant change, all applicable PCI DSS requirements are confirmed to be in place on all new or changed systems and networks, and documentation is updated as applicable.","azure,local_json,pdf"
7.2.4,7,yes,"All user accounts and related access privileges, including third-party/vendor accounts, are reviewed as follows:   • At least once every six months.   • To ensure user accounts and access remain appropriate based on job ","azure,local_json,pdf"
7.2.6,7,yes,"All user access to query repositories of stored cardholder data is restricted as follows:   • Via applications or other programmatic methods, with access and allowed actions based on user roles and least privileges.   • ","azure,local_json,pdf"
8.2.2,8,yes,"Group, shared, or generic IDs, or other shared authentication credentials are only used when necessary on an exception basis, and are managed as follows: • ID use is prevented unless needed for an exceptional circumstanc","azure,local_json,pdf"
8.2.3,8,yes,Additional requirement for service providers only: Service providers with remote access to customer premises use unique authentication factors for each customer premises.,"azure,local_json,pdf"
8.3.1,8,yes,"All user access to system components for users and administrators is authenticated via at least one of the following authentication factors: • Something you know, such as a password or passphrase. • Something you have, s","azure,local_json,pdf"
8.3.2,8,yes,Strong cryptography is used to render all authentication factors unreadable during transmission and storage on all system components.,"azure,local_json,pdf"
8.3.5,8,yes,"If passwords/passphrases are used as authentication factors to meet Requirement 8.3.1, they are set and reset for each user as follows: • Set to a unique value for first-time use and upon reset. • Forced to be changed im","azure,local_json,pdf"
8.3.6,8,yes,"If passwords/passphrases are used as authentication factors to meet Requirement 8.3.1, they meet the following minimum level of complexity: • A minimum length of 12 characters (or if the system does not support 12 charac","azure,local_json,pdf"
8.3.10.1,8,yes,"Additional requirement for service providers only: If passwords/passphrases are used as the only authentication factor for customer user access, then either: • Passwords/passphrases are changed at least once every 90 day","azure,local_json,pdf"
8.6.2,8,yes,"Passwords/passphrases for any application and system accounts that can be used for interactive login must not be hard coded in scripts, configuration/property files, or bespoke/custom source code.","azure,local_json"
9.4.6,9,no-physical,"Hard-copy materials with cardholder data are destroyed when no longer needed for business or legal reasons, as follows: cross-cut shredded, incinerated, or pulped; stored in secure containers prior to destruction.","azure,local_json"
9.4.7,9,no-physical,Electronic media with cardholder data is destroyed when no longer needed for business or legal reasons via one of the following: the electronic media is destroyed or the cardholder data is rendered unrecoverable so that ,"azure,local_json,pdf"
9.5.1.2.1,9,no-physical,"The frequency of periodic POI device inspections and the type of inspections performed is defined in the entity’s targeted risk analysis, which is performed according to all elements specified in Requirement 12.3.1.","azure,local_json"
10.2.2,10,yes,"Audit logs record the following details for each auditable event: user identification, type of event, date and time, success and failure indication, origination of event, identity or name of affected data, system compone","azure,local_json,pdf"
