control_id,family,cspm_scope,title,aws_checks,aws_match_confidence,azure_checks,azure_match_confidence,gcp_checks,gcp_match_confidence,oracle_checks,oracle_match_confidence,ibm_checks,ibm_match_confidence,alicloud_checks,alicloud_match_confidence,k8s_checks,k8s_match_confidence,aws_ciem_checks,azure_ciem_checks,gcp_ciem_checks,oracle_ciem_checks,ibm_ciem_checks,alicloud_ciem_checks,k8s_ciem_checks
AC-2(1),AC,yes,Account Management (1),NEW: aws.iam.account.account_management_enabled,0.00,NEW: azure.aad.user.account_management_enabled,0.00,NEW: gcp.iam.service_account.account_management_enabled,0.00,NEW: oci.identity.user.account_management_enabled,0.00,NEW: ibm.iam.user.account_management_enabled,0.00,NEW: alicloud.ram.user.account_management_enabled,0.00,NEW: k8s.rbac.user.account_management_enabled,0.00,,,,,,,
AC-2(2),AC,yes,Account Management (2),NEW: aws.iam.account.password_policy.minimum_length,0.00,NEW: azure.aad.identity_protection.password_policy.minimum_length,0.00,NEW: gcp.iam.account.password_policy.minimum_length,0.00,NEW: oci.identity.auth_policy.password_policy.minimum_length,0.00,NEW: ibm.iam.account.password_policy.minimum_length,0.00,NEW: alicloud.ram.security_preference.password_policy.minimum_length,0.00,"SKIP: Account and password policy management is a cloud provider or external identity system function, not a native Kubernetes construct.",0.00,,,,,,,
AC-2(3),AC,yes,Account Management (3),NEW: aws.iam.account.password_policy.minimum_length,0.00,NEW: azure.aad.password_policy.minimum_length,0.00,NEW: gcp.iam.account.password_policy.minimum_length,0.00,NEW: oci.identity.password_policy.minimum_length,0.00,NEW: ibm.iam.password_policy.minimum_length,0.00,NEW: alicloud.ram.password_policy.minimum_length,0.00,SKIP: Account/password policy is managed by an external identity provider or the underlying platform; no native K8s resource configures this.,0.00,,,,,,,
AC-2(4),AC,yes,Account Management (4),NEW: aws.iam.account.password_policy.minimum_length,0.00,NEW: azure.aad.users.password_policy.enforce_strong_authn,0.00,NEW: gcp.iam.organization_policy.disable_password_reuse,0.00,PARTIAL: oci.identity.auth_policy.password_policy | verifies password policy configuration exists in IAM but may not cover all organizational process requirements,0.00,"PARTIAL: ibm.iam.account_settings.password_policy | verifies IAM account-level password policy settings exist, but lacks granular user-level enforcement verification",0.00,NEW: alicloud.ram.password_policy.minimum_length,0.00,SKIP: Kubernetes native resources do not manage external user identities or password policies; control is managed at the cloud provider or enterprise directory level,0.00,,,,,,,
AC-2(5),AC,yes,Account Management (5),NEW: aws.iam.user.inactive_disable,0.00,NEW: azure.aad.user.inactive_disable,0.00,NEW: gcp.iam.service_account.inactive_disable,0.00,PARTIAL: oci.identity.user.inactive_disable | OCI IAM supports local users; rule can verify inactivity policy but primary identity is often federated,0.00,PARTIAL: ibm.iam.user.inactive_disable | IBM Cloud IAM supports local users; rule can verify inactivity setting but enterprise accounts often use federated identity,0.00,NEW: alicloud.ram.user.inactive_disable,0.00,"SKIP: Kubernetes has no native user object or standard resource for user account lifecycle management; user authentication is external (e.g., via OIDC, x509, or service accounts)",0.00,,,,,,,
AC-2(7),AC,yes,Account Management | Role-Based Schemes,aws.iam.role.least_privilege;aws.iam.policy.editors_rbac_least_privilege;aws.iam.role.scopes_or_s_least_privilege,0.75,azure.ad.role.least_privilege;azure.backup.policy.access_backup_vault_rbac_least_privilege;azure.monitor.trace.access_rbac_least_privilege,0.67,gcp.trace.trace.trace_access_rbac_least_privilege;gcp.iam.policy.rbac_policy_conditions_used_where_applicable;gcp.trace.trace.monitoring_access_rbac_least_privilege,0.60,oci.identity.policy.policy_editors_rbac_least_privilege_required;oci.identity.policy.policy_admin_rbac_least_privilege_required;oci.database.database.database_policy_least_privilege_required,0.43,ibm.iam_policy_management.policy.no_wildcard_actions;ibm.iam_policy_management.policy.description_present;ibm.iam_policy_management.policy.time_based_conditions_for_sensitive,0.43,alicloud.dataworks.lineage.access_rbac_least_privilege;alicloud.ack.configuration_management.parameter_access_rbac_least_privilege;alicloud.dataworks.lineage_data.lineage_access_rbac_least_privilege,0.50,k8s.rbac.role.least_privilege_enforced;k8s.role.permission.secrets_access_restricted;k8s.rbac.serviceaccount.least_privilege,0.60,,,,,,,
AC-2(9),AC,yes,Account Management (9),NEW: aws.iam.account.allow_root_mfa,0.00,NEW: azure.aad.user.allow_guest_invites,0.00,NEW: gcp.iam.project.allow_service_account_keys,0.00,NEW: oci.iam.user.allow_customer_secret_keys,0.00,PARTIAL: ibm.iam.user.mfa_status | verifies MFA configuration for IAM users but does not cover all account lifecycle processes,0.00,NEW: alicloud.ram.user.allow_login_profile,0.00,NEW: k8s.rbac.user.allow_anonymous_auth,0.00,,,,,,,
AC-2(10),AC,yes,Account Management (10),NEW: aws.iam.account.password_policy.minimum_length,0.00,NEW: azure.iam.subscription.password_policy.minimum_length,0.00,NEW: gcp.iam.project.password_policy.minimum_length,0.00,NEW: oci.identity.auth_policy.password_policy.minimum_length,0.00,NEW: ibm.iam.account.password_policy.minimum_length,0.00,NEW: alicloud.ram.account.password_policy.minimum_length,0.00,"SKIP: Account and password policy are managed by an external identity provider or the underlying platform, not by Kubernetes native resources.",0.00,,,,,,,
AC-4(21),AC,yes,Information Flow Enforcement (21),NEW: aws.vpc.network_acl.rule_action,0.00,NEW: azure.network.network_security_group.rule_access,0.00,NEW: gcp.compute.firewall.rule_direction,0.00,NEW: oci.core.security_list.ingress_egress,0.00,NEW: ibm.is.vpc.security_group.rule_direction,0.00,NEW: alicloud.vpc.network_acl.entry_policy,0.00,NEW: k8s.network.network_policy.spec_pod_selector,0.00,,,,,,,
AC-6(1),AC,yes,Least Privilege (1),aws.iam.role.least_privilege;aws.iam.policy.editors_rbac_least_privilege;aws.iam.role.scopes_or_s_least_privilege,0.75,azure.ad.role.least_privilege;azure.backup.policy.access_backup_vault_rbac_least_privilege;azure.monitor.trace.access_rbac_least_privilege,0.67,gcp.trace.trace.trace_access_rbac_least_privilege;gcp.iam.policy.rbac_policy_conditions_used_where_applicable;gcp.trace.trace.monitoring_access_rbac_least_privilege,0.60,oci.identity.policy.policy_editors_rbac_least_privilege_required;oci.identity.policy.policy_admin_rbac_least_privilege_required;oci.database.database.database_policy_least_privilege_required,0.43,ibm.iam.policy.rbac_least_privilege;ibm.iam.role.least_privilege_enforced,refined,alicloud.dataworks.lineage.access_rbac_least_privilege;alicloud.dataworks.lineage_data.lineage_access_rbac_least_privilege;alicloud.cas.cas_private_ca.private_ca_ca_access_rbac_least_privilege,0.50,k8s.rbac.role.least_privilege_enforced;k8s.role.permission.secrets_access_restricted;k8s.rbac.serviceaccount.least_privilege,0.60,NEW: aws.iam.activity_log.assume_role;aws.cloudtrail.audit.console_login,NEW: azure.aad.activity_log.privileged_signin;azure.rbac.audit.role_assignment,NEW: gcp.iam.activity_log.service_account_key;gcp.cloudaudit.audit.set_iam_policy,NEW: oci.iam.audit.user_capability;oci.identity.chain.admin_escalation,NEW: ibm.iam.activity_log.api_key;ibm.resource.audit.service_policy,NEW: alicloud.ram.activity_log.attach_policy;alicloud.actiontrail.chain.privilege_abuse,NEW: k8s.rbac.audit.clusterrole_binding;k8s.apiserver.chain.escalation_pattern
