framework,control_id,control_title,csp,rule_type,suggested_rule_id,intent
SOC2,P6.6,"The entity provides notification of breaches and incidents to affected data subjects, regulators, and others to meet its objectives related to privacy.",aws,ciem,aws.cloudtrail.activity_log.delete_trail,Detect attempts to disable or delete CloudTrail logs to evade breach notification obligations
SOC2,P6.6,"The entity provides notification of breaches and incidents to affected data subjects, regulators, and others to meet its objectives related to privacy.",aws,ciem,aws.cloudtrail.audit.stop_logging,Detect attempts to disable or delete CloudTrail logs to evade breach notification obligations
SOC2,P6.6,"The entity provides notification of breaches and incidents to affected data subjects, regulators, and others to meet its objectives related to privacy.",azure,ciem,azure.monitor.activity_log.delete_diagnostic_setting,Detect deletion of diagnostic settings or disabling of Azure Security Center to obstruct incident visibility
SOC2,P6.6,"The entity provides notification of breaches and incidents to affected data subjects, regulators, and others to meet its objectives related to privacy.",azure,ciem,azure.security.audit.disable_asc,Detect deletion of diagnostic settings or disabling of Azure Security Center to obstruct incident visibility
SOC2,P6.6,"The entity provides notification of breaches and incidents to affected data subjects, regulators, and others to meet its objectives related to privacy.",gcp,ciem,gcp.logging.audit.sink_delete,Detect log sink removal and anomalous service account key creation to hide breach evidence
SOC2,P6.6,"The entity provides notification of breaches and incidents to affected data subjects, regulators, and others to meet its objectives related to privacy.",gcp,ciem,gcp.iam.chain.service_account_key_abuse,Detect log sink removal and anomalous service account key creation to hide breach evidence
SOC2,P6.6,"The entity provides notification of breaches and incidents to affected data subjects, regulators, and others to meet its objectives related to privacy.",oracle,ciem,oci.audit.chain.config_change_then_disable,Detect configuration changes followed by audit log disabling to evade incident detection
SOC2,P6.6,"The entity provides notification of breaches and incidents to affected data subjects, regulators, and others to meet its objectives related to privacy.",ibm,ciem,ibm.activity_tracker.audit.delete_route,Detect activity tracker route deletion and IAM privilege escalation to suppress breach alerts
SOC2,P6.6,"The entity provides notification of breaches and incidents to affected data subjects, regulators, and others to meet its objectives related to privacy.",ibm,ciem,ibm.iam.chain.privilege_escalation,Detect activity tracker route deletion and IAM privilege escalation to suppress breach alerts
SOC2,P6.6,"The entity provides notification of breaches and incidents to affected data subjects, regulators, and others to meet its objectives related to privacy.",alicloud,ciem,alicloud.actiontrail.audit.delete_trail,Detect ActionTrail deletion and anomalous RAM role assumption to circumvent logging
