control_id,top_req,cspm_scope,title,source,aws_checks,aws_match_confidence,azure_checks,azure_match_confidence,gcp_checks,gcp_match_confidence,oracle_checks,oracle_match_confidence,ibm_checks,ibm_match_confidence,alicloud_checks,alicloud_match_confidence,k8s_checks,k8s_match_confidence,aws_ciem_checks,azure_ciem_checks,gcp_ciem_checks,oracle_ciem_checks,ibm_ciem_checks,alicloud_ciem_checks,k8s_ciem_checks
1.2.2,1,yes,All changes to network connections and to configurations of NSCs are approved and managed in accordance with the change control process defined at Requirement 6.5.1.,"azure,local_json,pdf",aws.vpc.network.security_monitored,0.40,azure.network.vnet.subnet.nsg.association.check;azure.network.firewall.no_permit_any_any;azure.network.firewall.logging_enabled,0.57,PARTIAL: gcp.compute.firewall.no_permit_all | verifies default-deny posture but not the approval process for changes,0.00,oci.network_firewall.network_firewall.multi_az;oci.network_firewall.network_firewall.in_all_vcn;oci.network_firewall.network_firewall.firewall_no_permit_any,0.40,ibm.vpc.subnet.not_using_default_network_acl;ibm.vpc.activity.vpc_change;ibm.vpc.activity.network_acl_change,0.50,alicloud.cms.alerts.delete_nsg;alicloud.cfw.network.firewall_no_permit_any_any;alicloud.actiontrail.vpc.change_monitoring,0.40,PARTIAL: k8s.network.changes.monitored | verifies logging of network changes but not the approval process,0.50,,,,,,,
1.2.4,1,yes,An accurate data-flow diagram(s) is maintained that meets the following: • Shows all account data flows across systems and networks. • Updated as needed upon changes to the environment.,"azure,local_json,pdf","SKIP: Requires documentation of data flows, not a specific cloud resource configuration.",0.00,"SKIP: Requires documentation of data flows, not a specific cloud resource configuration.",0.00,"SKIP: Requires documentation of data flows, not a specific cloud resource configuration.",0.00,"SKIP: Requires documentation of data flows, not a specific cloud resource configuration.",0.00,"SKIP: Requires documentation of data flows, not a specific cloud resource configuration.",0.00,"SKIP: Requires documentation of data flows, not a specific cloud resource configuration.",0.00,"SKIP: Requires documentation of data flows, not a specific cloud resource configuration.",0.00,,,,,,,
3.2.1,3,yes,"A formal data retention policy identifies what data needs to be retained, for how long, and where that data resides so it can be securely destroyed or deleted as soon as it is no longer needed. The only account data that","azure,local_json,pdf",aws.iam.role.least_privilege;aws.iam.policy.editors_rbac_least_privilege;aws.iam.role.scopes_or_s_least_privilege,0.75,azure.ad.role.least_privilege;azure.backup.policy.access_backup_vault_rbac_least_privilege;azure.monitor.trace.access_rbac_least_privilege,0.67,gcp.trace.trace.trace_access_rbac_least_privilege;gcp.iam.policy.rbac_policy_conditions_used_where_applicable;gcp.trace.trace.monitoring_access_rbac_least_privilege,0.60,oci.identity.policy.policy_editors_rbac_least_privilege_required;oci.identity.policy.policy_admin_rbac_least_privilege_required;oci.database.database.database_policy_least_privilege_required,0.43,ibm.iam.policy.rbac_least_privilege;ibm.cos.bucket.lifecycle_policy_configured;ibm.activity-tracker.trail.log_retention_configured,refined,alicloud.dataworks.lineage.access_rbac_least_privilege;alicloud.dataworks.lineage_data.lineage_access_rbac_least_privilege;alicloud.cas.cas_private_ca.private_ca_ca_access_rbac_least_privilege,0.50,k8s.rbac.role.least_privilege_enforced;k8s.role.permission.secrets_access_restricted;k8s.rbac.serviceaccount.least_privilege,0.60,,,,,,,
3.5.1.1,3,yes,"Hashes used to render PAN unreadable (per the first bullet of Requirement 3.5.1) are keyed cryptographic hashes of the entire PAN, with associated key management processes and procedures in accordance with Requirements 3","azure,local_json,pdf","SKIP: Control pertains to application-level data processing and cryptographic key management, not directly to cloud resource configuration.",0.00,"SKIP: Control pertains to application-level data processing and cryptographic key management, not directly to cloud resource configuration.",0.00,"SKIP: Control pertains to application-level data processing and cryptographic key management, not directly to cloud resource configuration.",0.00,"SKIP: Control pertains to application-level data processing and cryptographic key management, not directly to cloud resource configuration.",0.00,"SKIP: Control pertains to application-level data processing and cryptographic key management, not directly to cloud resource configuration.",0.00,"SKIP: Control pertains to application-level data processing and cryptographic key management, not directly to cloud resource configuration.",0.00,"SKIP: Control pertains to application-level data processing and cryptographic key management, not directly to cloud resource configuration.",0.00,,,,,,,
3.7.9,3,yes,"3.7.9 Additional requirement for service providers only: Where a service provider shares cryptographic keys with its customers for transmission or storage of account data, guidance on secure transmission, storage and upd","azure,local_json,pdf",aws.s3.bucket.storage_encrypted_and_private;aws.s3.bucket.object_versioning_configured;aws.ebs.volume.snapshots_encrypted,0.40,azure.storage.bucket.object.versioning;azure.storage.disk.data_protection_volume_snapshots_encrypted;azure.storage.blob.data_protection_object_not_publicly_readable,0.60,gcp.storage.object.object_not_publicly_readable;gcp.storage.object.object_encrypted_at_rest;gcp.storage.bucket.bucket_versioning_enabled,0.40,oci.object_storage.bucket.storage_bucket_secure_transport_policy;oci.object_storage.bucket.storage_bucket_object_versioning;oci.object_storage.bucket.storage_accounts,0.50,ibm.object_storage.bucket.versioning_enabled;ibm.object_storage.bucket.ssl_enforced;ibm.object_storage.bucket.no_public_access,0.43,alicloud.ecs.ebs.volume_encryption,0.40,k8s.storage.volume.snapshot_enabled;k8s.storage.volume.backup_policy_defined;k8s.storage.volume.backup_enabled,0.40,,,,,,,
5.2.1,5,yes,"An anti-malware solution(s) is deployed on all system components, except for those system components identified in periodic evaluations per Requirement 5.2.3 that concludes the system components are not at risk from malw","azure,local_json",NEW: aws.ec2.instance.antimalware_agent,0.00,NEW: azure.compute.virtual_machine.antimalware_extension,0.00,NEW: gcp.compute.instance.guest_policy,0.00,"PARTIAL: oci.compute.instance.agent_status | verifies management agent is installed and running, which is a prerequisite for anti-malware, but does not verify the anti-malware solution itself",0.00,"PARTIAL: ibm.vpc.instance.agent_status | verifies VPC instance metadata for agent status, which can indicate security agent presence, but does not directly verify anti-malware",0.00,"PARTIAL: alicloud.ecs.instance.security_agent | verifies the installation status of the Cloud Security Center agent, which provides anti-malware capabilities, but does not verify specific anti-malware configuration or execution",0.00,NEW: k8s.security.pod_security_policy,0.00,,,,,,,
5.3.2.1,5,yes,"If periodic malware scans are performed to meet Requirement 5.3.2, the frequency of scans is defined in the entity’s targeted risk analysis, which is performed according to all elements specified in Requirement 12.3.1.","azure,local_json,pdf","SKIP: Control defines a process for setting scan frequency, not a specific cloud resource configuration.",0.00,"SKIP: Control defines a process for setting scan frequency, not a specific cloud resource configuration.",0.00,"SKIP: Control defines a process for setting scan frequency, not a specific cloud resource configuration.",0.00,"SKIP: Control defines a process for setting scan frequency, not a specific cloud resource configuration.",0.00,"SKIP: Control defines a process for setting scan frequency, not a specific cloud resource configuration.",0.00,"SKIP: Control defines a process for setting scan frequency, not a specific cloud resource configuration.",0.00,"SKIP: Control defines a process for setting scan frequency, not a specific cloud resource configuration.",0.00,,,,,,,
5.3.4,5,yes,Audit logs for the anti-malware solution(s) are enabled and retained in accordance with Requirement 10.5.1.,"azure,local_json,pdf",aws.cloudtrail.trail.flow_logging_enabled;aws.cloudtrail.cloudwatch.logging_enabled;aws.cloudtrail.trail.log_trail_logs_centralized_and_encrypted,0.67,azure.monitor.log.logging_enabled;azure.security.defender.enabled;azure.purview.catalog.data_catalog_audit_logging_enabled,0.60,gcp.datacatalog.catalog.catalog_catalog_audit_logging_enabled;gcp.datacatalog.entry.catalog_audit_logging_enabled;gcp.datacatalog.catalog.lineage_catalog_audit_logging_enabled,0.50,oci.audit.configuration.logging_enabled;oci.identity.user.audit_logs_enabled;oci.data_catalog.catalog.catalog_audit_logging_enabled,0.60,PARTIAL: ibm.activity_tracker.tracker.logging_enabled | verifies platform audit logging exists but not host-based anti-malware agent logs,0.00,alicloud.ims.audit.logs_enabled;alicloud.actiontrail.trail.logging_enabled;alicloud.hologres.parameter.audit_logging_enabled,0.60,k8s.audit.log.enabled;k8s.audit.log.integrity_enabled;k8s.apiserver.audit.logging_enabled,0.75,NEW: aws.guardduty.audit.disable;aws.cloudtrail.chain.antimalware_log_deletion,NEW: azure.securitycenter.audit.disable;azure.monitor.chain.log_removal,NEW: gcp.securitycenter.audit.disable;gcp.logging.chain.sink_deletion,NEW: oci.events.audit.log_disable;oci.logging.chain.log_group_deletion,NEW: ibm.securityadvisor.audit.disable;ibm.activitytracker.chain.log_export_delete,NEW: alicloud.securitycenter.audit.disable;alicloud.actiontrail.chain.trail_deletion,NEW: k8s.falco.audit.disable;k8s.fluentd.chain.log_evasion
6.3.1,6,yes,"Security vulnerabilities are identified and managed as follows: • New security vulnerabilities are identified using industry-recognized sources for security vulnerability information, including alerts from international ","azure,local_json,pdf",NEW: aws.ec2.instance.vulnerability_scan,0.00,azure.security.vulnerability_maintenance.vuln_maintenance_window_defined,0.43,gcp.osconfig.patch_deployment.managed_compliant_patching,0.38,NEW: oci.vulnerability_scanning.host_scan_target,0.00,PARTIAL: ibm.vpc.instance.vulnerability_scan | verifies scan target configuration exists but not the external intelligence source or human process,0.00,alicloud.cms.alerts.create_update_security_solution;alicloud.bss.managed.compliant_patching;alicloud.cloudmonitor.alerts.security_solution_creation_update_monitored,0.43,"SKIP: Control is about external vulnerability identification processes and industry alerts, not a verifiable configuration of Kubernetes resources.",0.00,NEW: aws.securityhub.activity_log.finding_import;aws.guardduty.activity_log.finding_creation,NEW: azure.securitycenter.activity_log.alert_suppression;azure.policy.activity_log.exemption_creation,NEW: gcp.securitycenter.activity_log.finding_state_change;gcp.cloudasset.activity_log.export_delete,NEW: oci.vulnerabilityscanning.activity_log.host_scan_disable;oci.events.audit.rule_deactivation,NEW: ibm.securityadvisor.activity_log.note_creation;ibm.activitytracker.audit.config_change,NEW: alicloud.sas.activity_log.backup_policy_delete;alicloud.actiontrail.audit.trail_stop,NEW: k8s.admission.audit.webhook_bypass;k8s.rbac.chain.clusterrole_escalation
6.3.3,6,yes,All system components are protected from known vulnerabilities by installing applicable security patches/updates as follows: • Patches/updates for critical vulnerabilities (identified according to the risk ranking proces,"azure,local_json,pdf",aws.ec2.instance.patches_applied;aws.ssm.patch_compliance_status,refined,azure.security.defender.system_updates_applied,0.40,gcp.compute.instance.patches_applied;gcp.osconfig.patch_compliance_status,refined,oci.compute.instance.patches_applied;oci.osmanagement.managed_instance_compliance,refined,ibm.vpc.instance.patches_applied;ibm.schematics.workspace_compliance,refined,alicloud.cr.image.critical_vulnerabilities_blocked,0.40,k8s.pod.security.patches_applied,0.40,,,,,,,
