rule_id,csp,service,resource,attribute,frameworks,framework_count,control_count,mapped_controls,suggested_intent
alicloud.ram.password_policy.minimum_length,alicloud,ram,password_policy,minimum_length,CANADA_PBMM;PCI_DSS,2,17,CANADA_PBMM/AC-2(3);CANADA_PBMM/AC-2(4);CANADA_PBMM/IA-2(3);CANADA_PBMM/IA-2(6);CANADA_PBMM/IA-5(1);CANADA_PBMM/IA-5(11);CANADA_PBMM/IA-5(2);CANADA_PBMM/IA-5(3);CANADA_PBMM/IA-5(4);CANADA_PBMM/IA-5(6);CANADA_PBMM/IA-5(7);CANADA_PBMM/IA-5(8);CANADA_PBMM/IR-9(3);PCI_DSS/A1.2.1;PCI_DSS/A3.2.2.1;PCI_DSS/A3.3.2;PCI_DSS/A3.5,Check RAM password policy enforces a minimum length.; Ensure RAM password policy enforces a minimum password length of 14 characters.; Check that RAM password policy enforces a minimum length.
azure.aad.password_policy.minimum_length,azure,aad,password_policy,minimum_length,CANADA_PBMM;PCI_DSS,2,15,CANADA_PBMM/AC-2(3);CANADA_PBMM/IA-2(3);CANADA_PBMM/IA-2(6);CANADA_PBMM/IA-5(1);CANADA_PBMM/IA-5(11);CANADA_PBMM/IA-5(2);CANADA_PBMM/IA-5(4);CANADA_PBMM/IA-5(6);CANADA_PBMM/IA-5(7);CANADA_PBMM/IA-5(8);CANADA_PBMM/IR-9(3);PCI_DSS/A1.2.1;PCI_DSS/A3.2.2.1;PCI_DSS/A3.3.2;PCI_DSS/A3.5,Check Azure AD password policy enforces a minimum password length.; Ensure Azure AD password policy enforces a minimum password length of 14 characters.; Ensure Azure AD password policy requires a minimum length of 14 characters.
gcp.iam.password_policy.minimum_length,gcp,iam,password_policy,minimum_length,CANADA_PBMM;PCI_DSS,2,14,CANADA_PBMM/IA-2(6);CANADA_PBMM/IA-5(1);CANADA_PBMM/IA-5(11);CANADA_PBMM/IA-5(2);CANADA_PBMM/IA-5(3);CANADA_PBMM/IA-5(4);CANADA_PBMM/IA-5(6);CANADA_PBMM/IA-5(7);CANADA_PBMM/IA-5(8);CANADA_PBMM/IR-9(3);PCI_DSS/A1.2.1;PCI_DSS/A3.2.2.1;PCI_DSS/A3.3.2;PCI_DSS/A3.5,Check that IAM password policy for Cloud Identity requires a minimum length.; Check that IAM password policy enforces a minimum length of 14 characters.; Ensure IAM password policy requires a minimum length of 14 characters.
aws.iam.password_policy.minimum_length,aws,iam,password_policy,minimum_length,CANADA_PBMM;PCI_DSS,2,12,CANADA_PBMM/IA-5(11);CANADA_PBMM/IA-5(2);CANADA_PBMM/IA-5(3);CANADA_PBMM/IA-5(4);CANADA_PBMM/IA-5(6);CANADA_PBMM/IA-5(7);CANADA_PBMM/IA-5(8);CANADA_PBMM/IR-9(3);PCI_DSS/A1.2.1;PCI_DSS/A3.2.2.1;PCI_DSS/A3.3.2;PCI_DSS/A3.5,Check that IAM password policy enforces a minimum length of 14 characters.; Check IAM password policy enforces a minimum password length.; Ensure IAM password policy requires a minimum length of 14 characters.
ibm.iam.password_policy.minimum_length,ibm,iam,password_policy,minimum_length,CANADA_PBMM;PCI_DSS,2,10,CANADA_PBMM/AC-2(3);CANADA_PBMM/IA-2(3);CANADA_PBMM/IA-5(11);CANADA_PBMM/IA-5(4);CANADA_PBMM/IA-5(6);CANADA_PBMM/IA-5(7);CANADA_PBMM/IA-5(8);CANADA_PBMM/IR-9(3);PCI_DSS/A1.2.1;PCI_DSS/A3.2.2.1,"PARTIAL: ibm.iam.password_policy.minimum_length ||| IBM Cloud IAM password policy is a global account setting, not a configurable resource; CSPM can verify its; Check that IAM password policy enforces a minimum length of 14 characters.; Check IAM password policy enforces a minimum password length."
aws.guardduty.detector.status,aws,guardduty,detector,status,CANADA_PBMM,1,9,CANADA_PBMM/RA-5(6);CANADA_PBMM/SI-4(1);CANADA_PBMM/SI-4(11);CANADA_PBMM/SI-4(16);CANADA_PBMM/SI-4(20);CANADA_PBMM/SI-4(23);CANADA_PBMM/SI-4(4);CANADA_PBMM/SI-4(7);CANADA_PBMM/SI-6,check that AWS GuardDuty is enabled and monitoring the account/region; check that AWS GuardDuty is enabled and monitoring; Check that AWS GuardDuty is enabled and actively monitoring for vulnerabilities.
oci.iam.password_policy.minimum_length,oracle,iam,password_policy,minimum_length,CANADA_PBMM;PCI_DSS,2,9,CANADA_PBMM/IA-5(11);CANADA_PBMM/IA-5(2);CANADA_PBMM/IA-5(3);CANADA_PBMM/IA-5(4);CANADA_PBMM/IA-5(7);CANADA_PBMM/IA-5(8);CANADA_PBMM/IR-9(3);PCI_DSS/A3.2.2.1;PCI_DSS/A3.3.2,Check that IAM password policy enforces a minimum length of 14 characters.; Check IAM password policy enforces a minimum password length.; Ensure IAM password policy enforces a minimum password length.
alicloud.actiontrail.trail.status,alicloud,actiontrail,trail,status,CANADA_PBMM,1,8,CANADA_PBMM/CA-7(1);CANADA_PBMM/SI-4(1);CANADA_PBMM/SI-4(11);CANADA_PBMM/SI-4(16);CANADA_PBMM/SI-4(20);CANADA_PBMM/SI-4(23);CANADA_PBMM/SI-4(4);CANADA_PBMM/SI-4(7),check that Alibaba Cloud ActionTrail trail is enabled and logging; check that Alibaba Cloud ActionTrail trails are enabled and logging; check that an ActionTrail trail exists and is logging to track activity
ibm.iam.account_settings.password_policy,ibm,iam,account_settings,password_policy,CANADA_PBMM;PCI_DSS,2,6,CANADA_PBMM/AC-2(4);CANADA_PBMM/IA-2(6);CANADA_PBMM/IA-5(1);CANADA_PBMM/IA-5(2);PCI_DSS/A3.3.2;PCI_DSS/A3.5,"PARTIAL: ibm.iam.account_settings.password_policy ||| may verify policy existence in account settings but specific minimum length attribute may not be a distin; PARTIAL: ibm.iam.account_settings.password_policy ||| IBM Cloud IAM provides account-level security settings that may enforce a password policy, but the specif; PARTIAL: ibm.iam.account_settings.password_policy ||| verifies IAM account-lev"
oci.identity.password_policy.minimum_length,oracle,identity,password_policy,minimum_length,CANADA_PBMM;PCI_DSS,2,6,CANADA_PBMM/AC-2(3);CANADA_PBMM/IA-2(3);CANADA_PBMM/IA-2(6);CANADA_PBMM/IA-5(1);CANADA_PBMM/IA-5(6);PCI_DSS/A1.2.1,Check that the OCI IAM password policy enforces a minimum password length.; Ensure IAM password policy enforces a minimum password length of 14 characters.; (refined)
alicloud.vpc.security_group.ingress_restricted,alicloud,vpc,security_group,ingress_restricted,CANADA_PBMM,1,5,CANADA_PBMM/SC-7(12);CANADA_PBMM/SC-7(13);CANADA_PBMM/SC-7(18);CANADA_PBMM/SC-7(7);CANADA_PBMM/SC-7(8),Check that security groups restrict inbound traffic to authorized sources.; Check that security groups restrict ingress from the internet to only authorized ports and protocols.
aws.backup.backup_plan.backup_rule_configuration,aws,backup,backup_plan,backup_rule_configuration,CANADA_PBMM,1,5,CANADA_PBMM/CP-9(1);CANADA_PBMM/CP-9(2);CANADA_PBMM/CP-9(3);CANADA_PBMM/CP-9(5);CANADA_PBMM/CP-9(7),Check AWS Backup plan has a rule configured for system backup.; (refined)
