rule_a,rule_b,csp,rule_type,decision,winner,reason
alicloud.actiontrail.activity_log.critical_gap,alicloud.actiontrail.activity_log.stop,alicloud,ciem,DIFFERENT,A,"Rule A detects event gaps and anomalous privileged actions, while rule B detects trail deactivation/deletion and OSS bucket policy changes."
alicloud.actiontrail.activity_log.delete_trail,alicloud.actiontrail.activity_log.stop,alicloud,ciem,SAME,B,"Both detect ActionTrail trail deactivation or deletion, but rule B's description is more comprehensive, including chained OSS bucket policy."
alicloud.actiontrail.activity_log.delete_trail,alicloud.actiontrail.activity_log.trail_delete,alicloud,ciem,SAME,B,"Both detect ActionTrail trail deletions, but rule B also includes OSS lifecycle rules targeting audit logs, making it broader."
alicloud.actiontrail.activity_log.delete_trail,alicloud.actiontrail.activity_log.trail_operation,alicloud,ciem,SAME,B,"Both detect ActionTrail trail deletions, but rule B includes stops and updates, and patterns of audit trail manipulation, making it more comprehensive."
alicloud.actiontrail.activity_log.delete_trail,alicloud.actiontrail.activity_log.trail_stop,alicloud,ciem,SAME,B,"Both detect ActionTrail deletions, but rule B specifically addresses logging suspension and RAM role/policy chains, offering a clearer focus."
alicloud.actiontrail.activity_log.delete_trail,alicloud.actiontrail.audit.delete_trail,alicloud,ciem,SAME,B,"Both detect ActionTrail deletion, but rule B includes RAM access key creation for admin, providing a more complete evasion detection scenario."
alicloud.actiontrail.activity_log.delete_trail,alicloud.actiontrail.audit.trail_delete,alicloud,ciem,SAME,B,"Both detect ActionTrail deletion, but rule B includes RAM privilege escalation chains, making it broader in detecting evasion tactics."
alicloud.actiontrail.activity_log.ram_change,alicloud.actiontrail.activity_log.stop,alicloud,ciem,DIFFERENT,A,"Rule A tracks RAM policy changes and resource directory modifications, while rule B detects ActionTrail trail deactivation/deletion and OSS bucket policy changes."
alicloud.actiontrail.activity_log.review_anomaly,alicloud.actiontrail.activity_log.stop,alicloud,ciem,DIFFERENT,A,"Rule A focuses on log review anomalies and unauthorized role assumption, while rule B focuses on trail deactivation/deletion and OSS bucket policy chains."
alicloud.actiontrail.activity_log.stop,alicloud.actiontrail.activity_log.trail_delete,alicloud,ciem,SAME,B,"Rule B's name and description are more specific to trail deletions, while rule A includes broader deactivation and OSS policy checks, making B more precise."
alicloud.actiontrail.activity_log.stop,alicloud.actiontrail.activity_log.trail_operation,alicloud,ciem,SAME,B,"Rule B's description includes trail deletions, stops, or updates, covering rule A's focus on deactivation/deletion, and adds updates and audit trail patterns."
alicloud.actiontrail.activity_log.stop,alicloud.actiontrail.activity_log.trail_stop,alicloud,ciem,SAME,B,"Rule B's name and description are specifically about logging suspension and bypass chains, directly aligning with rule A's focus on deactivation/deletion."
alicloud.actiontrail.activity_log.trail_delete,alicloud.actiontrail.activity_log.trail_operation,alicloud,ciem,SAME,B,"Rule B's description includes trail deletions, stops, or updates, covering rule A's focus on deletions and OSS lifecycle rules, and adds more operations."
alicloud.actiontrail.activity_log.trail_delete,alicloud.actiontrail.activity_log.trail_stop,alicloud,ciem,DIFFERENT,A,"Rule A focuses on trail deletions or OSS lifecycle rules, while rule B focuses on logging suspension and RAM role/policy chains to bypass audit."
alicloud.actiontrail.activity_log.trail_delete,alicloud.actiontrail.audit.delete_trail,alicloud,ciem,DIFFERENT,A,"Rule A focuses on trail deletions or OSS lifecycle rules, while rule B focuses on RAM access key creation for admin and ActionTrail deletion evasion."
alicloud.actiontrail.activity_log.trail_delete,alicloud.actiontrail.audit.trail_delete,alicloud,ciem,SAME,B,"Rule B's description includes deletion of ActionTrail logs or RAM privilege escalation chains, covering rule A's focus and adding evasion detection."
alicloud.actiontrail.activity_log.trail_operation,alicloud.actiontrail.activity_log.trail_stop,alicloud,ciem,SAME,A,"Both detect ActionTrail trail stops and related bypass chains, but A's description is more specific to logging suspension and RAM role/policy chains."
alicloud.actiontrail.activity_log.trail_stop,alicloud.actiontrail.audit.trail_stop,alicloud,ciem,SAME,A,Both detect stopping of ActionTrail trails and chained RAM role modifications; A's description is more detailed and matches the core intent.
alicloud.actiontrail.audit.console_signin,alicloud.actiontrail.audit.console_signin_privileged,alicloud,ciem,SAME,B,Both monitor privileged console sign-ins and policy attachments; B's description is more precise about direct attachments and sign-ins without specific conditions.
alicloud.actiontrail.audit.delete,alicloud.actiontrail.audit.tamper,alicloud,ciem,SAME,A,"Both identify ActionTrail trail deletions or configurations to stop logging, with A including multi-step actions, making it slightly broader but functionally similar."
alicloud.actiontrail.audit.delete,alicloud.actiontrail.audit.trail_delete,alicloud,ciem,SAME,A,Both detect deletion of ActionTrail trails and related privilege escalation chains; A's description is more general but covers the same core threat.
alicloud.actiontrail.audit.delete,alicloud.actiontrail.audit.trail_stop_delete,alicloud,ciem,SAME,B,Both detect ActionTrail trail stopping or deletion events; B's description is more concise and directly matches the specific events without extra details.
alicloud.actiontrail.audit.delete_trail,alicloud.actiontrail.audit.trail_config_change,alicloud,ciem,DIFFERENT,A,"Rule A detects deletion plus admin key creation, while B detects configuration changes reducing logs."
alicloud.actiontrail.audit.delete_trail,alicloud.actiontrail.audit.trail_delete,alicloud,ciem,SAME,B,"Both detect ActionTrail deletion for evasion, but B's name and description are more specific to deletion."
alicloud.actiontrail.audit.delete_trail,alicloud.actiontrail.audit.trail_deletion,alicloud,ciem,SAME,B,"Both focus on ActionTrail deletion for evasion, with B's description more directly matching the event."
alicloud.actiontrail.audit.delete_trail,alicloud.actiontrail.audit.trail_disable,alicloud,ciem,DIFFERENT,A,"Rule A detects deletion and key creation, while B detects disabling actions unrelated to deletion."
alicloud.actiontrail.audit.delete_trail,alicloud.actiontrail.audit.trail_modified,alicloud,ciem,DIFFERENT,A,"Rule A detects deletion and key creation, while B detects modifications to trail settings like file size."
alicloud.actiontrail.audit.delete_trail,alicloud.actiontrail.audit.trail_stop,alicloud,ciem,DIFFERENT,A,"Rule A detects deletion and key creation, while B detects stopping of trails, not deletion."
alicloud.actiontrail.audit.delete_trail,alicloud.actiontrail.audit.trail_stop_delete,alicloud,ciem,DIFFERENT,A,"Rule A detects deletion and key creation, while B detects stopping or deletion, but A's scope is broader."
alicloud.actiontrail.audit.delete_trail,alicloud.actiontrail.audit.trail_tamper,alicloud,ciem,DIFFERENT,A,"Rule A detects deletion and key creation, while B detects stops/deletions or delivery failures."
alicloud.actiontrail.audit.delete_trail,alicloud.actiontrail.audit.trail_tampering,alicloud,ciem,DIFFERENT,A,"Rule A detects deletion and admin key creation, while B detects stops or delivery failures affecting timestamps."
alicloud.actiontrail.audit.delete_trail,alicloud.actiontrail.audit.trail_update,alicloud,ciem,DIFFERENT,A,"Rule A focuses on deletion and evasion, while B focuses on configuration changes reducing retention."
alicloud.actiontrail.audit.delete_trail,alicloud.actiontrail.audit.update_trail,alicloud,ciem,DIFFERENT,A,"Rule A detects deletion and evasion, while B detects changes to ECS attributes or trail updates."
alicloud.actiontrail.audit.stop_logging,alicloud.actiontrail.audit.trail_stop,alicloud,ciem,SAME,B,"Both detect stopping ActionTrail logging, but B's name ""trail_stop"" is more conventional than ""stop_logging""."
alicloud.actiontrail.audit.stop_logging,alicloud.actiontrail.audit.trail_stop_delete,alicloud,ciem,SAME,B,"Both detect stopping ActionTrail logging, but B's name ""trail_stop_delete"" is more specific and conventional."
alicloud.actiontrail.audit.tamper,alicloud.actiontrail.audit.trail_tamper,alicloud,ciem,SAME,B,"Both identify trail deletions or stops, but B's name ""trail_tamper"" is more conventional than ""tamper""."
alicloud.actiontrail.audit.trail_config_change,alicloud.actiontrail.audit.trail_delete,alicloud,ciem,DIFFERENT,A,"Rule A detects configuration changes reducing backups, while B detects deletion of logs or privilege escalation."
