control_id,top_req,cspm_scope,title,source,aws_checks,aws_match_confidence,azure_checks,azure_match_confidence,gcp_checks,gcp_match_confidence,oracle_checks,oracle_match_confidence,ibm_checks,ibm_match_confidence,alicloud_checks,alicloud_match_confidence,k8s_checks,k8s_match_confidence,aws_ciem_checks,azure_ciem_checks,gcp_ciem_checks,oracle_ciem_checks,ibm_ciem_checks,alicloud_ciem_checks,k8s_ciem_checks
A1.1.1,A1,maybe-appendix,(cross-reference PDF — no title in any source),pdf,SKIP: Control ID A1.1.1 is undefined; cannot map to a specific resource configuration without control title or intent.,0.00,SKIP: Control ID A1.1.1 is undefined; cannot map to a specific resource configuration without control title or intent.,0.00,SKIP: Control ID A1.1.1 is undefined; cannot map to a specific resource configuration without control title or intent.,0.00,SKIP: Control ID A1.1.1 is undefined; cannot map to a specific resource configuration without control title or intent.,0.00,SKIP: Control ID A1.1.1 is undefined; cannot map to a specific resource configuration without control title or intent.,0.00,SKIP: Control ID A1.1.1 is undefined; cannot map to a specific resource configuration without control title or intent.,0.00,SKIP: Control ID A1.1.1 is undefined; cannot map to a specific resource configuration without control title or intent.,0.00,,,,,,,
A1.1.2,A1,maybe-appendix,(cross-reference PDF — no title in any source),pdf,SKIP: Control ID A1.1.2 is undefined; cannot map to a specific resource configuration without control title or intent.,0.00,SKIP: Control ID A1.1.2 is undefined; cannot map to a specific resource configuration without control title or intent.,0.00,SKIP: Control ID A1.1.2 is undefined; cannot map to a specific resource configuration without control title or intent.,0.00,SKIP: Control ID A1.1.2 is undefined; cannot map to a specific resource configuration without control title or intent.,0.00,SKIP: Control ID A1.1.2 is undefined; cannot map to a specific resource configuration without control title or intent.,0.00,SKIP: Control ID A1.1.2 is undefined; cannot map to a specific resource configuration without control title or intent.,0.00,SKIP: Control ID A1.1.2 is undefined; cannot map to a specific resource configuration without control title or intent.,0.00,,,,,,,
A1.1.3,A1,maybe-appendix,(cross-reference PDF — no title in any source),pdf,SKIP: Control ID A1.1.3 is undefined; cannot map to a specific resource configuration without control title or intent.,0.00,SKIP: Control ID A1.1.3 is undefined; cannot map to a specific resource configuration without control title or intent.,0.00,SKIP: Control ID A1.1.3 is undefined; cannot map to a specific resource configuration without control title or intent.,0.00,SKIP: Control ID A1.1.3 is undefined; cannot map to a specific resource configuration without control title or intent.,0.00,SKIP: Control ID A1.1.3 is undefined; cannot map to a specific resource configuration without control title or intent.,0.00,SKIP: Control ID A1.1.3 is undefined; cannot map to a specific resource configuration without control title or intent.,0.00,SKIP: Control ID A1.1.3 is undefined; cannot map to a specific resource configuration without control title or intent.,0.00,,,,,,,
A1.1.4,A1,maybe-appendix,(cross-reference PDF — no title in any source),pdf,SKIP: Control ID A1.1.4 is undefined; cannot map to a specific resource configuration without control title or intent.,0.00,SKIP: Control ID A1.1.4 is undefined; cannot map to a specific resource configuration without control title or intent.,0.00,SKIP: Control ID A1.1.4 is undefined; cannot map to a specific resource configuration without control title or intent.,0.00,SKIP: Control ID A1.1.4 is undefined; cannot map to a specific resource configuration without control title or intent.,0.00,SKIP: Control ID A1.1.4 is undefined; cannot map to a specific resource configuration without control title or intent.,0.00,SKIP: Control ID A1.1.4 is undefined; cannot map to a specific resource configuration without control title or intent.,0.00,SKIP: Control ID A1.1.4 is undefined; cannot map to a specific resource configuration without control title or intent.,0.00,,,,,,,
A1.2.1,A1,maybe-appendix,(cross-reference PDF — no title in any source),pdf,NEW: aws.iam.password_policy.minimum_length,0.00,NEW: azure.aad.password_policy.minimum_length,0.00,NEW: gcp.iam.password_policy.minimum_length,0.00,NEW: oci.identity.password_policy.minimum_length,0.00,NEW: ibm.iam.password_policy.minimum_length,0.00,NEW: alicloud.ram.password_policy.minimum_length,0.00,"SKIP: <Kubernetes does not have a native, cluster-wide user password policy resource; authentication is typically delegated to external identity providers.>",0.00,,,,,,,
A1.2.2,A1,maybe-appendix,(cross-reference PDF — no title in any source),pdf,SKIP: Control ID A1.2.2 is undefined; cannot map to a specific resource configuration without control title or description.,0.00,SKIP: Control ID A1.2.2 is undefined; cannot map to a specific resource configuration without control title or description.,0.00,SKIP: Control ID A1.2.2 is undefined; cannot map to a specific resource configuration without control title or description.,0.00,SKIP: Control ID A1.2.2 is undefined; cannot map to a specific resource configuration without control title or description.,0.00,SKIP: Control ID A1.2.2 is undefined; cannot map to a specific resource configuration without control title or description.,0.00,SKIP: Control ID A1.2.2 is undefined; cannot map to a specific resource configuration without control title or description.,0.00,SKIP: Control ID A1.2.2 is undefined; cannot map to a specific resource configuration without control title or description.,0.00,,,,,,,
A1.2.3,A1,maybe-appendix,(cross-reference PDF — no title in any source),pdf,"SKIP: Control ID A1.2.3 has no title or defined intent in the prompt, making a specific resource configuration check impossible to determine.",0.00,"SKIP: Control ID A1.2.3 has no title or defined intent in the prompt, making a specific resource configuration check impossible to determine.",0.00,"SKIP: Control ID A1.2.3 has no title or defined intent in the prompt, making a specific resource configuration check impossible to determine.",0.00,"SKIP: Control ID A1.2.3 has no title or defined intent in the prompt, making a specific resource configuration check impossible to determine.",0.00,"SKIP: Control ID A1.2.3 has no title or defined intent in the prompt, making a specific resource configuration check impossible to determine.",0.00,"SKIP: Control ID A1.2.3 has no title or defined intent in the prompt, making a specific resource configuration check impossible to determine.",0.00,"SKIP: Control ID A1.2.3 has no title or defined intent in the prompt, making a specific resource configuration check impossible to determine.",0.00,,,,,,,
A2.1.1,A2,maybe-appendix,(cross-reference PDF — no title in any source),pdf,SKIP: Control ID A2.1.1 is undefined; cannot map to a specific resource configuration without control title or description.,0.00,SKIP: Control ID A2.1.1 is undefined; cannot map to a specific resource configuration without control title or description.,0.00,SKIP: Control ID A2.1.1 is undefined; cannot map to a specific resource configuration without control title or description.,0.00,SKIP: Control ID A2.1.1 is undefined; cannot map to a specific resource configuration without control title or description.,0.00,SKIP: Control ID A2.1.1 is undefined; cannot map to a specific resource configuration without control title or description.,0.00,SKIP: Control ID A2.1.1 is undefined; cannot map to a specific resource configuration without control title or description.,0.00,SKIP: Control ID A2.1.1 is undefined; cannot map to a specific resource configuration without control title or description.,0.00,,,,,,,
A2.1.2,A2,maybe-appendix,(cross-reference PDF — no title in any source),pdf,SKIP: Control ID A2.1.2 is undefined; cannot map to a specific resource configuration without control title or intent.,0.00,SKIP: Control ID A2.1.2 is undefined; cannot map to a specific resource configuration without control title or intent.,0.00,SKIP: Control ID A2.1.2 is undefined; cannot map to a specific resource configuration without control title or intent.,0.00,SKIP: Control ID A2.1.2 is undefined; cannot map to a specific resource configuration without control title or intent.,0.00,SKIP: Control ID A2.1.2 is undefined; cannot map to a specific resource configuration without control title or intent.,0.00,SKIP: Control ID A2.1.2 is undefined; cannot map to a specific resource configuration without control title or intent.,0.00,SKIP: Control ID A2.1.2 is undefined; cannot map to a specific resource configuration without control title or intent.,0.00,,,,,,,
A2.1.3,A2,maybe-appendix,(cross-reference PDF — no title in any source),pdf,SKIP: Control ID A2.1.3 is undefined; cannot map to a specific resource configuration without control title or description.,0.00,SKIP: Control ID A2.1.3 is undefined; cannot map to a specific resource configuration without control title or description.,0.00,SKIP: Control ID A2.1.3 is undefined; cannot map to a specific resource configuration without control title or description.,0.00,SKIP: Control ID A2.1.3 is undefined; cannot map to a specific resource configuration without control title or description.,0.00,SKIP: Control ID A2.1.3 is undefined; cannot map to a specific resource configuration without control title or description.,0.00,SKIP: Control ID A2.1.3 is undefined; cannot map to a specific resource configuration without control title or description.,0.00,SKIP: Control ID A2.1.3 is undefined; cannot map to a specific resource configuration without control title or description.,0.00,,,,,,,
A3.1.1,A3,maybe-appendix,(cross-reference PDF — no title in any source),pdf,SKIP: Control ID A3.1.1 is undefined; cannot map to a specific resource configuration without control intent.,0.00,SKIP: Control ID A3.1.1 is undefined; cannot map to a specific resource configuration without control intent.,0.00,SKIP: Control ID A3.1.1 is undefined; cannot map to a specific resource configuration without control intent.,0.00,SKIP: Control ID A3.1.1 is undefined; cannot map to a specific resource configuration without control intent.,0.00,SKIP: Control ID A3.1.1 is undefined; cannot map to a specific resource configuration without control intent.,0.00,SKIP: Control ID A3.1.1 is undefined; cannot map to a specific resource configuration without control intent.,0.00,SKIP: Control ID A3.1.1 is undefined; cannot map to a specific resource configuration without control intent.,0.00,,,,,,,
A3.2.2.1,A3,maybe-appendix,(cross-reference PDF — no title in any source),pdf,NEW: aws.iam.password_policy.minimum_length,0.00,NEW: azure.aad.password_policy.minimum_length,0.00,NEW: gcp.iam.password_policy.minimum_length,0.00,NEW: oci.iam.password_policy.minimum_length,0.00,NEW: ibm.iam.password_policy.minimum_length,0.00,NEW: alicloud.ram.password_policy.minimum_length,0.00,SKIP: <Password policy is an identity provider function; Kubernetes RBAC has no native password configuration to verify>,0.00,,,,,,,
A3.2.3,A3,maybe-appendix,(cross-reference PDF — no title in any source),pdf,SKIP: Control ID A3.2.3 is undefined; cannot map to a specific resource configuration without control title or intent.,0.00,SKIP: Control ID A3.2.3 is undefined; cannot map to a specific resource configuration without control title or intent.,0.00,SKIP: Control ID A3.2.3 is undefined; cannot map to a specific resource configuration without control title or intent.,0.00,SKIP: Control ID A3.2.3 is undefined; cannot map to a specific resource configuration without control title or intent.,0.00,SKIP: Control ID A3.2.3 is undefined; cannot map to a specific resource configuration without control title or intent.,0.00,SKIP: Control ID A3.2.3 is undefined; cannot map to a specific resource configuration without control title or intent.,0.00,SKIP: Control ID A3.2.3 is undefined; cannot map to a specific resource configuration without control title or intent.,0.00,,,,,,,
A3.2.4,A3,maybe-appendix,(cross-reference PDF — no title in any source),pdf,SKIP: Control ID A3.2.4 is undefined; cannot map to a specific cloud resource configuration without control title or intent.,0.00,SKIP: Control ID A3.2.4 is undefined; cannot map to a specific cloud resource configuration without control title or intent.,0.00,SKIP: Control ID A3.2.4 is undefined; cannot map to a specific cloud resource configuration without control title or intent.,0.00,SKIP: Control ID A3.2.4 is undefined; cannot map to a specific cloud resource configuration without control title or intent.,0.00,SKIP: Control ID A3.2.4 is undefined; cannot map to a specific cloud resource configuration without control title or intent.,0.00,SKIP: Control ID A3.2.4 is undefined; cannot map to a specific cloud resource configuration without control title or intent.,0.00,SKIP: Control ID A3.2.4 is undefined; cannot map to a specific cloud resource configuration without control title or intent.,0.00,,,,,,,
A3.2.5.1,A3,maybe-appendix,(cross-reference PDF — no title in any source),pdf,"SKIP: Control ID A3.2.5.1 lacks a defined title or intent, preventing mapping to a specific resource configuration check.",0.00,"SKIP: Control ID A3.2.5.1 lacks a defined title or intent, preventing mapping to a specific resource configuration check.",0.00,"SKIP: Control ID A3.2.5.1 lacks a defined title or intent, preventing mapping to a specific resource configuration check.",0.00,"SKIP: Control ID A3.2.5.1 lacks a defined title or intent, preventing mapping to a specific resource configuration check.",0.00,"SKIP: Control ID A3.2.5.1 lacks a defined title or intent, preventing mapping to a specific resource configuration check.",0.00,"SKIP: Control ID A3.2.5.1 lacks a defined title or intent, preventing mapping to a specific resource configuration check.",0.00,"SKIP: Control ID A3.2.5.1 lacks a defined title or intent, preventing mapping to a specific resource configuration check.",0.00,,,,,,,
