control_id,category,cspm_scope
CC1.1,CC,no-governance
CC1.2,CC,no-governance
CC1.4,CC,no-governance
CC1.5,CC,no-governance
CC2.2,CC,no-governance
CC2.3,CC,no-governance
CC4.1,CC,no-governance
CC5.1,CC,no-governance
CC5.3,CC,no-governance
CC6.4,CC,no-physical
CC6.5,CC,no-physical
CC9.1,CC,no-governance
CC9.2,CC,no-governance
A1.3,A,yes
PI1.1,PI,partial
PI1.2,PI,partial
PI1.3,PI,partial
PI1.4,PI,partial
PI1.5,PI,partial
P1.1,P,no-process
P2.1,P,no-process
P3.1,P,no-process
P3.2,P,no-process
P4.1,P,no-process
P4.2,P,no-process
P4.3,P,no-process
P5.1,P,no-process
P5.2,P,no-process
P6.1,P,no-process
P6.2,P,no-process
P6.3,P,no-process
P6.4,P,no-process
P6.5,P,no-process
P6.6,P,partial
P6.7,P,partial
P7.1,P,no-process
P8.1,P,no-process
