proposed_rule_id,existing_rule_id,csp,rule_type,decision,reason
oci.object_storage.bucket.ssl_only,oci.object_storage.bucket.storage_website_https_only,oracle,config,SAME,"Both rules enforce HTTPS/SSL for Oracle Object Storage, with the proposed rule focusing on bucket SSL-only access and the existing rule on website HTTPS-only, which are effectively the same security c"
oci.object_storage.bucket.encryption_state,oci.object_storage.bucket.storage_bucket_default_encryption,oracle,config,SAME,"Both check bucket encryption state; EXISTING specifies default encryption, covering the same security configuration."
oci.identity.user.password_policy.enforce_change,oci.identity.user.password_policy_uppercase,oracle,config,DIFFERENT,"PROPOSED checks password change enforcement, EXISTING checks uppercase requirement; different password policy aspects."
oci.identity.user.account_management_enabled,oci.identity.user.account_access_approval_enabled,oracle,config,DIFFERENT,"PROPOSED checks account management enabled, EXISTING checks account access approval; different functions."
oci.identity.policy.least_privilege,oci.identity.policy.policy_admin_rbac_least_privilege_required,oracle,config,SAME,Both check least privilege for policies; EXISTING is more specific but covers the same security principle.
oci.identity.policy,oci.identity.user.policy,oracle,config,UNSURE,"PROPOSED is generic policy check, EXISTING is user-specific policy; unclear if same scope without more context."
oci.identity.password_policy.minimum_password_length,oci.identity.user.password_policy_minimum_length_14,oracle,config,SAME,Both check minimum password length in identity password policy; EXISTING specifies 14 as the requirement.
oci.identity.password_policy.minimum_length,oci.identity.user.password_policy_minimum_length_14,oracle,config,SAME,Both check minimum password length in identity password policy; EXISTING specifies 14 as the requirement.
oci.identity.auth_policy.password_policy.minimum_length,oci.identity.user.password_policy_minimum_length_14,oracle,config,SAME,Both check minimum password length in identity password policy; EXISTING specifies 14 as the requirement.
oci.events.rule.enabled,oci.events.rule.trigger_logs_enabled,oracle,config,UNSURE,"PROPOSED checks if an Events rule is enabled, EXISTING checks if it triggers logs; unclear if same check without more context."
oci.database.rds.instance_encryption_enabled,oci.database.autonomous_database.instance_encryption_enabled,oracle,config,DIFFERENT,"PROPOSED checks RDS instance encryption, EXISTING checks Autonomous Database encryption; different database services."
oci.compute.instance.patch_management,oci.compute.instance.patch_compliance,oracle,config,SAME,"Both address patch management/compliance for Oracle compute instances, same security update check."
oci.compute.instance.boot_volume_encryption,oci.compute.instance.volume_encryption_enabled,oracle,config,SAME,"Both verify encryption for boot/volumes on Oracle compute instances, same encryption-at-rest check."
oci.compute.instance.backup_policy,oci.compute.instance.backup_enabled,oracle,config,DIFFERENT,"Proposed checks backup policy configuration, while existing checks backup enabled status; may differ in scope."
oci.compute.instance.auto_backup,oci.compute.instance.backup_enabled,oracle,config,SAME,"Both check if auto backup is enabled for Oracle compute instances, same security configuration."
oci.audit.configuration.retention_period_days,oci.audit.configuration.audit_retention_days_minimum_enabled,oracle,config,SAME,"Both focus on audit retention period days in Oracle Cloud, same check despite different compliance contexts."
oci.audit.configuration.log_retention_days,oci.audit.configuration.audit_retention_days_minimum_enabled,oracle,config,SAME,"Both assess audit log retention days in Oracle Cloud, targeting the same configuration requirement."
oci.audit.configuration.audit_log_enabled,oci.audit.configuration.enabled,oracle,config,SAME,"Both verify audit log configuration is enabled in Oracle Cloud, same security check with slight naming variation."
k8s.service.not_external_ip,k8s.service.no.external_ip,k8s,config,SAME,"Both check for Kubernetes services without external IPs, identical security focus despite minor naming differences."
k8s.rbac.service_account.default_token_check,k8s.rbac.default.service_account_audit,k8s,config,SAME,"Both address default service account tokens in Kubernetes RBAC, indicating same underlying configuration check."
k8s.rbac.service_account.default_check,k8s.rbac.default.service_account_audit,k8s,config,SAME,"Both check default service account usage in Kubernetes RBAC, likely same security check with naming variation."
k8s.rbac.role.wildcard_verb,k8s.rbac.audit.wildcard_verb_role_create,k8s,config,SAME,Both check for RBAC roles (ClusterRole or Role) using wildcard verbs.
k8s.rbac.clusterrole.least_privilege,k8s.rbac.rolebinding.least_privilege,k8s,config,DIFFERENT,Proposed checks ClusterRole for least privilege; existing checks RoleBinding.
k8s.rbac.clusterrole.clusterrole_least_privilege,k8s.rbac.rolebinding.least_privilege,k8s,config,DIFFERENT,Proposed checks ClusterRole for least privilege; existing checks RoleBinding.
k8s.pod.security_context,k8s.pod.security.security_context_verification,k8s,config,SAME,Both verify the security context configuration for pods.
k8s.pod.disruption_budget,k8s.pod.pod.disruption_budget_configured,k8s,config,SAME,Both check for the configuration of a Pod Disruption Budget.
