framework,control_id,control_title,csp,suggested_rule_id,intent
SOC2,PI1.5,"The entity implements policies and procedures to store inputs, items in processing, and outputs completely, accurately, and timely.",aws,aws.s3.bucket.versioning.enabled,Check that S3 buckets have versioning enabled to store inputs/outputs completely.
SOC2,PI1.5,"The entity implements policies and procedures to store inputs, items in processing, and outputs completely, accurately, and timely.",azure,azure.storage.account.blob.versioning.enabled,Check that storage accounts have blob versioning enabled to store items completely.
SOC2,PI1.5,"The entity implements policies and procedures to store inputs, items in processing, and outputs completely, accurately, and timely.",gcp,gcp.storage.bucket.versioning.enabled,Check that Cloud Storage buckets have versioning enabled to store data completely.
SOC2,PI1.5,"The entity implements policies and procedures to store inputs, items in processing, and outputs completely, accurately, and timely.",oracle,oci.object_storage.bucket.versioning.enabled,Check that Object Storage buckets have versioning enabled to store items completely.
SOC2,PI1.5,"The entity implements policies and procedures to store inputs, items in processing, and outputs completely, accurately, and timely.",ibm,ibm.cos.bucket.versioning.enabled,Check that Cloud Object Storage buckets have versioning enabled to store items completely.
SOC2,PI1.5,"The entity implements policies and procedures to store inputs, items in processing, and outputs completely, accurately, and timely.",alicloud,alicloud.oss.bucket.versioning.enabled,Check that OSS buckets have versioning enabled to store items completely.
PCI_DSS,5.2.1,"An anti-malware solution(s) is deployed on all system components, except for those system components identified in periodic evaluations per Requirement 5.2.3 that concludes the system components are n",aws,aws.ec2.instance.antimalware_agent,Check EC2 instances have an anti-malware agent installed or managed via Systems Manager.
PCI_DSS,5.2.1,"An anti-malware solution(s) is deployed on all system components, except for those system components identified in periodic evaluations per Requirement 5.2.3 that concludes the system components are n",azure,azure.compute.virtual_machine.antimalware_extension,Check Azure VMs have the Microsoft Antimalware or a supported antimalware extension enabled.
PCI_DSS,5.2.1,"An anti-malware solution(s) is deployed on all system components, except for those system components identified in periodic evaluations per Requirement 5.2.3 that concludes the system components are n",gcp,gcp.compute.instance.guest_policy,Check Compute Engine VMs are covered by an OS Config guest policy enforcing anti-malware requirements.
PCI_DSS,5.2.1,"An anti-malware solution(s) is deployed on all system components, except for those system components identified in periodic evaluations per Requirement 5.2.3 that concludes the system components are n",k8s,k8s.security.pod_security_policy,Check Pod Security Policies or Pod Security Standards restrict privileged containers to mitigate malware risk.
