framework,framework_version,control_id,title,description,source_file,aws_checks,aws_match_confidence,azure_checks,azure_match_confidence,gcp_checks,gcp_match_confidence,oracle_checks,oracle_match_confidence,ibm_checks,ibm_match_confidence,alicloud_checks,alicloud_match_confidence,k8s_checks,k8s_match_confidence,aws_ciem_checks,azure_ciem_checks,gcp_ciem_checks,oracle_ciem_checks,ibm_ciem_checks,alicloud_ciem_checks,k8s_ciem_checks
CIS_ALICLOUD,,1.1.10,Ensure that the Container Network Interface file ownership is set to root:root,Ensure	that	the	Container	Network	Interface	files	have	ownership	set	to	root:root.,cis_compliance_agent/alicloud_agent/alicloud_controls_FINAL_20251031_171157.csv,"SKIP: Control is specific to Kubernetes Container Network Interface (CNI) file ownership; AWS managed services (EKS) abstract underlying node OS, making direct file verification impossible via CSPM.",0.00,"SKIP: Control is specific to Kubernetes CNI file ownership; Azure managed services (AKS) abstract underlying node OS, making direct file verification impossible via CSPM.",0.00,"SKIP: Control is specific to Kubernetes CNI file ownership; GCP managed services (GKE) abstract underlying node OS, making direct file verification impossible via CSPM.",0.00,"SKIP: Control is specific to Kubernetes CNI file ownership; OCI managed services (OKE) abstract underlying node OS, making direct file verification impossible via CSPM.",0.00,"SKIP: Control is specific to Kubernetes CNI file ownership; IBM managed services (IBM Cloud Kubernetes Service) abstract underlying node OS, making direct file verification impossible via CSPM.",0.00,alicloud.cfw.network.firewall_no_permit_any_any,0.40,PARTIAL: k8s.kubernetes.node.file_ownership | Requires node-level agent for file inspection; CSPM can verify rule logic but not execute on managed control plane.,0.00,,,,,,,
CIS_ALICLOUD,,1.1.11,Ensure that the etcd data directory permissions are set to 700 or more restrictive,Ensure	that	the	etcd	data	directory	has	permissions	of	700	or	more	restrictive.,cis_compliance_agent/alicloud_agent/alicloud_controls_FINAL_20251031_171157.csv,SKIP: CIS benchmark is CSP-specific,0.00,SKIP: CIS benchmark is CSP-specific,0.00,SKIP: CIS benchmark is CSP-specific,0.00,SKIP: CIS benchmark is CSP-specific,0.00,SKIP: CIS benchmark is CSP-specific,0.00,"SKIP: etcd is a Kubernetes component, not a direct, managed cloud service resource configuration in Alibaba Cloud.",0.00,SKIP: CIS benchmark is CSP-specific,0.00,,,,,,,
CIS_ALICLOUD,,1.1.12,Ensure that the etcd data directory ownership is set to etcd:etcd,Ensure	that	the	etcd	data	directory	ownership	is	set	to	etcd:etcd.,cis_compliance_agent/alicloud_agent/alicloud_controls_FINAL_20251031_171157.csv,SKIP: CIS benchmark is CSP-specific,0.00,SKIP: CIS benchmark is CSP-specific,0.00,SKIP: CIS benchmark is CSP-specific,0.00,SKIP: CIS benchmark is CSP-specific,0.00,SKIP: CIS benchmark is CSP-specific,0.00,"SKIP: etcd is a Kubernetes component, not a direct, configurable Alibaba Cloud managed service resource.",0.00,SKIP: CIS benchmark is CSP-specific,0.00,,,,,,,
CIS_ALICLOUD,,1.1.13,Ensure that the admin.conf file permissions are set to 644 or more restrictive,Ensure	that	the	admin.conf	file	has	permissions	of	644	or	more	restrictive.,cis_compliance_agent/alicloud_agent/alicloud_controls_FINAL_20251031_171157.csv,SKIP: CIS benchmark is CSP-specific,0.00,SKIP: CIS benchmark is CSP-specific,0.00,SKIP: CIS benchmark is CSP-specific,0.00,SKIP: CIS benchmark is CSP-specific,0.00,SKIP: CIS benchmark is CSP-specific,0.00,"SKIP: Control pertains to a local Kubernetes admin.conf file, not a managed cloud resource configuration.",0.00,SKIP: CIS benchmark is CSP-specific,0.00,,,,,,,
CIS_ALICLOUD,,1.1.14,Ensure that the admin.conf file ownership is set to root:root,Ensure	that	the	admin.conf	file	ownership	is	set	to	root:root.,cis_compliance_agent/alicloud_agent/alicloud_controls_FINAL_20251031_171157.csv,SKIP: CIS benchmark is CSP-specific,0.00,SKIP: CIS benchmark is CSP-specific,0.00,SKIP: CIS benchmark is CSP-specific,0.00,SKIP: CIS benchmark is CSP-specific,0.00,SKIP: CIS benchmark is CSP-specific,0.00,SKIP: Control references a specific local file (admin.conf) not a cloud resource configuration.,0.00,SKIP: CIS benchmark is CSP-specific,0.00,,,,,,,
CIS_ALICLOUD,,1.1.15,Ensure that the scheduler.conf file permissions are set to 644 or more restrictive,Ensure	that	the	scheduler.conf	file	has	permissions	of	644	or	more	restrictive.,cis_compliance_agent/alicloud_agent/alicloud_controls_FINAL_20251031_171157.csv,SKIP: CIS benchmark is CSP-specific,0.00,SKIP: CIS benchmark is CSP-specific,0.00,SKIP: CIS benchmark is CSP-specific,0.00,SKIP: CIS benchmark is CSP-specific,0.00,SKIP: CIS benchmark is CSP-specific,0.00,"SKIP: Control pertains to OS-level file permissions on a node, not a managed cloud resource configuration.",0.00,SKIP: CIS benchmark is CSP-specific,0.00,,,,,,,
CIS_ALICLOUD,,1.1.16,Ensure that the scheduler.conf file ownership is set to root:root,Ensure	that	the	scheduler.conf	file	ownership	is	set	to	root:root.,cis_compliance_agent/alicloud_agent/alicloud_controls_FINAL_20251031_171157.csv,SKIP: CIS benchmark is CSP-specific,0.00,SKIP: CIS benchmark is CSP-specific,0.00,SKIP: CIS benchmark is CSP-specific,0.00,SKIP: CIS benchmark is CSP-specific,0.00,SKIP: CIS benchmark is CSP-specific,0.00,"SKIP: Control references a specific OS file ownership, not a cloud service configuration attribute.",0.00,SKIP: CIS benchmark is CSP-specific,0.00,,,,,,,
CIS_ALICLOUD,,1.1.17,Ensure that the controller-manager.conf file permissions are set to 644 or more restrictive,Ensure	that	the	controller-manager.conf	file	has	permissions	of	644	or	more	restrictive.,cis_compliance_agent/alicloud_agent/alicloud_controls_FINAL_20251031_171157.csv,SKIP: CIS benchmark is CSP-specific,0.00,SKIP: CIS benchmark is CSP-specific,0.00,SKIP: CIS benchmark is CSP-specific,0.00,SKIP: CIS benchmark is CSP-specific,0.00,SKIP: CIS benchmark is CSP-specific,0.00,"SKIP: Control is specific to Kubernetes controller-manager file permissions, not a managed cloud service configuration.",0.00,SKIP: CIS benchmark is CSP-specific,0.00,,,,,,,
CIS_ALICLOUD,,1.1.18,Ensure that the controller-manager.conf file ownership is set to root:root,Ensure	that	the	controller-manager.conf	file	ownership	is	set	to	root:root.,cis_compliance_agent/alicloud_agent/alicloud_controls_FINAL_20251031_171157.csv,SKIP: CIS benchmark is CSP-specific,0.00,SKIP: CIS benchmark is CSP-specific,0.00,SKIP: CIS benchmark is CSP-specific,0.00,SKIP: CIS benchmark is CSP-specific,0.00,SKIP: CIS benchmark is CSP-specific,0.00,"SKIP: Control is specific to Kubernetes controller-manager file ownership, not a direct cloud resource configuration in Alibaba Cloud.",0.00,SKIP: CIS benchmark is CSP-specific,0.00,,,,,,,
CIS_ALICLOUD,,1.1.19,Ensure that the Kubernetes PKI directory and file ownership is set to root:root,Ensure	that	the	Kubernetes	PKI	directory	and	file	ownership	is	set	to	root:root.,cis_compliance_agent/alicloud_agent/alicloud_controls_FINAL_20251031_171157.csv,SKIP: Control is specific to self-managed Kubernetes node filesystem; AWS managed services (EKS) do not expose underlying node PKI directory for CSPM verification.,0.00,SKIP: Control is specific to self-managed Kubernetes node filesystem; Azure managed services (AKS) do not expose underlying node PKI directory for CSPM verification.,0.00,SKIP: Control is specific to self-managed Kubernetes node filesystem; GCP managed services (GKE) do not expose underlying node PKI directory for CSPM verification.,0.00,SKIP: Control is specific to self-managed Kubernetes node filesystem; OCI managed services (OKE) do not expose underlying node PKI directory for CSPM verification.,0.00,SKIP: Control is specific to self-managed Kubernetes node filesystem; IBM managed services (IKS/ROKS) do not expose underlying node PKI directory for CSPM verification.,0.00,NEW: alicloud.cs.kubernetes.pki_ownership,0.00,"SKIP: Control is for self-managed Kubernetes; generic k8s CSPM scope typically covers cluster resources/APIs, not direct node filesystem ownership, which requires host-level access.",0.00,,,,,,,
CIS_ALICLOUD,,1.1.2,Ensure that the API server pod specification file ownership is set to root:root,Ensure	that	the	API	server	pod	specification	file	ownership	is	set	to	root:root.,cis_compliance_agent/alicloud_agent/alicloud_controls_FINAL_20251031_171157.csv,SKIP: CIS benchmark is CSP-specific,0.00,SKIP: CIS benchmark is CSP-specific,0.00,SKIP: CIS benchmark is CSP-specific,0.00,SKIP: CIS benchmark is CSP-specific,0.00,SKIP: CIS benchmark is CSP-specific,0.00,"SKIP: Control is specific to Kubernetes API server pod specification file ownership, not a direct configuration of a managed Alibaba Cloud service.",0.00,SKIP: CIS benchmark is CSP-specific,0.00,,,,,,,
CIS_ALICLOUD,,1.1.20,Ensure that the Kubernetes PKI certificate file permissions are set to 644 or more restrictive,Ensure	that	Kubernetes	PKI	certificate	files	have	permissions	of	644	or	more	restrictive.,cis_compliance_agent/alicloud_agent/alicloud_controls_FINAL_20251031_171157.csv,SKIP: CIS benchmark is CSP-specific,0.00,SKIP: CIS benchmark is CSP-specific,0.00,SKIP: CIS benchmark is CSP-specific,0.00,SKIP: CIS benchmark is CSP-specific,0.00,SKIP: CIS benchmark is CSP-specific,0.00,"SKIP: Kubernetes PKI certificate file permissions are managed by the underlying node OS, not a directly configurable cloud resource attribute in Alibaba Cloud Container Service.",0.00,SKIP: CIS benchmark is CSP-specific,0.00,,,,,,,
CIS_ALICLOUD,,1.1.21,Ensure that the Kubernetes PKI key file permissions are set to 600,Ensure	that	Kubernetes	PKI	key	files	have	permissions	of	600.,cis_compliance_agent/alicloud_agent/alicloud_controls_FINAL_20251031_171157.csv,SKIP: Control is specific to Kubernetes node PKI files; AWS EKS does not expose node-level file permissions to CSPM,0.00,SKIP: Control is specific to Kubernetes node PKI files; Azure AKS does not expose node-level file permissions to CSPM,0.00,SKIP: Control is specific to Kubernetes node PKI files; Google GKE does not expose node-level file permissions to CSPM,0.00,SKIP: Control is specific to Kubernetes node PKI files; Oracle OKE does not expose node-level file permissions to CSPM,0.00,SKIP: Control is specific to Kubernetes node PKI files; IBM Cloud Kubernetes Service does not expose node-level file permissions to CSPM,0.00,NEW: alicloud.cs.kubernetes.node_pool.pki_key_permissions,0.00,SKIP: Control is specific to Kubernetes node PKI files; generic k8s CSPM cannot verify host OS file permissions,0.00,,,,,,,
CIS_ALICLOUD,,1.1.3,Ensure that the controller manager pod specification file permissions are set to 644 or more restrictive,Ensure	that	the	controller	manager	pod	specification	file	has	permissions	of	644	or	more restrictive.,cis_compliance_agent/alicloud_agent/alicloud_controls_FINAL_20251031_171157.csv,SKIP: CIS benchmark is CSP-specific,0.00,SKIP: CIS benchmark is CSP-specific,0.00,SKIP: CIS benchmark is CSP-specific,0.00,SKIP: CIS benchmark is CSP-specific,0.00,SKIP: CIS benchmark is CSP-specific,0.00,"SKIP: Control is specific to Kubernetes pod specification file permissions, not a managed cloud resource configuration in Alibaba Cloud.",0.00,SKIP: CIS benchmark is CSP-specific,0.00,,,,,,,
CIS_ALICLOUD,,1.1.4,Ensure that the controller manager pod specification file ownership is set to root:root,Ensure	that	the	controller	manager	pod	specification	file	ownership	is	set	to	root:root.,cis_compliance_agent/alicloud_agent/alicloud_controls_FINAL_20251031_171157.csv,SKIP: CIS benchmark is CSP-specific,0.00,SKIP: CIS benchmark is CSP-specific,0.00,SKIP: CIS benchmark is CSP-specific,0.00,SKIP: CIS benchmark is CSP-specific,0.00,SKIP: CIS benchmark is CSP-specific,0.00,"SKIP: Control is specific to Kubernetes pod specification file ownership, not a direct cloud resource configuration in Alibaba Cloud's managed services.",0.00,SKIP: CIS benchmark is CSP-specific,0.00,,,,,,,
CIS_ALICLOUD,,1.1.5,Ensure that the scheduler pod specification file permissions are set to 644 or more restrictive,Ensure	that	the	scheduler	pod	specification	file	has	permissions	of	644	or	more	restrictive.,cis_compliance_agent/alicloud_agent/alicloud_controls_FINAL_20251031_171157.csv,SKIP: CIS benchmark is CSP-specific,0.00,SKIP: CIS benchmark is CSP-specific,0.00,SKIP: CIS benchmark is CSP-specific,0.00,SKIP: CIS benchmark is CSP-specific,0.00,SKIP: CIS benchmark is CSP-specific,0.00,"SKIP: Control is specific to Kubernetes scheduler pod file permissions, not a direct cloud resource configuration in Alibaba Cloud.",0.00,SKIP: CIS benchmark is CSP-specific,0.00,,,,,,,
CIS_ALICLOUD,,1.1.6,Ensure that the scheduler pod specification file ownership is set to root:root,Ensure	that	the	scheduler	pod	specification	file	ownership	is	set	to	root:root.,cis_compliance_agent/alicloud_agent/alicloud_controls_FINAL_20251031_171157.csv,SKIP: CIS benchmark is CSP-specific,0.00,SKIP: CIS benchmark is CSP-specific,0.00,SKIP: CIS benchmark is CSP-specific,0.00,SKIP: CIS benchmark is CSP-specific,0.00,SKIP: CIS benchmark is CSP-specific,0.00,"SKIP: Control is specific to Kubernetes pod specification file ownership, not a direct, universal Alicloud resource configuration.",0.00,SKIP: CIS benchmark is CSP-specific,0.00,,,,,,,
CIS_ALICLOUD,,1.1.7,Ensure that the etcd service file permissions are set to 644 or more restrictive,Ensure	that	the	/usr/lib/systemd/system/etcd.service	file	has	permissions	of	644	or more	restrictive.,cis_compliance_agent/alicloud_agent/alicloud_controls_FINAL_20251031_171157.csv,SKIP: CIS benchmark is CSP-specific,0.00,SKIP: CIS benchmark is CSP-specific,0.00,SKIP: CIS benchmark is CSP-specific,0.00,SKIP: CIS benchmark is CSP-specific,0.00,SKIP: CIS benchmark is CSP-specific,0.00,"SKIP: etcd is a Kubernetes component, not a direct, configurable Alibaba Cloud managed service resource.",0.00,SKIP: CIS benchmark is CSP-specific,0.00,,,,,,,
CIS_ALICLOUD,,1.1.8,Ensure that the etcd service file ownership is set to root:root,Ensure	that	the	/usr/lib/systemd/system/etcd.service	file	ownership	is	set	to root:root.,cis_compliance_agent/alicloud_agent/alicloud_controls_FINAL_20251031_171157.csv,SKIP: CIS benchmark is CSP-specific,0.00,SKIP: CIS benchmark is CSP-specific,0.00,SKIP: CIS benchmark is CSP-specific,0.00,SKIP: CIS benchmark is CSP-specific,0.00,SKIP: CIS benchmark is CSP-specific,0.00,"SKIP: etcd is a component of managed Kubernetes services, not a directly configurable cloud resource with a service file in Alibaba Cloud.",0.00,SKIP: CIS benchmark is CSP-specific,0.00,,,,,,,
CIS_ALICLOUD,,1.1.9,Ensure that the Container Network Interface file permissions are set to 644 or more restrictive,Ensure	that	the	Container	Network	Interface	files	have	permissions	of	644	or	more restrictive.,cis_compliance_agent/alicloud_agent/alicloud_controls_FINAL_20251031_171157.csv,"SKIP: Control is specific to container runtime host OS file permissions, not a managed cloud service configuration.",0.00,"SKIP: Control is specific to container runtime host OS file permissions, not a managed cloud service configuration.",0.00,"SKIP: Control is specific to container runtime host OS file permissions, not a managed cloud service configuration.",0.00,"SKIP: Control is specific to container runtime host OS file permissions, not a managed cloud service configuration.",0.00,"SKIP: Control is specific to container runtime host OS file permissions, not a managed cloud service configuration.",0.00,alicloud.cfw.network.firewall_no_permit_any_any,0.40,"SKIP: Control is specific to container runtime host OS file permissions, not a managed Kubernetes configuration.",0.00,,,,,,,
CIS_ALICLOUD,,1.2.1,Ensure that the --basic-auth-file argument is not set,Do	not	use	basic	authentication.,cis_compliance_agent/alicloud_agent/alicloud_controls_FINAL_20251031_171157.csv,SKIP: CIS benchmark is CSP-specific,0.00,SKIP: CIS benchmark is CSP-specific,0.00,SKIP: CIS benchmark is CSP-specific,0.00,SKIP: CIS benchmark is CSP-specific,0.00,SKIP: CIS benchmark is CSP-specific,0.00,SKIP: The --basic-auth-file argument is a Kubernetes API server configuration not directly mapped to a managed Alibaba Cloud resource configuration.,0.00,SKIP: CIS benchmark is CSP-specific,0.00,,,,,,,
CIS_ALICLOUD,,1.2.10,Ensure that the admission control plugin AlwaysPullImages is set,Always	pull	images.,cis_compliance_agent/alicloud_agent/alicloud_controls_FINAL_20251031_171157.csv,SKIP: CIS benchmark is CSP-specific,0.00,SKIP: CIS benchmark is CSP-specific,0.00,SKIP: CIS benchmark is CSP-specific,0.00,SKIP: CIS benchmark is CSP-specific,0.00,SKIP: CIS benchmark is CSP-specific,0.00,"SKIP: Control is specific to Kubernetes admission controllers, not a direct cloud resource configuration in Alibaba Cloud's managed services.",0.00,SKIP: CIS benchmark is CSP-specific,0.00,,,,,,,
CIS_ALICLOUD,,1.2.11,Ensure that the admission control plugin SecurityContextDeny is set if PodSecurityPolicy is not used,The	SecurityContextDeny	admission	controller	can	be	used	to	deny	pods	which	make	use	of some	SecurityContext	fields	which	could	allow	for	privilege	escalation	in	the	cluster.	This should	be	used	where	PodSecurityPolicy	is	not	in	place	within	the	cluster.,cis_compliance_agent/alicloud_agent/alicloud_controls_FINAL_20251031_171157.csv,SKIP: CIS benchmark is CSP-specific,0.00,SKIP: CIS benchmark is CSP-specific,0.00,SKIP: CIS benchmark is CSP-specific,0.00,SKIP: CIS benchmark is CSP-specific,0.00,SKIP: CIS benchmark is CSP-specific,0.00,"SKIP: Control is specific to Kubernetes PodSecurityPolicy admission controller, which is not a managed cloud resource configuration in Alibaba Cloud's CSPM scope.",0.00,SKIP: CIS benchmark is CSP-specific,0.00,,,,,,,
CIS_ALICLOUD,,1.2.12,Ensure that the admission control plugin ServiceAccount is set,Automate	service	accounts	management.,cis_compliance_agent/alicloud_agent/alicloud_controls_FINAL_20251031_171157.csv,SKIP: CIS benchmark is CSP-specific,0.00,SKIP: CIS benchmark is CSP-specific,0.00,SKIP: CIS benchmark is CSP-specific,0.00,SKIP: CIS benchmark is CSP-specific,0.00,SKIP: CIS benchmark is CSP-specific,0.00,"SKIP: Admission control plugin configuration is specific to Kubernetes, not a direct, universal Alicloud resource configuration.",0.00,SKIP: CIS benchmark is CSP-specific,0.00,,,,,,,
