CISA_Cyber_Essentials_Checklist
Section,Role,Action Item
YOUR ABILITY TO OPERATE / ACCESS INFO YOUR REPUTATION / CUSTOMER TRUST YOUR BOTTOM LINE YOUR ORGANIZATION’S SURVIVAL,General,Managing cyber risks requires building a culture of cyber readiness.
YOUR ABILITY TO OPERATE / ACCESS INFO YOUR REPUTATION / CUSTOMER TRUST YOUR BOTTOM LINE YOUR ORGANIZATION’S SURVIVAL,General,CISA.gov/Cyber-EssentialsYour Systems- What Makes You Operational
YOUR ABILITY TO OPERATE / ACCESS INFO YOUR REPUTATION / CUSTOMER TRUST YOUR BOTTOM LINE YOUR ORGANIZATION’S SURVIVAL,General,Protect critical assets and applications
YOUR ABILITY TO OPERATE / ACCESS INFO YOUR REPUTATION / CUSTOMER TRUST YOUR BOTTOM LINE YOUR ORGANIZATION’S SURVIVAL,General,Information is the life-blood of any business; it is often the most
YOUR ABILITY TO OPERATE / ACCESS INFO YOUR REPUTATION / CUSTOMER TRUST YOUR BOTTOM LINE YOUR ORGANIZATION’S SURVIVAL,General,valuable of a business’ intangible assets.
YOUR ABILITY TO OPERATE / ACCESS INFO YOUR REPUTATION / CUSTOMER TRUST YOUR BOTTOM LINE YOUR ORGANIZATION’S SURVIVAL,General,"Know where this information resides, know what applications and"
YOUR ABILITY TO OPERATE / ACCESS INFO YOUR REPUTATION / CUSTOMER TRUST YOUR BOTTOM LINE YOUR ORGANIZATION’S SURVIVAL,General,"networks store and process that information, and build security"
YOUR ABILITY TO OPERATE / ACCESS INFO YOUR REPUTATION / CUSTOMER TRUST YOUR BOTTOM LINE YOUR ORGANIZATION’S SURVIVAL,General,into and around these. Yourself- The Leader
YOUR ABILITY TO OPERATE / ACCESS INFO YOUR REPUTATION / CUSTOMER TRUST YOUR BOTTOM LINE YOUR ORGANIZATION’S SURVIVAL,General,"Drive cybersecurity strategy, investment"
YOUR ABILITY TO OPERATE / ACCESS INFO YOUR REPUTATION / CUSTOMER TRUST YOUR BOTTOM LINE YOUR ORGANIZATION’S SURVIVAL,General,and culture
Your awareness of the basics drives cybersecurity to be a major,General,"part of your operational resilience strategy, and that strategy"
Your awareness of the basics drives cybersecurity to be a major,General,requires an investment of time and money.
Your investment drives actions and activities that build and sustain,General,a culture of cybersecurity. Your Staff- The Users
Your investment drives actions and activities that build and sustain,General,Develop security awareness and vigilance
"Your staff will often be your first line of defense, one that must",General,have - and continuously grow - the skills to practice and maintain
"Your staff will often be your first line of defense, one that must",General,readiness against cybersecurity risks. Essential Elements  of a Culture of Cyber Readiness :
"Your staff will often be your first line of defense, one that must",General,"For tech specs on building a Culture of Cyber Readiness, flip page Your Crisis Response"
"Your staff will often be your first line of defense, one that must",General,Limit damage and quicken restoration of
"Your staff will often be your first line of defense, one that must",General,normal operations
"Your staff will often be your first line of defense, one that must",General,The strategy for responding to and recovering from compromise:
"Your staff will often be your first line of defense, one that must",General,"plan, prepare for, and conduct drills for cyberattacks as you would"
"Your staff will often be your first line of defense, one that must",General,a fire. Make your reaction to cyberattacks and system failures an
"Your staff will often be your first line of defense, one that must",General,extension of your other business contingency plans.
"Your staff will often be your first line of defense, one that must",General,"This requires having established procedures, trained staff, and"
"Your staff will often be your first line of defense, one that must",General,knowing how - and to whom - to communicate during a crisis.
Your success depends on Cyber Readiness . Both depend on YOU.,General,1Your Surroundings- The Digital Workplace
Your success depends on Cyber Readiness . Both depend on YOU.,General,Ensure only those who belong on your
Your success depends on Cyber Readiness . Both depend on YOU.,General,digital workplace have access
Your success depends on Cyber Readiness . Both depend on YOU.,General,"The authority and access you grant employees, managers, and"
Your success depends on Cyber Readiness . Both depend on YOU.,General,"customers into your digital environment needs limits, just as those"
Your success depends on Cyber Readiness . Both depend on YOU.,General,set in the physical work environment do.
Your success depends on Cyber Readiness . Both depend on YOU.,General,Setting approved access privileges requires knowing who
Your success depends on Cyber Readiness . Both depend on YOU.,General,operates on your systems and with what level of authorization and
Your success depends on Cyber Readiness . Both depend on YOU.,General,accountability. Your Data- What the Business is Built On
Your success depends on Cyber Readiness . Both depend on YOU.,General,Make backups and avoid the loss of
Your success depends on Cyber Readiness . Both depend on YOU.,General,information critical to operations
Your success depends on Cyber Readiness . Both depend on YOU.,General,Even the best security measures can be circumvented with a
Your success depends on Cyber Readiness . Both depend on YOU.,General,"patient, sophisticated adversary. Learn to protect your information"
Your success depends on Cyber Readiness . Both depend on YOU.,General,"where it is stored, processed, and transmitted."
Your success depends on Cyber Readiness . Both depend on YOU.,General,"Have a contingency plan, which generally starts with being able"
Your success depends on Cyber Readiness . Both depend on YOU.,General,"to recover systems, networks, and data from known, accurate"
Your success depends on Cyber Readiness . Both depend on YOU.,General,backups.
Your Systems,General,Protect critical assets
Your Systems,General,and applicationsYour Data
Your Systems,General,Make backups and
Your Systems,General,avoid loss of info critical
Your Systems,General,operationsYour Staff
Your Systems,General,Develop security
Your Systems,General,awareness and vigilance
Your Systems,General,Employ a backup solution that automatically
Your Systems,General,and continuously backs up critical data and
Your Systems,General,system configurations.Backup Data
Your Systems,General,Require multi-factor authentication (MFA) for
Your Systems,General,accessing your systems whenever possible. MFA
Your Systems,General,"should be required of all users, but start with"
Your Systems,General,"privileged, administrative and remote access users.Multi-Factor Authentication Patch & Update Management"
Your Systems,General,Enable automatic updates whenever possible. Replace
Your Systems,General,"unsupported operating systems, applications and"
Your Systems,General,hardware. Test and deploy patches quickly.
Your Systems,General,Actions for leaders.
Your Systems,General,Discuss with IT staff
Your Systems,General,or service providers.
Your Systems,General,Essential Actions for Building a Culture of Cyber Readiness :
Your Systems,General,Yourself
Your Systems,General,Drive cybersecurity
Your Systems,General,"strategy, investment"
Your Systems,General,and cultureYour Crisis Response
Your Systems,General,Limit damage and
Your Systems,General,quicken restoration of
Your Systems,General,normal operationsYour Surroundings
Your Systems,General,Ensure only those who
Your Systems,General,belong on your digital
Your Systems,General,workplace have accessBOOTING UP
Your Systems,General,Things to Do First
Your Systems,General,"Consistent with the NIST Cybersecurity Framework and other standards, these actions are the starting point to Cyber Readiness. To learn more, visit CISA.gov/Cyber-Essentials . 2Leverage basic cybersecurity"
Your Systems,General,training to improve exposure
Your Systems,General,"to cybersecurity concepts,"
Your Systems,General,terminology and activities
Your Systems,General,associated with implementing
Your Systems,General,cybersecurity best practices.Lead investment in basic
Your Systems,General,cybersecurity.Learn what is on your network.
Your Systems,General,Maintain inventories of hardware
Your Systems,General,and software assets to know what
Your Systems,General,is in-play and at-risk from attack.Learn who is on your network.
Your Systems,General,Maintain inventories of network
Your Systems,General,"connections (user accounts,"
Your Systems,General,"vendors, business partners, etc.).Learn what information resides on"
your network. Maintain inventories,General,of critical or sensitive information. Lead development of an
your network. Maintain inventories,General,incident response and disaster
your network. Maintain inventories,General,recovery plan outlining roles and
your network. Maintain inventories,General,responsibilities. Test it often. Determine how much of your
your network. Maintain inventories,General,organization’s operations are
your network. Maintain inventories,General,dependent on IT.
your network. Maintain inventories,General,Build a network of trusted
your network. Maintain inventories,General,relationships with sector partners
your network. Maintain inventories,General,and government agencies for
your network. Maintain inventories,General,access to timely cyber threat
your network. Maintain inventories,General,information.
your network. Maintain inventories,General,Approach cyber as a business risk.
your network. Maintain inventories,General,Lead development of cybersecurity
your network. Maintain inventories,General,policies.Develop a culture of awareness
your network. Maintain inventories,General,to encourage employees to make
your network. Maintain inventories,General,good choices online.
your network. Maintain inventories,General,Learn about risks like phishing
your network. Maintain inventories,General,and business email compromise.
your network. Maintain inventories,General,Identify available training
your network. Maintain inventories,General,resources through professional
your network. Maintain inventories,General,"associations, academic"
your network. Maintain inventories,General,"institutions, private sector and"
your network. Maintain inventories,General,government sources.
your network. Maintain inventories,General,Maintain awareness of current
your network. Maintain inventories,General,"events related to cybersecurity,"
your network. Maintain inventories,General,using lessons-learned and
your network. Maintain inventories,General,reported events to remain
your network. Maintain inventories,General,vigilant against the current
your network. Maintain inventories,General,threat environment and agile to
your network. Maintain inventories,General,cybersecurity trends.Leverage automatic updates for all
your network. Maintain inventories,General,operating systems and third-party
your network. Maintain inventories,General,software.
your network. Maintain inventories,General,Implement secure configurations
your network. Maintain inventories,General,for all hardware and software
your network. Maintain inventories,General,assets.
your network. Maintain inventories,General,Remove unsupported or
your network. Maintain inventories,General,unauthorized hardware and
your network. Maintain inventories,General,software from systems.
your network. Maintain inventories,General,Leverage email and web browser
your network. Maintain inventories,General,security settings to protect against
your network. Maintain inventories,General,spoofed or modified emails and
your network. Maintain inventories,General,unsecured webpages.
your network. Maintain inventories,General,Create application integrity and
your network. Maintain inventories,General,whitelisting policies so that only
your network. Maintain inventories,General,approved software is allowed to
your network. Maintain inventories,General,load and operate on their systems. Leverage multi-factor
your network. Maintain inventories,General,"authentication for all users,"
your network. Maintain inventories,General,"starting with privileged,"
your network. Maintain inventories,General,administrative and remote access
your network. Maintain inventories,General,users.
your network. Maintain inventories,General,Grant access and admin
your network. Maintain inventories,General,permissions based on need-to-
your network. Maintain inventories,General,know and least privilege.
your network. Maintain inventories,General,Leverage unique passwords for all
your network. Maintain inventories,General,user accounts.
your network. Maintain inventories,General,Develop IT policies and procedures
your network. Maintain inventories,General,addressing changes in user status
your network. Maintain inventories,General,"(transfers, termination, etc.).Learn what is happening on your"
your network. Maintain inventories,General,network. Manage network and
your network. Maintain inventories,General,"perimeter components, host and"
your network. Maintain inventories,General,"device components, data-at-rest"
your network. Maintain inventories,General,"and in-transit, and user behavior"
your network. Maintain inventories,General,activities.
your network. Maintain inventories,General,Domain Name System Protection.
your network. Maintain inventories,General,Learn how your data is protected.
your network. Maintain inventories,General,Leverage malware protection
your network. Maintain inventories,General,capabilities.
your network. Maintain inventories,General,Establish regular automated
your network. Maintain inventories,General,backups and redundancies of key
your network. Maintain inventories,General,systems.
your network. Maintain inventories,General,"Leverage protections for backups,"
your network. Maintain inventories,General,"including physical security,"
your network. Maintain inventories,General,encryption and offline copies.Leverage business impact
your network. Maintain inventories,General,assessments to prioritize
your network. Maintain inventories,General,resources and identify which
your network. Maintain inventories,General,systems must be recovered first.
your network. Maintain inventories,General,Learn who to call for help (outside
your network. Maintain inventories,General,"partners, vendors, government/"
your network. Maintain inventories,General,"industry responders, technical"
your network. Maintain inventories,General,advisors and law enforcement).
your network. Maintain inventories,General,Lead development of an internal
your network. Maintain inventories,General,"reporting structure to detect,"
your network. Maintain inventories,General,communicate and contain attacks.
your network. Maintain inventories,General,Leverage in-house containment
your network. Maintain inventories,General,measures to limit the impact of
your network. Maintain inventories,General,cyber incidents when they occur.
your network. Maintain inventories,General,Approach cyber as a business risk.  Ask yourself what type of impact would be catastrophic to your operations? What
your network. Maintain inventories,General,"information if compromised or breached would cause damage to employees, customers, or business partners? What"
your network. Maintain inventories,General,is your level of risk appetite and risk tolerance? Raising the level of awareness helps reinforce the culture of making
your network. Maintain inventories,General,informed decisions and understanding the level of risk to the organization.
your network. Maintain inventories,General,Determine how much of your organization’s operations are dependent on IT.  Consider how much your organization
your network. Maintain inventories,General,relies on information technology to conduct business and make it a part of your culture to plan for contingencies in
