control_id,title,confidence_level,source
5.2.8,Ensure SSH HostbasedAuthentication is disabled,MEDIUM,CIS_AKS_OPTIMIZED_AZURE_LINUX_BENCHMARK_V1.0.0_updated_20250825_190750.json
3.3.8,Ensure TCP SYN Cookies is enabled,MEDIUM,CIS_AKS_OPTIMIZED_AZURE_LINUX_BENCHMARK_V1.0.0_updated_20250825_190750.json
6.1.3,Ensure permissions on /etc/group are configured,MEDIUM,1. NIST SP 800-53 Rev. 5: AC-3. MP-2
5.4.3,Ensure password hashing algorithm is SHA-512,MEDIUM,CIS_AKS_OPTIMIZED_AZURE_LINUX_BENCHMARK_V1.0.0_updated_20250825_190750.json
5.1.4,Ensure permissions on /etc/cron.daily are configured,MEDIUM,CIS_AKS_OPTIMIZED_AZURE_LINUX_BENCHMARK_V1.0.0_updated_20250825_190750.json
3.3.7,Ensure Reverse Path Filtering is enabled,MEDIUM,CIS_AKS_OPTIMIZED_AZURE_LINUX_BENCHMARK_V1.0.0_updated_20250825_190750.json
6.2.11,Ensure users' home directories permissions are 750 or more restrictive,MEDIUM,CIS_AKS_OPTIMIZED_AZURE_LINUX_BENCHMARK_V1.0.0_updated_20250825_190750.json
3.3.2,Ensure ICMP redirects are not accepted,MEDIUM,CIS_AKS_OPTIMIZED_AZURE_LINUX_BENCHMARK_V1.0.0_updated_20250825_190750.json
2.2.7,Ensure FTP client is not installed,MEDIUM,CIS_AKS_OPTIMIZED_AZURE_LINUX_BENCHMARK_V1.0.0_updated_20250825_190750.json
2.2.13,Ensure HTTP Proxy Server is not installed,MEDIUM,CIS_AKS_OPTIMIZED_AZURE_LINUX_BENCHMARK_V1.0.0_updated_20250825_190750.json
5.4.1,Ensure password creation requirements are configured,MEDIUM,CIS_AKS_OPTIMIZED_AZURE_LINUX_BENCHMARK_V1.0.0_updated_20250825_190750.json
5.5.1.2,Ensure minimum days between password changes is configured,MEDIUM,CIS_AKS_OPTIMIZED_AZURE_LINUX_BENCHMARK_V1.0.0_updated_20250825_190750.json
6.1.3,Ensure that 'Allow users to remember multifactor authentication on devices they trust' is disabled,MEDIUM,CIS_MICROSOFT_AZURE_FOUNDATIONS_BENCHMARK_V4.0.0_updated_20250825_190952.json
1.4.1,Ensure local login warning banner is configured properly,MEDIUM,CIS_AKS_OPTIMIZED_AZURE_LINUX_BENCHMARK_V1.0.0_updated_20250825_190750.json
5.1.1,Ensure cron daemon is enabled,MEDIUM,CIS_AKS_OPTIMIZED_AZURE_LINUX_BENCHMARK_V1.0.0_updated_20250825_190750.json
5.5.1.1,Ensure password expiration is 365 days or less,MEDIUM,CIS_AKS_OPTIMIZED_AZURE_LINUX_BENCHMARK_V1.0.0_updated_20250825_190750.json
16.1,Ensure 'Allowed Protocols' for shared access signature (SAS) tokens is set to 'HTTPS Only',MEDIUM,CIS_MICROSOFT_AZURE_STORAGE_SERVICES_BENCHMARK_V1.0.0_updated_20250825_191043.json
5.5.1.4,Ensure inactive password lock is 30 days or less,MEDIUM,CIS_AKS_OPTIMIZED_AZURE_LINUX_BENCHMARK_V1.0.0_updated_20250825_190750.json
6.1.10,Ensure world writable files and directories are secured,MEDIUM,CIS_AKS_OPTIMIZED_AZURE_LINUX_BENCHMARK_V1.0.0_updated_20250825_190750.json
3.2.1,Ensure packet redirect sending is disabled,MEDIUM,CIS_AKS_OPTIMIZED_AZURE_LINUX_BENCHMARK_V1.0.0_updated_20250825_190750.json
1.2.1,Ensure DNF gpgcheck is globally activated,MEDIUM,CIS_AKS_OPTIMIZED_AZURE_LINUX_BENCHMARK_V1.0.0_updated_20250825_190750.json
6.2.7,Ensure root PATH Integrity,MEDIUM,CIS_AKS_OPTIMIZED_AZURE_LINUX_BENCHMARK_V1.0.0_updated_20250825_190750.json
3.2.5,Ensure that the --streaming-connection-idle-timeout argument is not set to 0,MEDIUM,CIS AZURE KUBERNETES SERVICE (AKS) BENCHMARK V1.7.0 PDF_updated_20250825_190647.json
5.2.10,Ensure SSH PermitUserEnvironment is disabled,MEDIUM,CIS_AKS_OPTIMIZED_AZURE_LINUX_BENCHMARK_V1.0.0_updated_20250825_190750.json
3.2.8,Ensure that the --rotate-certificates argument is not set to false,MEDIUM,CIS AZURE KUBERNETES SERVICE (AKS) BENCHMARK V1.7.0 PDF_updated_20250825_190647.json
1.4.2,Ensure remote login warning banner is configured properly,MEDIUM,CIS_AKS_OPTIMIZED_AZURE_LINUX_BENCHMARK_V1.0.0_updated_20250825_190750.json
3.2.4,Ensure that the --read-only-port is secured,MEDIUM,CIS AZURE KUBERNETES SERVICE (AKS) BENCHMARK V1.7.0 PDF_updated_20250825_190647.json
6.1.6,Ensure permissions on /etc/shadow- are configured,MEDIUM,1. NIST SP 800-53 Rev. 5: AC-3. MP-2
3.1.2,Ensure that the kubelet kubeconfig file ownership is set to root:root,MEDIUM,1. https://kubernetes.io/docs/admin/kube-proxy/ 2. https://docs.microsoft.com/security/benchmark/azure/security-controls-v2- posture-vulnerability-management#pv-3-establish-secure-configurations-for- compute-resources
2.2.18,Ensure nfs-utils is not installed or the nfs-server service is masked,MEDIUM,CIS_AKS_OPTIMIZED_AZURE_LINUX_BENCHMARK_V1.0.0_updated_20250825_190750.json
6.1.2,Ensure permissions on /etc/passwd- are configured,MEDIUM,1. NIST SP 800-53 Rev. 5: AC-3. MP-2
1.1.3.2,Ensure nosuid option set on /dev/shm partition,MEDIUM,CIS_AKS_OPTIMIZED_AZURE_LINUX_BENCHMARK_V1.0.0_updated_20250825_190750.json
17.1.2,Ensure 'Allowed Protocols' for shared access signature (SAS) tokens is set to 'HTTPS Only',MEDIUM,CIS_MICROSOFT_AZURE_STORAGE_SERVICES_BENCHMARK_V1.0.0_updated_20250825_191043.json
6.2.1,Ensure password fields are not empty,MEDIUM,CIS_AKS_OPTIMIZED_AZURE_LINUX_BENCHMARK_V1.0.0_updated_20250825_190750.json
2.3.3,Ensure talk client is not installed,MEDIUM,CIS_AKS_OPTIMIZED_AZURE_LINUX_BENCHMARK_V1.0.0_updated_20250825_190750.json
1.4.5,Ensure permissions on /etc/issue.net are configured,MEDIUM,CIS_AKS_OPTIMIZED_AZURE_LINUX_BENCHMARK_V1.0.0_updated_20250825_190750.json
5.1.6,Ensure permissions on /etc/cron.monthly are configured,MEDIUM,CIS_AKS_OPTIMIZED_AZURE_LINUX_BENCHMARK_V1.0.0_updated_20250825_190750.json
2.4,Ensure that 'Access Policies' are implemented and reviewed periodically,MEDIUM,CIS_MICROSOFT_AZURE_DATABASE_SERVICES_BENCHMARK_V1.0.0_updated_20250825_190935.json
5.2.15,Ensure SSH warning banner is configured,MEDIUM,CIS_AKS_OPTIMIZED_AZURE_LINUX_BENCHMARK_V1.0.0_updated_20250825_190750.json
4.1.1.2,Ensure rsyslog service is enabled,MEDIUM,CIS_AKS_OPTIMIZED_AZURE_LINUX_BENCHMARK_V1.0.0_updated_20250825_190750.json
6.2.8,Ensure root is the only UID 0 account,MEDIUM,CIS_AKS_OPTIMIZED_AZURE_LINUX_BENCHMARK_V1.0.0_updated_20250825_190750.json
5.2.6,Ensure SSH PAM is enabled,MEDIUM,CIS_AKS_OPTIMIZED_AZURE_LINUX_BENCHMARK_V1.0.0_updated_20250825_190750.json
5.2.16,Ensure SSH MaxAuthTries is set to 4 or less,MEDIUM,CIS_AKS_OPTIMIZED_AZURE_LINUX_BENCHMARK_V1.0.0_updated_20250825_190750.json
1.4.3,Ensure permissions on /etc/motd are configured,MEDIUM,CIS_AKS_OPTIMIZED_AZURE_LINUX_BENCHMARK_V1.0.0_updated_20250825_190750.json
6.1.5,Ensure permissions on /etc/shadow are configured,MEDIUM,"1. NIST SP 800-53 Rev. 5: AC-3, MP-2"
5.2.9,Ensure SSH PermitEmptyPasswords is disabled,MEDIUM,CIS_AKS_OPTIMIZED_AZURE_LINUX_BENCHMARK_V1.0.0_updated_20250825_190750.json
18.1,Ensure that shared access signature (SAS) tokens expire within an hour,MEDIUM,CIS_MICROSOFT_AZURE_STORAGE_SERVICES_BENCHMARK_V1.0.0_updated_20250825_191043.json
2.1.1.3,Ensure stored access policies (SAP) are used when generating shared access signature (SAS) tokens,MEDIUM,CIS_MICROSOFT_AZURE_STORAGE_SERVICES_BENCHMARK_V1.0.0_updated_20250825_191043.json
1.1.2.1,Ensure /tmp is a separate partition,MEDIUM,CIS_AKS_OPTIMIZED_AZURE_LINUX_BENCHMARK_V1.0.0_updated_20250825_190750.json
2.1.1,Ensure time synchronization is in use,MEDIUM,CIS_AKS_OPTIMIZED_AZURE_LINUX_BENCHMARK_V1.0.0_updated_20250825_190750.json
18.3,Ensure Storage Explorer is using the latest version,MEDIUM,CIS_MICROSOFT_AZURE_STORAGE_SERVICES_BENCHMARK_V1.0.0_updated_20250825_191043.json
5.2.13,Ensure only strong MAC algorithms are used,MEDIUM,CIS_AKS_OPTIMIZED_AZURE_LINUX_BENCHMARK_V1.0.0_updated_20250825_190750.json
2.1.1.1,Ensure 'Allowed Protocols' for shared access signature (SAS) tokens is set to 'HTTPS Only',MEDIUM,CIS_MICROSOFT_AZURE_STORAGE_SERVICES_BENCHMARK_V1.0.0_updated_20250825_191043.json
5.5.1.3,Ensure password expiration warning days is 7 or more,MEDIUM,CIS_AKS_OPTIMIZED_AZURE_LINUX_BENCHMARK_V1.0.0_updated_20250825_190750.json
6.1.7,Ensure permissions on /etc/gshadow are configured,MEDIUM,1. NIST SP 800-53 Rev. 5: AC-3. MP-2
5.5.2,Ensure system accounts are secured,MEDIUM,CIS_AKS_OPTIMIZED_AZURE_LINUX_BENCHMARK_V1.0.0_updated_20250825_190750.json
3.3.6,Ensure bogus ICMP responses are ignored,MEDIUM,CIS_AKS_OPTIMIZED_AZURE_LINUX_BENCHMARK_V1.0.0_updated_20250825_190750.json
4.1,Ensure SSL is configured for CycleCloud,MEDIUM,CIS_MICROSOFT_AZURE_COMPUTE_SERVICES_BENCHMARK_V2.0.0_updated_20250825_190920.json
3.1.1,Ensure IPv6 is enabled,MEDIUM,CIS_AKS_OPTIMIZED_AZURE_LINUX_BENCHMARK_V1.0.0_updated_20250825_190750.json
3.3.5,Ensure broadcast ICMP requests are ignored,MEDIUM,CIS_AKS_OPTIMIZED_AZURE_LINUX_BENCHMARK_V1.0.0_updated_20250825_190750.json
6.3.4,Ensure that all 'privileged' role assignments are periodically reviewed,MEDIUM,CIS_MICROSOFT_AZURE_FOUNDATIONS_BENCHMARK_V4.0.0_updated_20250825_190952.json
6.17,Ensure that 'Restrict access to Microsoft Entra admin center' is set to 'Yes',MEDIUM,CIS_MICROSOFT_AZURE_FOUNDATIONS_BENCHMARK_V4.0.0_updated_20250825_190952.json
5.5.3,Ensure default group for the root account is GID 0,MEDIUM,CIS_AKS_OPTIMIZED_AZURE_LINUX_BENCHMARK_V1.0.0_updated_20250825_190750.json
4.1.1.4,Ensure rsyslog is not configured to receive logs from a remote client,MEDIUM,CIS_AKS_OPTIMIZED_AZURE_LINUX_BENCHMARK_V1.0.0_updated_20250825_190750.json
5.4.4,Ensure password reuse is limited,MEDIUM,
2.2.12,Ensure Samba is not installed,MEDIUM,CIS_AKS_OPTIMIZED_AZURE_LINUX_BENCHMARK_V1.0.0_updated_20250825_190750.json
2.3.1,Ensure NIS Client is not installed,MEDIUM,CIS_AKS_OPTIMIZED_AZURE_LINUX_BENCHMARK_V1.0.0_updated_20250825_190750.json
2.3.4,Ensure telnet client is not installed,MEDIUM,CIS_AKS_OPTIMIZED_AZURE_LINUX_BENCHMARK_V1.0.0_updated_20250825_190750.json
2.2.14,Ensure net-snmp is not installed or the snmpd service is not enabled,MEDIUM,CIS_AKS_OPTIMIZED_AZURE_LINUX_BENCHMARK_V1.0.0_updated_20250825_190750.json
5.2.20,Ensure SSH Idle Timeout Interval is configured,MEDIUM,CIS_AKS_OPTIMIZED_AZURE_LINUX_BENCHMARK_V1.0.0_updated_20250825_190750.json
6.2.16,Ensure no users have .rhosts files,MEDIUM,CIS_AKS_OPTIMIZED_AZURE_LINUX_BENCHMARK_V1.0.0_updated_20250825_190750.json
6.2.14,Ensure no users have .forward files,MEDIUM,CIS_AKS_OPTIMIZED_AZURE_LINUX_BENCHMARK_V1.0.0_updated_20250825_190750.json
5.3.3,Ensure sudo authentication timeout is configured correctly,MEDIUM,CIS_AKS_OPTIMIZED_AZURE_LINUX_BENCHMARK_V1.0.0_updated_20250825_190750.json
6.2.10,Ensure users own their home directories,MEDIUM,CIS_AKS_OPTIMIZED_AZURE_LINUX_BENCHMARK_V1.0.0_updated_20250825_190750.json
2.2.6,Ensure a dns server is not installed,MEDIUM,CIS_AKS_OPTIMIZED_AZURE_LINUX_BENCHMARK_V1.0.0_updated_20250825_190750.json
3.2.6,Ensure that the --make-iptables-util-chains argument is set to true,MEDIUM,CIS AZURE KUBERNETES SERVICE (AKS) BENCHMARK V1.7.0 PDF_updated_20250825_190647.json
3.4.3.1.3,Ensure firewalld is either not installed or masked with iptables,MEDIUM,CIS_AKS_OPTIMIZED_AZURE_LINUX_BENCHMARK_V1.0.0_updated_20250825_190750.json
5.2.18,Ensure SSH LoginGraceTime is set to one minute or less,MEDIUM,CIS_AKS_OPTIMIZED_AZURE_LINUX_BENCHMARK_V1.0.0_updated_20250825_190750.json
5.2.4,Ensure SSH access is limited,MEDIUM,CIS_AKS_OPTIMIZED_AZURE_LINUX_BENCHMARK_V1.0.0_updated_20250825_190750.json
3.2.2,Ensure that the --authorization-mode argument is not set to AlwaysAllow,LOW,CIS AZURE KUBERNETES SERVICE (AKS) BENCHMARK V1.7.0 PDF_updated_20250825_190647.json
6.2.9,Ensure all users' home directories exist,MEDIUM,CIS_AKS_OPTIMIZED_AZURE_LINUX_BENCHMARK_V1.0.0_updated_20250825_190750.json
5.3.1,Ensure sudo is installed,MEDIUM,CIS_AKS_OPTIMIZED_AZURE_LINUX_BENCHMARK_V1.0.0_updated_20250825_190750.json
3.1.1,Ensure that the kubeconfig file permissions are set to 644 or more restrictive,MEDIUM,CIS AZURE KUBERNETES SERVICE (AKS) BENCHMARK V1.7.0 PDF_updated_20250825_190647.json
5.2.7,Ensure SSH root login is disabled,MEDIUM,CIS_AKS_OPTIMIZED_AZURE_LINUX_BENCHMARK_V1.0.0_updated_20250825_190750.json
1.3.3,Ensure address space layout randomization (ASLR) is enabled,MEDIUM,CIS_AKS_OPTIMIZED_AZURE_LINUX_BENCHMARK_V1.0.0_updated_20250825_190750.json
5.2.2,Ensure permissions on SSH private host key files are configured,MEDIUM,1. NIST SP 800-53 Rev. 5: AC-3. MP-2
11.1,Ensure 'Allowed Protocols' for shared access signature (SAS) tokens is set to 'HTTPS Only',MEDIUM,CIS_MICROSOFT_AZURE_STORAGE_SERVICES_BENCHMARK_V1.0.0_updated_20250825_191043.json
5.1.8,Ensure cron is restricted to authorized users,MEDIUM,
2.2.2,Ensure xorg-x11-server-common is not installed,MEDIUM,CIS_AKS_OPTIMIZED_AZURE_LINUX_BENCHMARK_V1.0.0_updated_20250825_190750.json
2.2.5,Ensure a dhcp server is not installed,MEDIUM,CIS_AKS_OPTIMIZED_AZURE_LINUX_BENCHMARK_V1.0.0_updated_20250825_190750.json
2.2.19,Ensure rsync-daemon is not installed or the rsyncd service is masked,MEDIUM,CIS_AKS_OPTIMIZED_AZURE_LINUX_BENCHMARK_V1.0.0_updated_20250825_190750.json
5.2.14,Ensure only strong Key Exchange algorithms are used,MEDIUM,CIS_AKS_OPTIMIZED_AZURE_LINUX_BENCHMARK_V1.0.0_updated_20250825_190750.json
4.1.1.1,Ensure rsyslog is installed,MEDIUM,CIS_AKS_OPTIMIZED_AZURE_LINUX_BENCHMARK_V1.0.0_updated_20250825_190750.json
1.1.1.1,Ensure mounting of cramfs filesystems is disabled,MEDIUM,CIS_AKS_OPTIMIZED_AZURE_LINUX_BENCHMARK_V1.0.0_updated_20250825_190750.json
1.3.1,Ensure core dump storage is disabled,MEDIUM,CIS_AKS_OPTIMIZED_AZURE_LINUX_BENCHMARK_V1.0.0_updated_20250825_190750.json
16.2,Ensure that shared access signature (SAS) tokens expire within an hour,MEDIUM,CIS_MICROSOFT_AZURE_STORAGE_SERVICES_BENCHMARK_V1.0.0_updated_20250825_191043.json
6.1.8,Ensure permissions on /etc/gshadow- are configured,MEDIUM,1. NIST SP 800-53 Rev. 5: AC-3. MP-2
6.2.12,Ensure users' dot files are not group or world writable,MEDIUM,CIS_AKS_OPTIMIZED_AZURE_LINUX_BENCHMARK_V1.0.0_updated_20250825_190750.json
6.2.5,Ensure no duplicate user names exist,MEDIUM,CIS_AKS_OPTIMIZED_AZURE_LINUX_BENCHMARK_V1.0.0_updated_20250825_190750.json
2.2.15,Ensure NIS server is not installed,MEDIUM,CIS_AKS_OPTIMIZED_AZURE_LINUX_BENCHMARK_V1.0.0_updated_20250825_190750.json
5.2.3,Ensure permissions on SSH public host key files are configured,MEDIUM,CIS_AKS_OPTIMIZED_AZURE_LINUX_BENCHMARK_V1.0.0_updated_20250825_190750.json
5.2.19,Ensure SSH MaxSessions is set to 10 or less,MEDIUM,CIS_AKS_OPTIMIZED_AZURE_LINUX_BENCHMARK_V1.0.0_updated_20250825_190750.json
3.3.1,Ensure source routed packets are not accepted,MEDIUM,CIS_AKS_OPTIMIZED_AZURE_LINUX_BENCHMARK_V1.0.0_updated_20250825_190750.json
5.1.2,Ensure permissions on /etc/crontab are configured,MEDIUM,CIS_AKS_OPTIMIZED_AZURE_LINUX_BENCHMARK_V1.0.0_updated_20250825_190750.json
5.2.1,Ensure permissions on /etc/ssh/sshd_config are configured,MEDIUM,CIS_AKS_OPTIMIZED_AZURE_LINUX_BENCHMARK_V1.0.0_updated_20250825_190750.json
4.1.2,Ensure all logfiles have appropriate access configured,MEDIUM,CIS_AKS_OPTIMIZED_AZURE_LINUX_BENCHMARK_V1.0.0_updated_20250825_190750.json
16.3,Ensure stored access policies (SAP) are used when generating shared access signature (SAS) tokens,MEDIUM,CIS_MICROSOFT_AZURE_STORAGE_SERVICES_BENCHMARK_V1.0.0_updated_20250825_191043.json
3.2.7,Ensure that the --eventRecordQPS argument is set to 0 or a level which ensures appropriate event capture,MEDIUM,CIS AZURE KUBERNETES SERVICE (AKS) BENCHMARK V1.7.0 PDF_updated_20250825_190647.json
2.1.2,Ensure chrony is configured,MEDIUM,CIS_AKS_OPTIMIZED_AZURE_LINUX_BENCHMARK_V1.0.0_updated_20250825_190750.json
2.1.1.2,Ensure that shared access signature (SAS) tokens expire within an hour,MEDIUM,CIS_MICROSOFT_AZURE_STORAGE_SERVICES_BENCHMARK_V1.0.0_updated_20250825_191043.json
11.4,Ensure stored access policies (SAP) are used when generating shared access signature (SAS) tokens,MEDIUM,CIS_MICROSOFT_AZURE_STORAGE_SERVICES_BENCHMARK_V1.0.0_updated_20250825_191043.json
2.3.5,Ensure LDAP client is not installed,MEDIUM,CIS_AKS_OPTIMIZED_AZURE_LINUX_BENCHMARK_V1.0.0_updated_20250825_190750.json
5.2.5,Ensure SSH LogLevel is appropriate,MEDIUM,CIS_AKS_OPTIMIZED_AZURE_LINUX_BENCHMARK_V1.0.0_updated_20250825_190750.json
3.3.9,Ensure IPv6 router advertisements are not accepted,MEDIUM,CIS_AKS_OPTIMIZED_AZURE_LINUX_BENCHMARK_V1.0.0_updated_20250825_190750.json
6.2.2,Ensure all groups in /etc/passwd exist in /etc/group,MEDIUM,CIS_AKS_OPTIMIZED_AZURE_LINUX_BENCHMARK_V1.0.0_updated_20250825_190750.json
3.4.3.1.2,Ensure nftables is not installed with iptables,MEDIUM,CIS_AKS_OPTIMIZED_AZURE_LINUX_BENCHMARK_V1.0.0_updated_20250825_190750.json
6.2.13,Ensure users' .netrc Files are not group or world accessible,MEDIUM,CIS_AKS_OPTIMIZED_AZURE_LINUX_BENCHMARK_V1.0.0_updated_20250825_190750.json
5.1.3,Ensure permissions on /etc/cron.hourly are configured,MEDIUM,CIS_AKS_OPTIMIZED_AZURE_LINUX_BENCHMARK_V1.0.0_updated_20250825_190750.json
6.11,Ensure that 'Notify all admins when other admins reset their password?' is set to 'Yes',MEDIUM,CIS_MICROSOFT_AZURE_FOUNDATIONS_BENCHMARK_V4.0.0_updated_20250825_190952.json
2.3.6,Ensure TFTP client is not installed,MEDIUM,CIS_AKS_OPTIMIZED_AZURE_LINUX_BENCHMARK_V1.0.0_updated_20250825_190750.json
6.19," API or PowerShell' is set to 'No'""",MEDIUM,1. https://learn.microsoft.com/en-us/entra/identity/users/groups-self-service- management#making-a-group-available-for-end-user-self-service 2. https://learn.microsoft.com/en-us/security/benchmark/azure/mcsb-governance- strategy#gs-6-define-and-implement-identity-and-privileged-access-strategy 3. https://learn.microsoft.com/en-us/security/benchmark/azure/mcsb-governance- strategy#gs-2-define-and-implement-enterprise-segmentationseparation-of- duties-strategy 4. https://learn.microsoft.com/en-us/security/benchmark/azure/mcsb-privileged- access#pa-1-separate-and-limit-highly-privilegedadministrative-users 5. https://learn.microsoft.com/en-us/security/benchmark/azure/mcsb-privileged- access#pa-3-manage-lifecycle-of-identities-and-entitlements
6.21," API or PowerShell' is set to 'No'""",MEDIUM,1. https://learn.microsoft.com/en-us/microsoft-365/solutions/manage-creation-of- groups?view=o365-worldwide&redirectSourcePath=%252fen- us%252farticle%252fControl-who-can-create-Office-365-Groups-4c46c8cb-17d0- 44b5-9776-005fced8e618 2. https://learn.microsoft.com/en-us/security/benchmark/azure/mcsb-governance- strategy#gs-6-define-and-implement-identity-and-privileged-access-strategy 3. https://learn.microsoft.com/en-us/security/benchmark/azure/mcsb-governance- strategy#gs-2-define-and-implement-enterprise-segmentationseparation-of- duties-strategy 4. https://learn.microsoft.com/en-us/security/benchmark/azure/mcsb-privileged- access#pa-1-separate-and-limit-highly-privilegedadministrative-users 5. https://learn.microsoft.com/en-us/security/benchmark/azure/mcsb-privileged- access#pa-3-manage-lifecycle-of-identities-and-entitlements
4.2,Ensure logrotate is configured,MEDIUM,CIS_AKS_OPTIMIZED_AZURE_LINUX_BENCHMARK_V1.0.0_updated_20250825_190750.json
6.1.9,Ensure no unowned or ungrouped files or directories exist,MEDIUM,CIS_AKS_OPTIMIZED_AZURE_LINUX_BENCHMARK_V1.0.0_updated_20250825_190750.json
3.1.4,Ensure that the azure.json file ownership is set to root:root,MEDIUM,CIS_AZURE_KUBERNETES_SERVICE_(AKS)_BENCHMARK_V1.5.0_PDF_updated_20250825_190857.json
2.2.10,Ensure a web server is not installed,MEDIUM,CIS_AKS_OPTIMIZED_AZURE_LINUX_BENCHMARK_V1.0.0_updated_20250825_190750.json
2.2.3,Ensure avahi is not installed,MEDIUM,CIS_AKS_OPTIMIZED_AZURE_LINUX_BENCHMARK_V1.0.0_updated_20250825_190750.json
2.2.8,Ensure an ftp server is not installed,MEDIUM,CIS_AKS_OPTIMIZED_AZURE_LINUX_BENCHMARK_V1.0.0_updated_20250825_190750.json
3.1.3,Ensure that the azure.json file has permissions set to 644 or more restrictive,MEDIUM,CIS_AZURE_KUBERNETES_SERVICE_(AKS)_BENCHMARK_V1.5.0_PDF_updated_20250825_190857.json
1.4.4,Ensure permissions on /etc/issue are configured,MEDIUM,CIS_AKS_OPTIMIZED_AZURE_LINUX_BENCHMARK_V1.0.0_updated_20250825_190750.json
6.2.4,Ensure no duplicate GIDs exist,MEDIUM,CIS_AKS_OPTIMIZED_AZURE_LINUX_BENCHMARK_V1.0.0_updated_20250825_190750.json
5.5.1.5,Ensure all users last password change date is in the past,MEDIUM,CIS_AKS_OPTIMIZED_AZURE_LINUX_BENCHMARK_V1.0.0_updated_20250825_190750.json
6.2.3,Ensure that an exclusionary device code flow policy is considered,MEDIUM,CIS_MICROSOFT_AZURE_FOUNDATIONS_BENCHMARK_V4.0.0_updated_20250825_190952.json
3.1.3,Ensure that traffic is encrypted between cluster worker nodes,MEDIUM,CIS_MICROSOFT_AZURE_FOUNDATIONS_BENCHMARK_V4.0.0_updated_20250825_190952.json
5.1.9,Ensure at is restricted to authorized users,MEDIUM,CIS_AKS_OPTIMIZED_AZURE_LINUX_BENCHMARK_V1.0.0_updated_20250825_190750.json
3.2.3,Ensure that the --client-ca-file argument is set as appropriate,MEDIUM,CIS AZURE KUBERNETES SERVICE (AKS) BENCHMARK V1.7.0 PDF_updated_20250825_190647.json
3.4.3.1.1,Ensure iptables package is installed,MEDIUM,CIS_AKS_OPTIMIZED_AZURE_LINUX_BENCHMARK_V1.0.0_updated_20250825_190750.json
