unique_id,control_id,source,title,final_approach,original_approach,review_validation,technical_accuracy_score,confidence_level,program_name,review_recommendation
5.2.1__ensure-soft-delete-on-recovery-services-vaults-is-enabled,5.2.1,CIS_MICROSOFT_AZURE_STORAGE_SERVICES_BENCHMARK_V1.0.0_updated_20250825_191043.json,Ensure soft delete on Recovery Services vaults is Enabled,Automated,Automated,Unknown,0,MEDIUM,azure_backup_recovery_services_vault_soft_delete_enabled,
6.23__ensure-that-no-custom-subscription-administrator-roles-exist,6.23,CIS_MICROSOFT_AZURE_FOUNDATIONS_BENCHMARK_V4.0.0_updated_20250825_190952.json,Ensure that no custom subscription administrator roles exist,Automated,Automated,AGREE,9,HIGH,azure_role_based_access_custom_roles_audit,Keep as-is
5.2.8__ensure-ssh-hostbasedauthentication-is-disabled,5.2.8,CIS_AKS_OPTIMIZED_AZURE_LINUX_BENCHMARK_V1.0.0_updated_20250825_190750.json,Ensure SSH HostbasedAuthentication is disabled,Manual (Verify),Manual,PARTIALLY_AGREE,7,MEDIUM,,- Modify: Enhance the current manual approach by incorporating automation using Azure CLI or PowerShell scripts to automate the SSH access and configuration checks. This will streamline the process an
3.3.8__ensure-tcp-syn-cookies-is-enabled,3.3.8,CIS_AKS_OPTIMIZED_AZURE_LINUX_BENCHMARK_V1.0.0_updated_20250825_190750.json,Ensure TCP SYN Cookies is enabled,Manual (Under Review),Manual,DISAGREE,6,MEDIUM,,Re-classify
2.1.6__ensure-'http-version'-is-set-to-'2.0'-(if-in-use),2.1.6,,Ensure 'HTTP version' is set to '2.0' (if in use),Automated,Automated,AGREE,9,HIGH,azure_appservice_http_version_set_to_,- Modify: Update the program name to `azure_webapp_http_version_2_0_compliance` for clarity and consistency with naming conventions. Consider adding a preliminary step to ensure Azure CLI authenticati
6.1.3__ensure-permissions-on-_etc_group-are-configured,6.1.3,1. NIST SP 800-53 Rev. 5: AC-3. MP-2,Ensure permissions on /etc/group are configured,Manual (Verify),Manual,PARTIALLY_AGREE,7,MEDIUM,,Modify
5.4.3__ensure-password-hashing-algorithm-is-sha-512,5.4.3,CIS_AKS_OPTIMIZED_AZURE_LINUX_BENCHMARK_V1.0.0_updated_20250825_190750.json,Ensure password hashing algorithm is SHA-512,Manual (Verify),Manual,PARTIALLY_AGREE,7,MEDIUM,,Modify
3.1__ensure-private-virtual-networks-are-used-for-container-instances,3.1,CIS_MICROSOFT_AZURE_COMPUTE_SERVICES_BENCHMARK_V2.0.0_updated_20250825_190920.json,Ensure Private Virtual Networks are used for Container Instances,Automated,Automated,AGREE,8,HIGH,azure_container_instances_private_networks_enabled,Modify
5.1.4__ensure-permissions-on-_etc_cron.daily-are-configured,5.1.4,CIS_AKS_OPTIMIZED_AZURE_LINUX_BENCHMARK_V1.0.0_updated_20250825_190750.json,Ensure permissions on /etc/cron.daily are configured,Manual (Under Review),Manual,DISAGREE,7,MEDIUM,,"- **Re-classify:** Change the classification from ""Manual"" to ""Automated"" by incorporating Azure CLI or PowerShell scripts to automate the compliance check.
- **Modify:** Update the assessment to incl"
2.1.19__ensure-configuration-is-routed-through-the-virtual-network-integration,2.1.19,CIS_MICROSOFT_AZURE_COMPUTE_SERVICES_BENCHMARK_V2.0.0_updated_20250825_190920.json,Ensure configuration is routed through the virtual network integration,Automated,Automated,AGREE,8,HIGH,azure_app_service_configuration_vnet_integration_enabled,Modify
9.3.10__ensure-that-azure-key-vault-managed-hsm-is-used-when-required,9.3.10,CIS_MICROSOFT_AZURE_FOUNDATIONS_BENCHMARK_V4.0.0_updated_20250825_190952.json,Ensure that Azure Key Vault Managed HSM is used when required,Automated,Automated,AGREE,8,HIGH,azure_keyvault_managed_hsm_verified,Modify
7.1.1.2__ensure-diagnostic-setting-captures-appropriate-categories,7.1.1.2,CIS_MICROSOFT_AZURE_FOUNDATIONS_BENCHMARK_V4.0.0_updated_20250825_190952.json,Ensure Diagnostic Setting captures appropriate categories,Automated,Automated,Unknown,0,MEDIUM,azure_monitor_diagnostic_settings_audit_categories_enabled,
3.3.7__ensure-reverse-path-filtering-is-enabled,3.3.7,CIS_AKS_OPTIMIZED_AZURE_LINUX_BENCHMARK_V1.0.0_updated_20250825_190750.json,Ensure Reverse Path Filtering is enabled,Manual (Under Review),Manual,DISAGREE,6,MEDIUM,,Modify
5.4.1__restrict-access-to-the-control-plane-endpoint,5.4.1,CIS AZURE KUBERNETES SERVICE (AKS) BENCHMARK V1.7.0 PDF_updated_20250825_190647.json,Restrict Access to the Control Plane Endpoint,Automated,Automated,AGREE,9,HIGH,azure_aks_control_plane_access_restricted,Keep as-is
6.2.11__ensure-users'-home-directories-permissions-are-750-or-more-restrictive,6.2.11,CIS_AKS_OPTIMIZED_AZURE_LINUX_BENCHMARK_V1.0.0_updated_20250825_190750.json,Ensure users' home directories permissions are 750 or more restrictive,Manual (Under Review),Manual,DISAGREE,6,MEDIUM,,"- **Re-classify:** Re-classify the approach from Manual to Automated. Develop a script using Azure CLI or Azure Automation to automate the process.
- **Modify:** Enhance the assessment by including au"
4.1.3__minimize-wildcard-use-in-roles-and-clusterroles,4.1.3,CIS AZURE KUBERNETES SERVICE (AKS) BENCHMARK V1.7.0 PDF_updated_20250825_190647.json,Minimize wildcard use in Roles and ClusterRoles,Automated (Verify),Automated,PARTIALLY_AGREE,8,MEDIUM,azure_aks_roles_clusterroles_minimized_wildcards,Modify
3.3.2__ensure-icmp-redirects-are-not-accepted,3.3.2,CIS_AKS_OPTIMIZED_AZURE_LINUX_BENCHMARK_V1.0.0_updated_20250825_190750.json,Ensure ICMP redirects are not accepted,Manual (Verify),Manual,PARTIALLY_AGREE,7,MEDIUM,,"Modify
- Modify the assessment to include an automated approach using Azure CLI or PowerShell scripts. This will improve efficiency and reduce the potential for human error.
- Re-classify the approach"
4.4.1__ensure-latest-cni-version-is-used,4.4.1,CIS AZURE KUBERNETES SERVICE (AKS) BENCHMARK V1.7.0 PDF_updated_20250825_190647.json,Ensure latest CNI version is used,Automated,Automated,Unknown,0,MEDIUM,azure_aks_cni_version_verified,
2.2.7__ensure-ftp-client-is-not-installed,2.2.7,CIS_AKS_OPTIMIZED_AZURE_LINUX_BENCHMARK_V1.0.0_updated_20250825_190750.json,Ensure FTP client is not installed,Manual (Under Review),Manual,DISAGREE,6,MEDIUM,,Modify
2.2.13__ensure-http-proxy-server-is-not-installed,2.2.13,CIS_AKS_OPTIMIZED_AZURE_LINUX_BENCHMARK_V1.0.0_updated_20250825_190750.json,Ensure HTTP Proxy Server is not installed,Manual,Manual,Unknown,0,MEDIUM,,
