control_id,title,program_name,technical_accuracy_score,confidence_level,source
5.2.1,Ensure soft delete on Recovery Services vaults is Enabled,azure_backup_recovery_services_vault_soft_delete_enabled,0,MEDIUM,CIS_MICROSOFT_AZURE_STORAGE_SERVICES_BENCHMARK_V1.0.0_updated_20250825_191043.json
6.23,Ensure that no custom subscription administrator roles exist,azure_role_based_access_custom_roles_audit,9,HIGH,CIS_MICROSOFT_AZURE_FOUNDATIONS_BENCHMARK_V4.0.0_updated_20250825_190952.json
2.1.6,Ensure 'HTTP version' is set to '2.0' (if in use),azure_appservice_http_version_set_to_,9,HIGH,
3.1,Ensure Private Virtual Networks are used for Container Instances,azure_container_instances_private_networks_enabled,8,HIGH,CIS_MICROSOFT_AZURE_COMPUTE_SERVICES_BENCHMARK_V2.0.0_updated_20250825_190920.json
2.1.19,Ensure configuration is routed through the virtual network integration,azure_app_service_configuration_vnet_integration_enabled,8,HIGH,CIS_MICROSOFT_AZURE_COMPUTE_SERVICES_BENCHMARK_V2.0.0_updated_20250825_190920.json
9.3.10,Ensure that Azure Key Vault Managed HSM is used when required,azure_keyvault_managed_hsm_verified,8,HIGH,CIS_MICROSOFT_AZURE_FOUNDATIONS_BENCHMARK_V4.0.0_updated_20250825_190952.json
7.1.1.2,Ensure Diagnostic Setting captures appropriate categories,azure_monitor_diagnostic_settings_audit_categories_enabled,0,MEDIUM,CIS_MICROSOFT_AZURE_FOUNDATIONS_BENCHMARK_V4.0.0_updated_20250825_190952.json
5.4.1,Restrict Access to the Control Plane Endpoint,azure_aks_control_plane_access_restricted,9,HIGH,CIS AZURE KUBERNETES SERVICE (AKS) BENCHMARK V1.7.0 PDF_updated_20250825_190647.json
4.1.3,Minimize wildcard use in Roles and ClusterRoles,azure_aks_roles_clusterroles_minimized_wildcards,8,MEDIUM,CIS AZURE KUBERNETES SERVICE (AKS) BENCHMARK V1.7.0 PDF_updated_20250825_190647.json
4.4.1,Ensure latest CNI version is used,azure_aks_cni_version_verified,0,MEDIUM,CIS AZURE KUBERNETES SERVICE (AKS) BENCHMARK V1.7.0 PDF_updated_20250825_190647.json
