program_name,provider,service,short_description
azure_ad_user_mfa_enabled,Azure,Azure AD Users,Azure Azure AD Users compliance check
azure_ad_privileged_user_mfa_enabled,Azure,Azure AD Users,Azure Azure AD Users compliance check
azure_ad_global_admin_mfa_enabled,Azure,Azure AD Users,Azure Azure AD Users compliance check
azure_ad_legacy_authentication_disabled,Azure,Azure AD Users,Azure Azure AD Users compliance check
azure_ad_guest_user_access_restricted,Azure,Azure AD Users,Azure Azure AD Users compliance check
azure_ad_dormant_accounts_identified,Azure,Azure AD Users,Azure Azure AD Users compliance check
azure_ad_stale_credentials_rotated,Azure,Azure AD Users,Azure Azure AD Users compliance check
azure_ad_user_password_policy_enforced,Azure,Azure AD Users,Azure Azure AD Users compliance check
azure_ad_self_service_password_reset_enabled,Azure,Azure AD Users,Azure Azure AD Users compliance check
azure_ad_authentication_reconfirm_days_non_zero,Azure,Azure AD Users,Azure Azure AD Users compliance check
azure_ad_group_membership_requests_owner_management_disabled,Azure,Azure AD Groups,Azure Azure AD Groups compliance check
azure_ad_high_privilege_groups_restricted,Azure,Azure AD Groups,Azure Azure AD Groups compliance check
azure_ad_dynamic_group_membership_configured,Azure,Azure AD Groups,Azure Azure AD Groups compliance check
azure_ad_service_principal_expired_secrets_identified,Azure,Azure AD Service Principals,Azure Azure AD Service Principals compliance check
azure_ad_service_principal_long_lived_secrets_rotated,Azure,Azure AD Service Principals,Azure Azure AD Service Principals compliance check
azure_ad_unused_service_principals_identified,Azure,Azure AD Service Principals,Azure Azure AD Service Principals compliance check
azure_ad_service_principal_credentials_rotation_enforced,Azure,Azure AD Service Principals,Azure Azure AD Service Principals compliance check
azure_ad_external_app_registrations_restricted,Azure,Azure AD App Registrations,Azure Azure AD App Registrations compliance check
azure_ad_app_consent_policy_enforced,Azure,Azure AD App Registrations,Azure Azure AD App Registrations compliance check
azure_ad_user_consent_disabled,Azure,Azure AD App Registrations,Azure Azure AD App Registrations compliance check
azure_ad_admin_consent_required,Azure,Azure AD App Registrations,Azure Azure AD App Registrations compliance check
azure_ad_application_permissions_restricted,Azure,Azure AD App Registrations,Azure Azure AD App Registrations compliance check
azure_ad_authentication_methods_enabled,Azure,Azure AD Authentication Methods,Azure Azure AD Authentication Methods compliance check
azure_ad_authentication_methods_policy_enforced,Azure,Azure AD Authentication Methods,Azure Azure AD Authentication Methods compliance check
azure_ad_authentication_methods_risk_based_enabled,Azure,Azure AD Authentication Methods,Azure Azure AD Authentication Methods compliance check
azure_ad_authentication_methods_self_service_enabled,Azure,Azure AD Authentication Methods,Azure Azure AD Authentication Methods compliance check
azure_ad_authentication_methods_phone_enabled,Azure,Azure AD Authentication Methods,Azure Azure AD Authentication Methods compliance check
azure_ad_authentication_methods_email_enabled,Azure,Azure AD Authentication Methods,Azure Azure AD Authentication Methods compliance check
