program_name,provider,service,short_description
gcp_compute_vm_shielded_enabled,GCP,Compute Engine,GCP Compute Engine security compliance check
gcp_compute_vm_os_login_enabled,GCP,Compute Engine,GCP Compute Engine security compliance check
gcp_compute_vm_metadata_v2_enabled,GCP,Compute Engine,GCP Compute Engine security compliance check
gcp_compute_vm_no_public_ip,GCP,Compute Engine,GCP Compute Engine security compliance check
gcp_compute_vm_ip_forwarding_disabled,GCP,Compute Engine,GCP Compute Engine security compliance check
gcp_compute_vm_block_project_ssh_keys_enabled,GCP,Compute Engine,GCP Compute Engine security compliance check
gcp_compute_vm_no_default_service_account,GCP,Compute Engine,GCP Compute Engine security compliance check
gcp_compute_vm_csek_enabled,GCP,Compute Engine,GCP Compute Engine security compliance check
gcp_compute_vm_serial_port_access_disabled,GCP,Compute Engine,GCP Compute Engine security compliance check
gcp_compute_vm_guest_attributes_access_disabled,GCP,Compute Engine,GCP Compute Engine security compliance check
gcp_compute_vm_secure_boot_enabled,GCP,Compute Engine,GCP Compute Engine security compliance check
gcp_compute_vm_vtpm_enabled,GCP,Compute Engine,GCP Compute Engine security compliance check
gcp_compute_vm_os_login_2fa_enabled,GCP,Compute Engine,GCP Compute Engine security compliance check
gcp_compute_vm_ssh_key_age_rotation_enabled,GCP,Compute Engine,GCP Compute Engine security compliance check
gcp_compute_vm_metadata_exposure_restricted,GCP,Compute Engine,GCP Compute Engine security compliance check
gcp_compute_vm_external_ip_access_restricted,GCP,Compute Engine,GCP Compute Engine security compliance check
gcp_compute_vm_iam_service_account_attached,GCP,Compute Engine,GCP Compute Engine security compliance check
gcp_compute_vm_auto_healing_enabled,GCP,Compute Engine,GCP Compute Engine security compliance check
gcp_compute_vm_restart_policy_configured,GCP,Compute Engine,GCP Compute Engine security compliance check
gcp_compute_vm_deletion_protection_enabled,GCP,Compute Engine,GCP Compute Engine security compliance check
gcp_compute_vm_encryption_at_rest_enabled,GCP,Compute Engine,GCP Compute Engine security compliance check
gcp_compute_ai_notebook_instance_vpc_compliance,GCP,Compute Engine,GCP Compute Engine security compliance check
gcp_compute_ai_platform_notebook_instance_disable_internet_access,GCP,Compute Engine,GCP Compute Engine security compliance check
gcp_compute_ai_platform_notebook_instance_no_internet_access,GCP,Compute Engine,GCP Compute Engine security compliance check
gcp_compute_ai_platform_notebook_instance_root_access_disabled,GCP,Compute Engine,GCP Compute Engine security compliance check
gcp_compute_ai_platform_notebooks_instance_disable_internet_access,GCP,Compute Engine,GCP Compute Engine security compliance check
gcp_compute_ai_platform_notebooks_instance_no_internet_access,GCP,Compute Engine,GCP Compute Engine security compliance check
gcp_compute_ai_platform_notebooks_instance_root_access_disabled,GCP,Compute Engine,GCP Compute Engine security compliance check
gcp_compute_ai_platform_notebooks_instance_vpc_compliance,GCP,Compute Engine,GCP Compute Engine security compliance check
gcp_compute_bigquery_dataset_snapshot_retention_configured,GCP,Compute Engine,GCP Compute Engine security compliance check
gcp_compute_bigquery_instance_vpc_service_controls_enabled,GCP,Compute Engine,GCP Compute Engine security compliance check
gcp_compute_cloud_armor_policy_has_rules,GCP,Compute Engine,GCP Compute Engine security compliance check
gcp_compute_cloud_search_node_to_node_encryption_enabled,GCP,Compute Engine,GCP Compute Engine security compliance check
gcp_compute_cloudsearch_instance_fine_grained_access_control_enabled,GCP,Compute Engine,GCP Compute Engine security compliance check
gcp_compute_container_image_repository_minimal_user_access,GCP,Compute Engine,GCP Compute Engine security compliance check
gcp_compute_container_image_repository_read_only_access,GCP,Compute Engine,GCP Compute Engine security compliance check
gcp_compute_dataproc_instances_encryption_at_rest_enabled,GCP,Compute Engine,GCP Compute Engine security compliance check
gcp_compute_datastore_instance_encryption_enabled,GCP,Compute Engine,GCP Compute Engine security compliance check
gcp_compute_dms_instance_non_public,GCP,Compute Engine,GCP Compute Engine security compliance check
gcp_compute_dms_instance_public_access_disabled,GCP,Compute Engine,GCP Compute Engine security compliance check
gcp_compute_elasticsearch_encryption_at_rest_enabled,GCP,Compute Engine,GCP Compute Engine security compliance check
gcp_compute_elasticsearch_fine_grained_access_control_enabled,GCP,Compute Engine,GCP Compute Engine security compliance check
gcp_compute_elasticsearch_instance_fine_grained_access_control_enabled,GCP,Compute Engine,GCP Compute Engine security compliance check
gcp_kms_marketplace_elasticsearch_node_to_node_encryption_enabled,GCP,Compute Engine,GCP Compute Engine security compliance check
gcp_compute_elasticsearch_nodes_encryption_enabled,GCP,Compute Engine,GCP Compute Engine security compliance check
gcp_compute_elasticsearch_nodes_encryption_end_to_end,GCP,Compute Engine,GCP Compute Engine security compliance check
gcp_compute_engine_secure_configuration,GCP,Compute Engine,GCP Compute Engine security compliance check
gcp_compute_engine_vm_emergency_mode_protection,GCP,Compute Engine,GCP Compute Engine security compliance check
gcp_compute_engine_vm_secure_configuration,GCP,Compute Engine,GCP Compute Engine security compliance check
gcp_compute_filestore_instance_backup_inclusion,GCP,Compute Engine,GCP Compute Engine security compliance check
gcp_compute_filestore_instance_encryption_with_kms,GCP,Compute Engine,GCP Compute Engine security compliance check
gcp_compute_firestore_bigtable_instance_encryption,GCP,Compute Engine,GCP Compute Engine security compliance check
gcp_compute_firestore_instance_audit_logging_enabled,GCP,Compute Engine,GCP Compute Engine security compliance check
gcp_compute_firestore_instance_logging_enabled,GCP,Compute Engine,GCP Compute Engine security compliance check
gcp_compute_firestore_instance_logging_export_enabled,GCP,Compute Engine,GCP Compute Engine security compliance check
gcp_compute_firestore_instance_stackdriver_logging_enabled,GCP,Compute Engine,GCP Compute Engine security compliance check
gcp_compute_firestore_snapshot_non_public,GCP,Compute Engine,GCP Compute Engine security compliance check
gcp_compute_firestore_snapshots_non_public,GCP,Compute Engine,GCP Compute Engine security compliance check
gcp_compute_image_integrity_ensured,GCP,Compute Engine,GCP Compute Engine security compliance check
gcp_compute_instance_auditd_logging_enabled,GCP,Compute Engine,GCP Compute Engine security compliance check
gcp_compute_instance_backup_protection_enabled,GCP,Compute Engine,GCP Compute Engine security compliance check
gcp_compute_instance_backup_recovery,GCP,Compute Engine,GCP Compute Engine security compliance check
gcp_compute_instance_baseline_configuration_maintained,GCP,Compute Engine,GCP Compute Engine security compliance check
gcp_compute_instance_cache_protection,GCP,Compute Engine,GCP Compute Engine security compliance check
gcp_compute_instance_config_connector_compliance_status,GCP,Compute Engine,GCP Compute Engine security compliance check
gcp_compute_instance_config_sync_compliance_status,GCP,Compute Engine,GCP Compute Engine security compliance check
gcp_compute_instance_configuration_compliance_status,GCP,Compute Engine,GCP Compute Engine security compliance check
gcp_compute_instance_configuration_management,GCP,Compute Engine,GCP Compute Engine security compliance check
gcp_compute_instance_cryptographic_protection_remote_access,GCP,Compute Engine,GCP Compute Engine security compliance check
gcp_compute_instance_data_protection,GCP,Compute Engine,GCP Compute Engine security compliance check
gcp_compute_instance_discovery_protection,GCP,Compute Engine,GCP Compute Engine security compliance check
gcp_compute_instance_in_vpc,GCP,Compute Engine,GCP Compute Engine security compliance check
gcp_compute_instance_integrity_verification,GCP,Compute Engine,GCP Compute Engine security compliance check
gcp_compute_instance_malware_protection,GCP,Compute Engine,GCP Compute Engine security compliance check
gcp_compute_instance_no_external_key_pairs,GCP,Compute Engine,GCP Compute Engine security compliance check
gcp_compute_instance_offsite_protection,GCP,Compute Engine,GCP Compute Engine security compliance check
gcp_compute_instance_os_config_patch_compliance_status,GCP,Compute Engine,GCP Compute Engine security compliance check
gcp_compute_instance_os_info_restricted,GCP,Compute Engine,GCP Compute Engine security compliance check
gcp_compute_instance_os_updates_installed,GCP,Compute Engine,GCP Compute Engine security compliance check
