program_name,provider,service,short_description
k8s_rbac_cluster_admin_role_bound,Kubernetes,RBAC,Checks if cluster-admin role is bound to users or groups
k8s_rbac_wildcard_access_detected,Kubernetes,RBAC,Detects wildcard (*) permissions in RBAC rules
k8s_rbac_binding_to_system_users_detected,Kubernetes,RBAC,Checks for RBAC bindings to system users or groups
k8s_rbac_minimize_csr_approval_access,Kubernetes,RBAC,Ensures minimal access to certificate signing requests
k8s_rbac_minimize_node_proxy_subresource_access,Kubernetes,RBAC,Restricts access to node proxy subresources
k8s_rbac_minimize_pod_creation_access,Kubernetes,RBAC,Limits who can create pods in the cluster
k8s_rbac_minimize_pv_creation_access,Kubernetes,RBAC,Restricts persistent volume creation permissions
k8s_rbac_minimize_secret_access,Kubernetes,RBAC,Limits access to secrets across the cluster
k8s_rbac_minimize_service_account_token_creation,Kubernetes,RBAC,Restricts service account token creation
k8s_rbac_minimize_webhook_config_access,Kubernetes,RBAC,Limits access to admission webhook configurations
k8s_rbac_limit_bind_permission,Kubernetes,RBAC,Restricts bind and escalate permissions
k8s_rbac_limit_impersonate_permission,Kubernetes,RBAC,Limits user impersonation capabilities
k8s_rbac_least_privilege_enforcement,Kubernetes,RBAC,Ensures least privilege principle in role assignments
k8s_rbac_periodic_access_review,Kubernetes,RBAC,Verifies periodic access reviews are conducted
k8s_rbac_mfa_enforcement,Kubernetes,RBAC,Ensures multi-factor authentication is enforced
k8s_rbac_prevent_hardcoded_passwords,Kubernetes,RBAC,Checks for hardcoded credentials in configurations
k8s_rbac_check_default_credentials,Kubernetes,RBAC,Detects use of default or weak credentials
k8s_rbac_access_control_audit,Kubernetes,RBAC,Ensures access control decisions are audited
k8s_rbac_cluster_role_binding_to_system_group,Kubernetes,RBAC,Detects cluster role bindings to system groups
k8s_rbac_service_account_token_auto_mount_enabled,Kubernetes,RBAC,Checks if service account tokens are auto-mounted
k8s_rbac_impersonation_privilege_granted,Kubernetes,RBAC,Detects excessive impersonation privileges
k8s_pod_privileged_enabled,Kubernetes,Pods,Checks if privileged mode is enabled in pod spec
k8s_pod_run_as_root,Kubernetes,Pods,Detects containers running as root user
k8s_pod_readonly_rootfs_not_set,Kubernetes,Pods,Checks if root filesystem is set to read-only
k8s_pod_capabilities_not_dropped,Kubernetes,Pods,Verifies that dangerous capabilities are dropped
k8s_pod_host_pid_ipc_enabled,Kubernetes,Pods,Detects host PID or IPC namespace sharing
k8s_pod_host_network_enabled,Kubernetes,Pods,Checks if pod uses host network namespace
k8s_pod_host_path_mount_detected,Kubernetes,Pods,Detects host path volume mounts
k8s_pod_allow_privilege_escalation_enabled,Kubernetes,Pods,Checks if privilege escalation is allowed
k8s_pod_net_raw_capability_enabled,Kubernetes,Pods,Detects NET_RAW capability usage
k8s_pod_secrets_in_env_vars,Kubernetes,Pods,Checks for secrets exposed as environment variables
k8s_pod_default_service_account_used,Kubernetes,Pods,Detects use of default service account
k8s_pod_service_account_token_mounted,Kubernetes,Pods,Checks if service account tokens are mounted
k8s_pod_security_context_missing,Kubernetes,Pods,Verifies security context is defined
k8s_pod_seccomp_profile_not_set,Kubernetes,Pods,Checks if seccomp profile is configured
k8s_pod_apparmor_profile_not_set,Kubernetes,Pods,Verifies AppArmor profile is applied
k8s_pod_automount_service_account_token_enabled,Kubernetes,Pods,Checks if service account tokens are auto-mounted
k8s_pod_share_process_namespace_enabled,Kubernetes,Pods,Detects process namespace sharing between containers
k8s_pod_termination_grace_period_too_long,Kubernetes,Pods,Checks if termination grace period is excessive
k8s_pod_restart_policy_always,Kubernetes,Pods,Detects always restart policy usage
k8s_pod_dns_policy_default,Kubernetes,Pods,Checks if default DNS policy is used
k8s_secret_exposed_in_env,Kubernetes,Secrets,Detects secrets exposed as environment variables
k8s_secret_not_encrypted,Kubernetes,Secrets,Checks if secrets are encrypted at rest
k8s_secret_mounted_as_volume_exposed,Kubernetes,Secrets,Detects secrets mounted as volumes
k8s_secret_generate_strong_keys,Kubernetes,Secrets,Verifies strong key generation practices
k8s_secret_secure_distribution,Kubernetes,Secrets,Checks secure secret distribution mechanisms
