Control_ID,Control_Family,Control_Name,Control_Description,Azure_Policies_Count,Automation_Possible,Section
CCCS AC-2,Access Control,Account Management,Manages the creation and maintenance of user accounts,5,Yes,Access Control
CCCS AC-2(7),Access Control,Account Management | Role-Based Schemes,Establishes and administers privileged user accounts using role-based access schemes,2,Yes,Access Control
CCCS AC-4,Access Control,Information Flow Enforcement,Enforces approved authorizations for controlling the flow of information within the system and between interconnected systems,8,Yes,Access Control
CCCS AC-6(5),Access Control,Least Privilege | Privileged Accounts,Restricts privileged accounts on the information system to authorized personnel,0,Yes,Access Control
CCCS AU-2,Audit and Accountability,Audit Events,Determines that the information system is capable of auditing specified events,0,Yes,Audit and Accountability
CCCS AU-3,Audit and Accountability,Content of Audit Records,Ensures that audit records contain information that establishes what type of event occurred when and where,0,Yes,Audit and Accountability
CCCS AU-5,Audit and Accountability,Response to Audit Processing Failures,Alerts in the event of an audit processing failure,0,Yes,Audit and Accountability
CCCS AU-6(4),Audit and Accountability,Audit Review Analysis and Reporting | Central Review and Analysis,Provides the capability to centrally review and analyze audit records from multiple components,0,Yes,Audit and Accountability
CCCS AU-12(1),Audit and Accountability,Audit Generation | System-Wide / Time-Correlated Audit Trail,Compiles audit records from across the system into a system-wide audit trail,0,Yes,Audit and Accountability
CCCS CM-7(2),Configuration Management,Least Functionality | Prevent Program Execution,Prevents program execution in accordance with organizationally defined policies,0,Yes,Configuration Management
CCCS IA-2(1),Identification and Authentication,Identification and Authentication (Organizational Users) | Network Access to Privileged Accounts,Implements multifactor authentication for network access to privileged accounts,0,Yes,Identification and Authentication
CCCS IA-2(2),Identification and Authentication,Identification and Authentication (Organizational Users) | Network Access to Non-Privileged Accounts,Implements multifactor authentication for network access to non-privileged accounts,0,Yes,Identification and Authentication
CCCS IA-2(11),Identification and Authentication,Identification and Authentication (Organizational Users) | Remote Access - Separate Device,Implements multifactor authentication for remote access using a separate device,0,Yes,Identification and Authentication
CCCS IA-5,Identification and Authentication,Authenticator Management,Manages information system authenticators,0,Yes,Identification and Authentication
CCCS IA-5(1),Identification and Authentication,Authenticator Management | Password-Based Authentication,Enforces password-based authentication requirements,0,Yes,Identification and Authentication
CCCS SC-7,System and Communications Protection,Boundary Protection,Monitors and controls communications at the external boundary and key internal boundaries,0,Yes,System and Communications Protection
CCCS SC-7(3),System and Communications Protection,Boundary Protection | Access Points,Limits the number of external network connections to the information system,0,Yes,System and Communications Protection
CCCS SC-8,System and Communications Protection,Transmission Confidentiality and Integrity,Protects the confidentiality and integrity of transmitted information,0,Yes,System and Communications Protection
CCCS SC-8(1),System and Communications Protection,Transmission Confidentiality and Integrity | Cryptographic or Alternate Physical Protection,Implements cryptographic mechanisms to prevent unauthorized disclosure and detect changes during transmission,8,Yes,System and Communications Protection
CCCS SC-12,System and Communications Protection,Cryptographic Key Establishment and Management,Establishes and manages cryptographic keys,0,Yes,System and Communications Protection
CCCS SC-13,System and Communications Protection,Cryptographic Protection,Implements required cryptography in accordance with applicable laws and policies,0,Yes,System and Communications Protection
CCCS SC-28,System and Communications Protection,Protection of Information at Rest,Protects the confidentiality and integrity of information at rest,3,Yes,System and Communications Protection
CCCS SC-28(1),System and Communications Protection,Protection of Information at Rest | Cryptographic Protection,Implements cryptographic mechanisms to prevent unauthorized disclosure and modification of information at rest,0,Yes,System and Communications Protection
CCCS SI-2,System and Information Integrity,Flaw Remediation,Identifies reports and corrects information system flaws,1,Yes,System and Information Integrity
CCCS SI-3,System and Information Integrity,Malicious Code Protection,Implements malicious code protection mechanisms,0,Yes,System and Information Integrity
CCCS SI-4,System and Information Integrity,Information System Monitoring,Monitors the information system to detect attacks and indicators of potential attacks,2,Yes,System and Information Integrity
CCCS SI-4(5),System and Information Integrity,Information System Monitoring | System-Generated Alerts,Alerts when indications of compromise or potential compromise occur,0,Yes,System and Information Integrity

