Service_Model,Layer,Responsibility,Control_Families,Description
IaaS,Virtualization Infrastructure,Consumer,AC AU CM CP IA MA SC SI,Consumer manages virtual infrastructure security
IaaS,Virtualization Infrastructure,CSP,AC AU CM CP IA MA SC SI,CSP provides and secures virtualization platform
IaaS,Facility & Hardware,CSP,PE,CSP manages physical security
IaaS,Organization,Consumer,AC AT AU CA CM CP IA IR MA PL PS RA SA SC SI,Consumer organizational controls
IaaS,Organization,CSP,AC AT AU CA CM CP IA IR MA MP PE PL PM PS RA SA SC SI,CSP organizational controls
PaaS,Platform,Consumer,AC AU CM CP IA MA SC SI,Consumer manages platform configuration
PaaS,Platform,CSP,AC AU CM CP IA MA SC SI,CSP provides and secures platform services
PaaS,Facility & Hardware,CSP,PE,CSP manages physical security
PaaS,Organization,Consumer,AC AT AU CA CM CP IA IR MA PL PS RA SA SC SI,Consumer organizational controls
PaaS,Organization,CSP,AC AT AU CA CM CP IA IR MA MP PE PL PM PS RA SA SC SI,CSP organizational controls
SaaS,Application,Consumer,AC AU IA SC SI,Consumer manages application configuration
SaaS,Application,CSP,AC AU IA SC SI,CSP provides and secures applications
SaaS,Facility & Hardware,CSP,PE,CSP manages physical security
SaaS,Organization,Consumer,AC AT AU CA CM CP IA IR MA PL PS RA SA SC SI,Consumer organizational controls
SaaS,Organization,CSP,AC AT AU CA CM CP IA IR MA MP PE PL PM PS RA SA SC SI,CSP organizational controls

