Family_Code,Family_Name,CSP_Responsibility_IaaS,CSP_Responsibility_PaaS,CSP_Responsibility_SaaS,Consumer_Responsibility_IaaS,Consumer_Responsibility_PaaS,Consumer_Responsibility_SaaS,Description
AC,Access Control,Yes,Yes,Yes,Yes,Yes,Yes,Controls for managing and restricting access to cloud resources
AT,Awareness and Training,Yes,Yes,Yes,Yes,Yes,Yes,Security awareness and training programs
AU,Audit & Accountability,Yes,Yes,Yes,Yes,Yes,Yes,Audit logging and accountability mechanisms
CA,Security Assessment and Authorization,Yes,Yes,Yes,Yes,Yes,Yes,Security assessment and authorization processes
CM,Configuration Management,Yes,Yes,Yes,Yes,Yes,Yes,Configuration management and baseline controls
CP,Contingency Planning,Yes,Yes,Yes,Yes,Yes,Yes,Backup and disaster recovery planning
IA,Identification and Authentication,Yes,Yes,Yes,Yes,Yes,Yes,User and system identification and authentication
IR,Incident Response,Yes,Yes,Yes,Yes,Yes,Yes,Security incident response procedures
MA,Maintenance,Yes,Yes,Yes,Yes,Yes,Yes,System maintenance controls
MP,Media Protection,Yes,No,No,No,No,No,Physical media protection (CSP only)
PE,Physical and Environmental,Yes,Yes,Yes,No,No,No,Physical security controls (CSP only)
PL,Planning,Yes,Yes,Yes,Yes,Yes,Yes,Security planning activities
PM,Program Management,Yes,Yes,Yes,No,No,No,Program management controls (CSP only)
PS,Personnel Security,Yes,Yes,Yes,Yes,Yes,Yes,Personnel security controls
RA,Risk Assessment,Yes,Yes,Yes,Yes,Yes,Yes,Risk assessment and management
SA,System and Services Acquisition,Yes,Yes,Yes,Yes,Yes,Yes,System development lifecycle security
SC,System and Communications Protection,Yes,Yes,Yes,Yes,Yes,Yes,System and network security controls
SI,System and Information Integrity,Yes,Yes,Yes,Yes,Yes,Yes,System integrity and protection controls

