incident_type,definition,common_characteristics,typical_severity,mitre_tactics
Ransomware,Malware that encrypts data and demands payment for decryption keys,"File encryption, ransom notes, lateral movement, data exfiltration before encryption","Critical to High","Initial Access, Execution, Persistence, Defense Evasion, Credential Access, Discovery, Lateral Movement, Collection, Command and Control, Impact"
Data Breach / Exfiltration,Unauthorized access to sensitive data with confirmed or suspected exfiltration,"Unauthorized access, bulk data downloads, unusual outbound traffic, compromised credentials","Critical to High","Initial Access, Persistence, Privilege Escalation, Defense Evasion, Credential Access, Discovery, Collection, Command and Control, Exfiltration"
DDoS Attack,Distributed denial of service attack overwhelming network or application resources,"Traffic spikes, service degradation, multiple source IPs, amplification techniques","High to Medium","Resource Development, Initial Access, Impact"
Insider Threat,Malicious or negligent actions by trusted insider with legitimate access,"Privilege abuse, data theft, policy violations, unusual access patterns","High to Low","Initial Access, Persistence, Privilege Escalation, Defense Evasion, Credential Access, Discovery, Collection, Exfiltration"
Malware Infection,Virus, trojan, worm, or spyware infection on endpoints or servers,"Suspicious processes, unusual network connections, file modifications, AV alerts","High to Medium","Initial Access, Execution, Persistence, Privilege Escalation, Defense Evasion, Discovery, Command and Control"
Phishing / Social Engineering,Credential theft or malware delivery via deceptive emails or social manipulation,"Spoofed emails, credential harvesting sites, urgency tactics, pretexting","High to Medium","Initial Access, Credential Access"
Account Compromise,Unauthorized access to user or administrator accounts,"Failed login attempts, impossible travel, unusual login times, privilege abuse","High to Medium","Initial Access, Persistence, Privilege Escalation, Defense Evasion, Credential Access"
Advanced Persistent Threat (APT),Long-term targeted attack by sophisticated threat actor,"Stealthy techniques, custom malware, living-off-the-land, C2 infrastructure, multiple phases","Critical to High","All 14 MITRE tactics - sophisticated multi-stage attack"
Supply Chain Attack,Compromise via trusted third-party software or service provider,"Trojanized updates, backdoored dependencies, compromised vendor access","Critical to High","Initial Access, Execution, Persistence, Defense Evasion, Lateral Movement"
Physical Security Breach,Unauthorized physical access to facilities or equipment,"Badge cloning, tailgating, stolen devices, unauthorized personnel","Medium to Low","Initial Access, Collection"
